Gene	induced	time 
AT1G21830	FALSE	none
AT1G65390	TRUE	day
AT3G54380	FALSE	none
AT4G09900	TRUE	day
AT5G62440	TRUE	day
AT1G01060	TRUE	none
AT1G01070	TRUE	none
AT1G01120	TRUE	day
AT1G01230	FALSE	none
AT1G01240	FALSE	day
AT1G01250	TRUE	none
AT1G01300	TRUE	day
AT1G01340	FALSE	night
AT1G01390	TRUE	none
AT1G01420	TRUE	day
AT1G01470	TRUE	day
AT1G01490	FALSE	day
AT1G01510	FALSE	none
AT1G01520	TRUE	day
AT1G01610	TRUE	day
AT1G01725	FALSE	none
AT1G01770	FALSE	none
AT1G01780	FALSE	none
AT1G01790	TRUE	day
AT1G01820	FALSE	none
AT1G01830	TRUE	none
AT1G02050	FALSE	none
AT1G02090	TRUE	day
AT1G02205	TRUE	day
AT1G02270	TRUE	day
AT1G02300	FALSE	none
AT1G02305	FALSE	none
AT1G02340	FALSE	day
AT1G02390	TRUE	none
AT1G02400	TRUE	day
AT1G02460	TRUE	day
AT1G02470	TRUE	none
AT1G02640	FALSE	none
AT1G02660	FALSE	day
AT1G02680	FALSE	day
AT1G02720	TRUE	day
AT1G02750	FALSE	none
AT1G02820	TRUE	day
AT1G03055	TRUE	day
AT1G03090	FALSE	none
AT1G03110	TRUE	day
AT1G03150	FALSE	none
AT1G03290	FALSE	day
AT1G03310	TRUE	day
AT1G03440	TRUE	none
AT1G03457	FALSE	day
AT1G03470	FALSE	day
AT1G03520	FALSE	none
AT1G03590	FALSE	day
AT1G03610	FALSE	day
AT1G03620	FALSE	day
AT1G03740	FALSE	none
AT1G03850	FALSE	day
AT1G03870	FALSE	none
AT1G03970;AT1G03980	FALSE	none
AT1G04010	FALSE	none
AT1G04120	TRUE	none
AT1G04130	TRUE	none
AT1G04220	TRUE	day
AT1G04250	TRUE	none
AT1G04290	TRUE	none
AT1G04300	FALSE	none
AT1G04310	FALSE	none
AT1G04400	FALSE	none
AT1G04520	TRUE	day
AT1G04530	TRUE	day
AT1G04710	TRUE	none
AT1G04770	TRUE	day
AT1G04940	TRUE	day
AT1G04990	TRUE	none
AT1G05055	TRUE	day
AT1G05170	TRUE	day
AT1G05200	TRUE	day
AT1G05210	TRUE	day
AT1G05340	FALSE	day
AT1G05410	FALSE	none
AT1G05440	TRUE	day
AT1G05540	TRUE	none
AT1G05575	FALSE	night
AT1G05690	TRUE	day
AT1G05790	FALSE	none
AT1G05805	FALSE	none
AT1G05810	FALSE	none
AT1G05840	FALSE	day
AT1G05860	FALSE	none
AT1G05890	FALSE	none
AT1G06000	TRUE	day
AT1G06040	TRUE	night
AT1G06060	FALSE	day
AT1G06080	FALSE	day
AT1G06180	TRUE	none
AT1G06240	TRUE	day
AT1G06390	FALSE	none
AT1G06400	FALSE	none
AT1G06430	TRUE	none
AT1G06460	TRUE	day
AT1G06500	FALSE	none
AT1G06570	FALSE	day
AT1G06630	FALSE	day
AT1G06690	TRUE	day
AT1G06700	FALSE	none
AT1G06770	FALSE	none
AT1G07000	FALSE	night
AT1G07010	TRUE	day
AT1G07010;AT1G07020	FALSE	none
AT1G07050	TRUE	day
AT1G07170	FALSE	none
AT1G07180	TRUE	none
AT1G07230	FALSE	none
AT1G07250	TRUE	day
AT1G07350	TRUE	night
AT1G07360	TRUE	none
AT1G07420	TRUE	day
AT1G07510	TRUE	none
AT1G07530	FALSE	none
AT1G07610	TRUE	day
AT1G07630	TRUE	day
AT1G07650	TRUE	day
AT1G07720	TRUE	day
AT1G07790	TRUE	day
AT1G07830	FALSE	none
AT1G07890	TRUE	day
AT1G08230	TRUE	day
AT1G08250	TRUE	day
AT1G08280	TRUE	day
AT1G08630	FALSE	day
AT1G08890;AT1G08900	FALSE	none
AT1G08930	FALSE	none
AT1G08960	TRUE	day
AT1G08980	FALSE	none
AT1G09010;AT1G09000	FALSE	none
AT1G09070	TRUE	day
AT1G09180	TRUE	day
AT1G09240	TRUE	none
AT1G09310	TRUE	day
AT1G09340	TRUE	day
AT1G09350	TRUE	day
AT1G09415	FALSE	none
AT1G09420	FALSE	day
AT1G09530	FALSE	none
AT1G09575	FALSE	none
AT1G09660	TRUE	day
AT1G09740	FALSE	none
AT1G09770	FALSE	none
AT1G09780	TRUE	none
AT1G09830	TRUE	none
AT1G09910	FALSE	none
AT1G10070	FALSE	day
AT1G10090	TRUE	none
AT1G10120	FALSE	day
AT1G10140	FALSE	day
AT1G10150	FALSE	day
AT1G10200	FALSE	none
AT1G10210	FALSE	day
AT1G10270	TRUE	day
AT1G10340	FALSE	day
AT1G10360	TRUE	day
AT1G10370	TRUE	day
AT1G10380	TRUE	day
AT1G10410	TRUE	day
AT1G10470	TRUE	day
AT1G10550	FALSE	night
AT1G10610	FALSE	none
AT1G10640	TRUE	day
AT1G10650	TRUE	none
AT1G10760	TRUE	day
AT1G10850	TRUE	day
AT1G10900	TRUE	day
AT1G10960	TRUE	day
AT1G11260	FALSE	none
AT1G11310	FALSE	none
AT1G11360	FALSE	none
AT1G11380	FALSE	none
AT1G11400	FALSE	none
AT1G11410	TRUE	none
AT1G11480	FALSE	none
AT1G11530	FALSE	none
AT1G11545	FALSE	none
AT1G11580	TRUE	none
AT1G11670	TRUE	day
AT1G11720	TRUE	none
AT1G11780	TRUE	day
AT1G11790	TRUE	day
AT1G11800	TRUE	day
AT1G11960	TRUE	day
AT1G12000	TRUE	none
AT1G12010	FALSE	none
AT1G12020	TRUE	day
AT1G12080	FALSE	day
AT1G12110	TRUE	day
AT1G12140	TRUE	none
AT1G12220	FALSE	day
AT1G12240	FALSE	day
AT1G12360	FALSE	none
AT1G12370	TRUE	day
AT1G12390;AT1G12340	FALSE	none
AT1G12450	FALSE	day
AT1G12500	TRUE	day
AT1G12680	FALSE	none
AT1G12780	FALSE	none
AT1G12790	FALSE	none
AT1G12910	FALSE	none
AT1G13020	TRUE	day
AT1G13080	TRUE	day
AT1G13180	FALSE	day
AT1G13260	FALSE	day
AT1G13450	FALSE	none
AT1G13570	FALSE	none
AT1G13650	TRUE	day
AT1G13700	FALSE	none
AT1G13740	TRUE	none
AT1G13860;AT2G03480	TRUE	day
AT1G13910	TRUE	day
AT1G13930	TRUE	day
AT1G14180	TRUE	day
AT1G14290	FALSE	day
AT1G14300	FALSE	none
AT1G14345	TRUE	day
AT1G14510	FALSE	none
AT1G14685	FALSE	none
AT1G14740	FALSE	none
AT1G14770	FALSE	none
AT1G14870;AT1G14880	FALSE	day
AT1G14890	FALSE	none
AT1G14900	FALSE	none
AT1G14920	FALSE	none
AT1G15040	FALSE	day
AT1G15100	TRUE	day
AT1G15140	TRUE	day
AT1G15230	FALSE	day
AT1G15260	TRUE	none
AT1G15330	FALSE	none
AT1G15340	FALSE	day
AT1G15350	FALSE	none
AT1G15380	FALSE	day
AT1G15400	FALSE	none
AT1G15440	TRUE	none
AT1G15470	TRUE	none
AT1G15670	FALSE	none
AT1G15700	FALSE	day
AT1G15740	FALSE	day
AT1G15820;AT1G15810	TRUE	none
AT1G15880	FALSE	none
AT1G15910;AT4G00380	FALSE	none
AT1G15950	TRUE	none
AT1G15980	TRUE	day
AT1G16020	TRUE	day
AT1G16060	TRUE	day
AT1G16170	FALSE	none
AT1G16240	FALSE	none
AT1G16260	FALSE	night
AT1G16310	TRUE	none
AT1G16390	TRUE	day
AT1G16410;AT1G16400	TRUE	none
AT1G16500	TRUE	day
AT1G16510	FALSE	none
AT1G16720	TRUE	day
AT1G16740	TRUE	none
AT1G16750	TRUE	none
AT1G16840	FALSE	none
AT1G16910	FALSE	day
AT1G16920	FALSE	none
AT1G17050	TRUE	day
AT1G17100	TRUE	day
AT1G17145	FALSE	day
AT1G17340	FALSE	none
AT1G17350	FALSE	day
AT1G17360	TRUE	day
AT1G17370	TRUE	none
AT1G17380	TRUE	day
AT1G17410	FALSE	day
AT1G17420	TRUE	day
AT1G17620	TRUE	day
AT1G17640	FALSE	day
AT1G17840	TRUE	day
AT1G18020;AT1G17990	FALSE	none
AT1G18030	FALSE	day
AT1G18060	TRUE	none
AT1G18100;AT1G18090	TRUE	day
AT1G18150	TRUE	day
AT1G18160	FALSE	none
AT1G18330	TRUE	night
AT1G18360	TRUE	day
AT1G18450	FALSE	none
AT1G18460	FALSE	none
AT1G18480	TRUE	none
AT1G18570	FALSE	none
AT1G18590	TRUE	none
AT1G18620	FALSE	none
AT1G18680	FALSE	none
AT1G18710	TRUE	day
AT1G18810	TRUE	none
AT1G18870	TRUE	none
AT1G18900	TRUE	day
AT1G19000	FALSE	none
AT1G19120	FALSE	none
AT1G19150	TRUE	day
AT1G19180	TRUE	day
AT1G19300	TRUE	day
AT1G19310	FALSE	none
AT1G19440	TRUE	day
AT1G19450	TRUE	day
AT1G19510	FALSE	none
AT1G19530	FALSE	day
AT1G19540	FALSE	day
AT1G19570;AT1G19550	TRUE	none
AT1G19610	FALSE	none
AT1G19640	TRUE	none
AT1G19650	TRUE	day
AT1G19660;AT1G75380	FALSE	none
AT1G19670	TRUE	day
AT1G19680	FALSE	none
AT1G19700	TRUE	day
AT1G19770	FALSE	none
AT1G19860	TRUE	day
AT1G19870	FALSE	none
AT1G19920	TRUE	none
AT1G19950	TRUE	day
AT1G19970	TRUE	day
AT1G20010	FALSE	none
AT1G20030	TRUE	day
AT1G20070	TRUE	day
AT1G20350	FALSE	day
AT1G20450	TRUE	none
AT1G20510	TRUE	none
AT1G20650	FALSE	day
AT1G20823	TRUE	day
AT1G20880	FALSE	none
AT1G20890	FALSE	none
AT1G21000	FALSE	day
AT1G21100	FALSE	night
AT1G21130	FALSE	none
AT1G21250	TRUE	day
AT1G21270	TRUE	day
AT1G21360	FALSE	day
AT1G21370;AT1G21380	TRUE	none
AT1G21400;AT5G34780	FALSE	day
AT1G21410	TRUE	night
AT1G21440	FALSE	day
AT1G21450	FALSE	none
AT1G21460	TRUE	none
AT1G21550	TRUE	night
AT1G21610	FALSE	day
AT1G21660	TRUE	day
AT1G21760	FALSE	none
AT1G21780	FALSE	none
AT1G21840	FALSE	none
AT1G21910	FALSE	none
AT1G21920	FALSE	none
AT1G21930;AT3G42150	FALSE	none
AT1G21980	TRUE	day
AT1G22070	TRUE	day
AT1G22330	FALSE	day
AT1G22335	FALSE	day
AT1G22370	FALSE	day
AT1G22400	FALSE	none
AT1G22410	TRUE	day
AT1G22530	FALSE	none
AT1G22570	FALSE	night
AT1G22630	TRUE	day
AT1G22640	FALSE	day
AT1G22740	FALSE	none
AT1G22770	TRUE	night
AT1G22850	TRUE	day
AT1G22890	FALSE	none
AT1G22930	FALSE	day
AT1G22985	FALSE	day
AT1G23010	TRUE	none
AT1G23040	TRUE	day
AT1G23050	FALSE	night
AT1G23060	FALSE	none
AT1G23080	FALSE	none
AT1G23120	FALSE	day
AT1G23140	TRUE	day
AT1G23180	TRUE	none
AT1G23190	TRUE	none
AT1G23205	TRUE	none
AT1G23330	TRUE	day
AT1G23390	FALSE	none
AT1G23480	FALSE	day
AT1G23530	TRUE	none
AT1G23740	TRUE	day
AT1G23870	FALSE	day
AT1G23960	FALSE	none
AT1G24020	TRUE	day
AT1G24100	TRUE	none
AT1G24280	TRUE	none
AT1G24330	TRUE	day
AT1G24340	FALSE	day
AT1G24440	FALSE	day
AT1G24530	FALSE	night
AT1G24625	TRUE	day
AT1G25230	FALSE	none
AT1G25275	FALSE	none
AT1G25390	TRUE	day
AT1G25400	FALSE	day
AT1G25450	TRUE	day
AT1G25510	TRUE	day
AT1G25550	FALSE	none
AT1G25682;AT1G25988	FALSE	day
AT1G26150	TRUE	day
AT1G26190	TRUE	day
AT1G26210	TRUE	day
AT1G26220	TRUE	day
AT1G26230	TRUE	day
AT1G26270	FALSE	none
AT1G26420	FALSE	night
AT1G26540	FALSE	day
AT1G26560	TRUE	day
AT1G26580	FALSE	none
AT1G26665	FALSE	none
AT1G26670	FALSE	none
AT1G26690	TRUE	none
AT1G26770	TRUE	none
AT1G26800	FALSE	day
AT1G26830	FALSE	none
AT1G26960	TRUE	day
AT1G27030	TRUE	day
AT1G27050	TRUE	day
AT1G27100	FALSE	day
AT1G27120	TRUE	day
AT1G27210	FALSE	day
AT1G27290	FALSE	none
AT1G27300	FALSE	day
AT1G27340	TRUE	day
AT1G27360	TRUE	day
AT1G27370	TRUE	day
AT1G27440	TRUE	day
AT1G27460	FALSE	none
AT1G27480	TRUE	day
AT1G27520	FALSE	none
AT1G27590	FALSE	none
AT1G27760	TRUE	day
AT1G27910	TRUE	day
AT1G27930	TRUE	day
AT1G27950	TRUE	day
AT1G27980	FALSE	none
AT1G28010	TRUE	day
AT1G28070	FALSE	none
AT1G28260	FALSE	day
AT1G28330	FALSE	none
AT1G28400	TRUE	day
AT1G28570	TRUE	none
AT1G28600	TRUE	day
AT1G28680	TRUE	none
AT1G29120	TRUE	day
AT1G29260	FALSE	none
AT1G29400	FALSE	none
AT1G29430;AT5G27780	TRUE	day
AT1G29460	FALSE	day
AT1G29530	TRUE	day
AT1G29660	TRUE	none
AT1G29670	TRUE	day
AT1G29700	TRUE	day
AT1G29720	TRUE	day
AT1G29760	FALSE	day
AT1G29970	FALSE	none
AT1G30070	TRUE	none
AT1G30260	TRUE	day
AT1G30330	TRUE	day
AT1G30360	TRUE	day
AT1G30440	FALSE	none
AT1G30530	TRUE	none
AT1G30720;AT1G30730	FALSE	none
AT1G30820	FALSE	none
AT1G30960	TRUE	none
AT1G31040	FALSE	none
AT1G31190	TRUE	day
AT1G31335	TRUE	none
AT1G31480	FALSE	day
AT1G31660	TRUE	none
AT1G31690	TRUE	none
AT1G31770	TRUE	day
AT1G31817	TRUE	day
AT1G31920	TRUE	day
AT1G31940	TRUE	none
AT1G32080	TRUE	day
AT1G32160	TRUE	day
AT1G32170	FALSE	day
AT1G32220	TRUE	day
AT1G32240	TRUE	day
AT1G32360	FALSE	none
AT1G32450	TRUE	none
AT1G32460	FALSE	none
AT1G32500	TRUE	day
AT1G32520	TRUE	day
AT1G32530	FALSE	none
AT1G32540	FALSE	none
AT1G32640	TRUE	none
AT1G32690	TRUE	day
AT1G32700	FALSE	day
AT1G32740	TRUE	day
AT1G32870	TRUE	day
AT1G32900	TRUE	none
AT1G32920	FALSE	none
AT1G32940	TRUE	day
AT1G33050	FALSE	none
AT1G33055	FALSE	day
AT1G33060	FALSE	none
AT1G33110	TRUE	day
AT1G33170	TRUE	day
AT1G33230	TRUE	day
AT1G33240	FALSE	none
AT1G33250	FALSE	none
AT1G33290	FALSE	none
AT1G33440	TRUE	day
AT1G33480	FALSE	none
AT1G34000	TRUE	day
AT1G34150	FALSE	none
AT1G34210	TRUE	day
AT1G34260	TRUE	day
AT1G34300	FALSE	none
AT1G34370	FALSE	day
AT1G34630	FALSE	none
AT1G34760	FALSE	none
AT1G35140	FALSE	day
AT1G35180;AT1G35170	TRUE	day
AT1G35560	TRUE	day
AT1G35580	FALSE	none
AT1G35612	FALSE	none
AT1G35660	FALSE	day
AT1G35670	FALSE	day
AT1G36050	FALSE	none
AT1G36070	FALSE	none
AT1G36370	TRUE	day
AT1G36980	FALSE	none
AT1G37130	TRUE	day
AT1G38065;AT1G38131	TRUE	day
AT1G41830	TRUE	none
AT1G42440	TRUE	day
AT1G42540	TRUE	none
AT1G42970	TRUE	day
AT1G43130	FALSE	day
AT1G43590	FALSE	none
AT1G43670	TRUE	night
AT1G43700	FALSE	day
AT1G43710	TRUE	day
AT1G43910	TRUE	none
AT1G44000	TRUE	day
AT1G44100	TRUE	day
AT1G44350	TRUE	day
AT1G44446	TRUE	none
AT1G44575	TRUE	none
AT1G44770	FALSE	day
AT1G44900	TRUE	day
AT1G45110	FALSE	none
AT1G45145	FALSE	day
AT1G45688	TRUE	day
AT1G45976	FALSE	day
AT1G47270	FALSE	none
AT1G47310	FALSE	none
AT1G48040	TRUE	day
AT1G48330	TRUE	day
AT1G48480	TRUE	day
AT1G48550	FALSE	none
AT1G48600	TRUE	none
AT1G48630	TRUE	day
AT1G48840	FALSE	day
AT1G48920	TRUE	none
AT1G49050	FALSE	none
AT1G49170	FALSE	none
AT1G49180	FALSE	none
AT1G49200	FALSE	none
AT1G49210	FALSE	day
AT1G49230	TRUE	day
AT1G49430	TRUE	day
AT1G49470	TRUE	none
AT1G49480	FALSE	day
AT1G49500	FALSE	day
AT1G49740	TRUE	none
AT1G49750	TRUE	day
AT1G49780	TRUE	day
AT1G49850	FALSE	none
AT1G50000	TRUE	none
AT1G50020	TRUE	none
AT1G50040	FALSE	day
AT1G50250	TRUE	day
AT1G50460	FALSE	day
AT1G50640	TRUE	day
AT1G51060	TRUE	day
AT1G51070	TRUE	none
AT1G51090	TRUE	day
AT1G51100	TRUE	day
AT1G51110	TRUE	none
AT1G51140	TRUE	none
AT1G51160	FALSE	day
AT1G51340	TRUE	day
AT1G51350	TRUE	none
AT1G51440	TRUE	day
AT1G51500	TRUE	day
AT1G51540;AT1G51550	FALSE	none
AT1G51660	TRUE	day
AT1G51680	TRUE	day
AT1G51700	TRUE	day
AT1G51740	FALSE	none
AT1G51805	TRUE	day
AT1G51940	FALSE	none
AT1G51950	FALSE	none
AT1G52080	TRUE	none
AT1G52200	FALSE	none
AT1G52230	TRUE	none
AT1G52260	FALSE	none
AT1G52280	TRUE	day
AT1G52290	TRUE	day
AT1G52740	FALSE	none
AT1G52770	TRUE	day
AT1G52880	TRUE	day
AT1G52890	TRUE	none
AT1G53000	FALSE	day
AT1G53030	FALSE	none
AT1G53035	TRUE	day
AT1G53070	TRUE	none
AT1G53090	TRUE	day
AT1G53140	FALSE	day
AT1G53160	FALSE	none
AT1G53165	FALSE	day
AT1G53180	FALSE	day
AT1G53230	TRUE	day
AT1G53240	TRUE	day
AT1G53300	TRUE	day
AT1G53310	TRUE	day
AT1G53400	FALSE	day
AT1G53500	TRUE	day
AT1G53510	TRUE	day
AT1G53560	FALSE	none
AT1G53580	FALSE	day
AT1G53650	TRUE	day
AT1G53680	TRUE	day
AT1G53700	TRUE	day
AT1G53885	FALSE	none
AT1G53920	TRUE	day
AT1G54050	TRUE	none
AT1G54080	TRUE	day
AT1G54200	TRUE	day
AT1G54220	TRUE	none
AT1G54270	TRUE	none
AT1G54350	TRUE	day
AT1G54570	TRUE	none
AT1G54590;AT1G03140	FALSE	day
AT1G54680	FALSE	none
AT1G54740	FALSE	day
AT1G55000	FALSE	none
AT1G55210	TRUE	day
AT1G55255	FALSE	day
AT1G55260	TRUE	day
AT1G55265;AT1G55270	TRUE	none
AT1G55300	FALSE	day
AT1G55480	TRUE	day
AT1G55510	FALSE	day
AT1G55530	FALSE	day
AT1G55805	FALSE	day
AT1G55810	FALSE	none
AT1G55870	TRUE	day
AT1G55880	FALSE	none
AT1G55910	TRUE	day
AT1G55920	TRUE	none
AT1G55960	TRUE	none
AT1G56050	TRUE	none
AT1G56090	FALSE	none
AT1G56110	TRUE	day
