"id","leaf_num","bolting","combined_pheno","biomass","leaf_1","leaf_2","leaf_avg","notes","rna","date_of_extraction","conc","260_280","260_230","tray_num"
"P002",7,"Y","7Y",24.6,61.484,34.248,47.866,NA,"*",2021-09-16,40.14,2.03,1.58,"1"
"P004",7,"Y","7Y",22.1,73.258,65.393,69.3255,NA,"*",2021-10-19,65.5,2.03,1.73,"1"
"P007",7,"Y","7Y",17,44.577,56.537,50.557,NA,"*",2021-10-29,114.34,2.02,1.37,"4"
"P008",6,"N","6N",11.3,44.463,38.421,41.442,NA,"*",2021-09-17,33.4,1.98,1.22,"5"
"P009",6,"N","6N",9.6,34.345,29.405,31.875,NA,"*",2021-10-25,72.53,2.03,1.51,"3"
"P010",7,"N","7N",12.5,38.055,31.352,34.7035,NA,"*",2021-10-19,63.15,1.8,0.92,"2"
"P016",6,"N","6N",10,29.096,30.444,29.77,"Small rossette","*",2021-10-19,31.11,2.13,1.31,"2"
"P017",6,"Y","6Y",22,79.813,51.732,65.7725,NA,"*",2021-10-30,164.88,2.11,1.95,"1"
"P020",7,"N","7N",13.3,29.197,24.841,27.019,NA,"*",2021-10-19,18.93,1.83,1.09,"4"
"P023",7,"N","7N",13.6,22.803,24.754,23.7785,NA,"*",2021-10-19,27.22,1.76,0.7,"5"
"P024",6,"N","6N",15.2,43.222,39.655,41.4385,NA,"*",2021-10-19,22.82,1.83,0.97,"3"
"P035",7,"Y","7Y",21.2,63.899,43.04,53.4695,NA,"*",2021-10-26,162.32,2.06,1.49,"4"
"P037",7,"N","7N",17.1,42.049,39.365,40.707,NA,"*",2021-10-25,88.48,2.06,1.67,"2"
"P038",6,"N","6N",9.9,31.602,37.188,34.395,NA,"*",2021-09-17,42.17,2.02,1.48,"4"
"P039",6,"N","6N",11.9,39.114,34.886,37,NA,"*",2021-10-30,131.13,2.03,1.49,"3"
"P049",6,"N","6N",13.7,49.985,40.593,45.289,NA,"*",2021-10-19,53.85,2.11,1.65,"3"
"P050",7,"N","7N",22,42.506,45.058,43.782,NA,"*",2021-10-25,33.63,1.82,0.99,"4"
"P051",6,"Y","6Y",15.7,62.521,43.906,53.2135,NA,"*",2021-10-25,114.13,2.1,1.94,"1"
"P052",6,"N","6N",10,35.562,27.322,31.442,NA,"*",2021-10-26,75.37,2,1.61,"5"
"P053",6,"Y","6Y",11.4,36.475,35.826,36.1505,NA,"*",2021-10-30,95.67,1.82,0.96,"1"
"P054",6,"N","6N",9.9,50.103,47.412,48.7575,NA,"*",2021-10-29,89.78,2.08,1.4,"5"
"P059",7,"N","7N",21.3,49.508,47.636,48.572,NA,"*",2021-10-30,133.23,2.07,1.89,"5"
"P064",6,"Y","6Y",13.9,65.282,31.426,48.354,NA,"*",2021-09-17,56.86,1.76,0.86,"1"
"P068",7,"N","7N",12.5,30.573,21.901,26.237,NA,"*",2021-09-16,36.25,1.88,1.11,"4"
"P077",7,"Y","7Y",26.2,86.078,61.215,73.6465,NA,"????",NA,NA,NA,NA,"1"
"P079",7,"N","7N",13.6,43.327,39.087,41.207,NA,"*",2021-09-16,51.53,1.86,1.02,"3"
"P080",6,"Y","6Y",18.2,57.309,52.071,54.69,NA,"*",2021-09-16,79.06,2.04,1.63,"2"
"P085",6,"N","6N",11.7,53.982,39.699,46.8405,NA,"*",2021-10-29,146.04,2.09,1.84,"5"
"P092",7,"Y","7Y",19.1,40.314,28.649,34.4815,NA,"*",2021-09-17,20.24,1.97,1.22,"4"
"P094",6,"Y","6Y",13.8,57.03,40.561,48.7955,NA,"*",2021-10-25,141.55,1.79,0.94,"1"
"P095",6,"N","6N",8.2,24.564,18.846,21.705,NA,"*",2021-10-29,49.49,2,1.44,"5"
"P097",7,"Y","7Y",22,50.313,65.131,57.722,NA,"*",2021-10-30,104.31,1.86,2.05,"1"
"P098",6,"N","6N",11.5,37.871,28.409,33.14,NA,"*",2021-10-26,79.86,2.18,1.85,"5"
"P100",6,"N","6N",14.7,26.963,27.86,27.4115,NA,"*",2021-10-29,67.67,2.01,1.75,"5"
"P109",6,"N","6N",17.7,66.933,53.763,60.348,NA,"*",2021-09-16,50.72,1.99,1.44,"3"
"P110",7,"Y","7Y",26.7,55.441,63.739,59.59,NA,"*",2021-10-26,118.51,2.06,1.74,"4"
"P111",7,"N","7N",13.4,45.753,29.317,37.535,NA,"*",2021-10-19,21.78,2.08,1.17,"4"
"P112",7,"Y","7Y",18.6,39.215,44.342,41.7785,NA,"*",2021-10-19,43.59,1.88,1.31,"1"
"P114",6,"N","6N",11.3,42.019,31.671,36.845,NA,"*",2021-09-17,21.93,2.21,1.16,"5"
"P122",7,"Y","7Y",26.6,67.734,71.922,69.828,"Large bolt","*",2021-10-19,44.8,1.97,1.56,"2"
"P127",6,"N","6N",10.7,32.711,34.649,33.68,NA,"*",2021-10-26,102.52,2.11,1.72,"4"
"P128",6,"N","6N",11.8,35.878,46.969,41.4235,NA,"*",2021-10-29,69.57,2.18,2.3,"4"
"P130",6,"Y","6Y",25.4,37.575,44.784,41.1795,NA,"*",2021-10-30,105.29,2.07,1.71,"2"
"P138",7,"N","7N",17.4,50.044,33.55,41.797,NA,"*",2021-10-30,171.41,1.76,0.94,"1"
"P140",7,"N","7N",15.2,38.219,29.665,33.942,NA,"*",2021-10-30,137.07,1.95,0.98,"5"
"P142",6,"N","6N",13.2,54.161,36.885,45.523,NA,"*",2021-09-16,53.13,1.98,1.25,"5"
"P143",6,"N","6N",9.8,30.894,35.491,33.1925,NA,"*",2021-10-30,90.97,1.95,0.96,"4"
"P144",6,"N","6N",11,37.502,39.034,38.268,NA,"*",2021-09-16,41.33,2.02,1.04,"3"
"P152",7,"Y","7Y",21.3,66.074,63.429,64.7515,NA,"*",2021-09-17,72.38,1.88,1.07,"2"
"P154",7,"N","7N",20.9,59.615,58.584,59.0995,NA,"*",2021-10-26,137.96,2.14,1.98,"3"
"P155",7,"Y","7Y",22.9,56.337,46.327,51.332,NA,"*",2021-10-19,55.95,2.04,1.31,"2"
"P158",7,"N","7N",18.3,60.159,61.863,61.011,NA,"*",2021-10-26,101.36,2.18,1.51,"5"
"P159",7,"N","7N",16.6,41.901,41.055,41.478,NA,"*",2021-10-25,73.9,2.07,1.74,"3"
"P169",6,"N","6N",13.2,46.432,36.709,41.5705,"Stressed","*",2021-10-25,19.01,1.79,0.99,"3"
"P170",7,"N","7N",17.7,36.773,44.831,40.802,NA,"*",2021-10-19,31.75,2.06,1.1,"4"
"P174",6,"N","6N",10.4,40.659,36.855,38.757,NA,"*",2021-10-19,21,1.87,0.7,"3"
"P181",6,"N","6N",13.4,41.43,50.448,45.939,NA,"*",2021-09-16,72.6,1.87,1.04,"1"
"P183",7,"N","7N",14,49.854,39.3,44.577,NA,"*",2021-10-19,58.13,2.1,1.73,"2"
"P188",6,"N","6N",11.2,48.824,32.994,40.909,NA,"*",2021-10-26,87.92,2.15,1.89,"5"
"P196",7,"Y","7Y",20.1,47.659,51.751,49.705,NA,"*",2021-10-29,123.52,2.04,1.36,"5"
"P199",7,"N","7N",20.2,59.49,53.188,56.339,NA,"*",2021-10-30,125.56,2.03,1.52,"1"
"P200",7,"Y","7Y",19.3,54.522,56.246,55.384,NA,"*",2021-10-19,25.36,2.2,1.31,"2"
"P202",6,"N","6N",9.7,36.313,24.438,30.3755,NA,"*",2021-09-17,41.14,2.03,1.38,"3"
"P203",6,"N","6N",13,42.645,43.371,43.008,NA,"*",2021-10-19,25.33,2.21,1.27,"2"
"P204",6,"N","6N",10.8,32.086,38.968,35.527,NA,"*",2021-10-25,78.89,2.06,1.89,"3"
"P205",6,"N","6N",9.4,31.066,24.959,28.0125,"Small rossette","*",2021-10-25,94.15,2.11,1.59,"2"
"P213",7,"Y","7Y",21.5,57.724,48.311,53.0175,NA,"*",2021-10-29,87.91,2.07,1.66,"2"
"P214",7,"Y","7Y",22.5,55.932,59.012,57.472,NA,"*",2021-10-19,39.62,1.72,0.84,"1"
"P217",7,"Y","7Y",14.6,28.101,27.086,27.5935,NA,"*",2021-10-26,81.49,2.09,1.75,"4"
"P219",6,"N","6N",13.2,44.701,40.685,42.693,NA,"*",2021-10-26,138.54,2.06,1.7,"3"
