GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	0	1.47608611833687	7.01151304263755	0.446335525304595	0	0	0	0	0	0
AT1G01020	0	1.45124573680323	2.1854836193493	5.80819117874731	4.34257169162888	3.20210252309718	4.68368048662708	4.89888749798907	0	44.6794042814963
AT1G01030	0	6.31271388454934	0	4.90150463328901	0	0	0	0	0	0
AT1G01040	10.6453458206768	10.4159588801726	14.5417379103759	9.2559553154231	7.43833023306736	0	0	0	0	0
AT1G01050	22.3288988933578	73.8881839813163	140.284460489475	7.66767751568738	36.0394878293437	8.39701543258264	0	35.5278222343243	89.9531563547996	0
AT1G01060	0	30.095610618347	0	53.2743552467098	3.20203141056306	0	0	0	0	0
AT1G01070	0	3.4105237304106	21.6197728001575	0	1.75262160002362	0	0	0	0	0
AT1G01073	0	0	0	0	0	0	0	0	0	0
AT1G01080	44.789253814169	120.859798043909	45.7700863464833	59.9746167418429	33.4526024591112	42.9811459946465	0	0	0	11.168107020403
AT1G01090	24.4850867041178	167.416216607177	101.840580588478	152.59775360369	92.5835413981355	51.2679071077651	0	0	717.18715692032	137.488271415502
AT1G01100	349.80860443589	512.25910557613	0	75.6268341650704	0	0	0	0	0	1270.55625980395
AT1G01110	2.24423275140005	0	0	1.75767162722403	0.377486609490611	6.11862319647172	0	0	0	0
AT1G01115	0	0	0	0	0	0	0	0	0	0
AT1G01120	637.136154372316	0	168.344489770026	0	0	414.875226833684	0	743.439274844004	664.679015530008	0
AT1G01130	85.8384512474274	0	0	0	0	23.4733858112067	0	54.7024276212656	0	0
AT1G01140	570.551957292687	0	0	0	0	419.482989677056	72.5977400703808	839.150100251651	3.73909152731057	0
AT1G01150	0	0.0167394789763422	0	0	0	0.0118970602204307	0	0	0	0
AT1G01160	40.1125787274207	23.9871608375912	0	26.2558490083206	12.0810331630536	32.0055312217064	0	21.549726407394	0	0
AT1G01170	0	4.76938692790415	28.4298737009151	85.5085407065559	152.739635056732	140.728081140373	848.990492616354	304.129097077598	0	228.853189544625
AT1G01180	0	0	0	38.9219845102926	7.51930323283744	0	5.36190960885133	53.1799310255641	0	0
