GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	NA	NA	7.01151304263755	NA	0	NA	0	NA	0	NA
AT1G01020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01030	0	6.31271388454934	0	4.90150463328901	0	0	0	0	0	0
AT1G01040	NA	10.4159588801726	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01050	NA	73.8881839813163	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01060	0	30.095610618347	0	53.2743552467098	NA	0	0	NA	0	0
AT1G01070	0	NA	NA	0	NA	0	NA	NA	NA	0
AT1G01073	0	0	0	0	0	0	0	0	0	0
AT1G01080	NA	120.859798043909	NA	NA	NA	NA	0	NA	NA	NA
AT1G01090	NA	167.416216607177	NA	152.59775360369	92.5835413981355	NA	0	0	NA	NA
AT1G01100	NA	512.25910557613	NA	NA	0	NA	0	NA	0	NA
AT1G01110	NA	0	NA	NA	NA	NA	0	0	NA	NA
AT1G01115	0	0	0	0	0	0	0	0	0	0
AT1G01120	637.136154372316	0	NA	0	0	NA	0	NA	NA	NA
AT1G01130	85.8384512474274	0	0	0	0	NA	0	NA	NA	NA
AT1G01140	NA	NA	NA	0	0	NA	NA	NA	NA	NA
AT1G01150	0	0.0167394789763422	0	0	0	0.0118970602204307	0	0	0	0
AT1G01160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01170	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
AT1G01180	0	NA	NA	38.9219845102926	NA	0	NA	NA	0	0
AT1G01190	NA	NA	0	NA	0	NA	NA	NA	0	NA
AT1G01200	NA	1.28895962968011	0	NA	0	0	0	NA	NA	NA
AT1G01210	0	40.2244374751146	NA	NA	0	0	NA	NA	NA	NA
AT1G01220	0	16.5387860795887	21.4764460532409	NA	NA	NA	0	NA	0	0
AT1G01225	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
AT1G01230	NA	NA	NA	39.5453157586206	NA	NA	NA	NA	NA	0
AT1G01240	0	0	NA	NA	NA	0	0	0	0	0
AT1G01250	0	NA	NA	0	0	NA	0	NA	NA	0
AT1G01260	12.9657152686526	0	NA	13.0406329840769	NA	22.9627217739788	0	0	0	NA
AT1G01270	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0
AT1G01290	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
AT1G01300	NA	NA	0	NA	0	NA	0	NA	NA	NA
AT1G01305	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0.0518137050999532	0	0	0	0	0
AT1G01320	NA	181.488209523	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01340	7.44176076970697	1.5533860518757	0	2.11221877095258	0	0	NA	NA	0	NA
AT1G01350	0	9.44373854274229	NA	22.70074091448	NA	NA	NA	NA	NA	NA
AT1G01355	0	0	NA	0	NA	NA	NA	0	0	0
AT1G01360	0	0	0	25.9449116197931	NA	0	0	0	0	0
AT1G01370	NA	NA	0	NA	0	NA	0	NA	0	NA
AT1G01380	0	0.200296289235073	0	NA	0.258410740661782	0	0	NA	0	NA
AT1G01390	NA	NA	NA	NA	NA	0	NA	NA	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0
AT1G01420	0	NA	NA	7.19330786841687	0	0	0	NA	0	0
AT1G01430	0	NA	NA	NA	NA	0	0	NA	0	0
AT1G01440	26.5120446876943	0	21.8556756530611	NA	4.76318813756136	NA	0	0	NA	0
AT1G01448	NA	NA	NA	NA	8.384246350633	NA	NA	NA	NA	NA
AT1G01450	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0
AT1G01470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01471	0	0	0	0	0	0	0	0	0	0
AT1G01480	0	0.0708005501181064	0	0.0935807526252193	0	0	0	0	0	0
AT1G01490	NA	NA	NA	NA	NA	0	NA	NA	NA	0
AT1G01500	0	21.6021183234582	NA	NA	NA	NA	0	NA	0	0
AT1G01510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01520	0	NA	0	6.40595553631874	0	0	0	0	0	0
AT1G01530	0	0.0329467557271197	0	0	0	0	0	0	0	0
AT1G01540	255.756336346357	NA	NA	0	NA	NA	0	NA	NA	NA
AT1G01550	580.42155823415	NA	370.918186425032	NA	NA	NA	NA	NA	NA	NA
AT1G01560	NA	0	0	0	0	NA	0	0	0	0
AT1G01570	NA	1.89073058931888	NA	0	0	11.0679597718681	0	NA	NA	NA
AT1G01580	0	NA	10.7910999719147	NA	NA	0	NA	0	0	0
AT1G01590	0	0.0385764749376336	0.622104255302949	0	0.166474221297669	0	0	0	NA	0
AT1G01600	0	0.0956331167187501	0	0	0	0	0	0	NA	NA
AT1G01610	NA	NA	NA	66.5468451016392	0	NA	0	NA	NA	NA
AT1G01620	983.131020489992	0	0	NA	NA	NA	0	0	NA	NA
AT1G01630	NA	NA	NA	116.43316037778	NA	NA	0	0	NA	NA
AT1G01640	NA	0	NA	0	0	NA	NA	NA	NA	0
AT1G01650	NA	NA	NA	NA	NA	46.1701364349405	NA	NA	NA	NA
AT1G01660	NA	2.73569410424753	NA	0	2.29816668045622	NA	0	0	0	NA
AT1G01670	NA	NA	NA	NA	5.70134386820638	NA	NA	NA	0	NA
AT1G01680	0.134145202211853	0.042879161971654	0	0.160527939208644	0	NA	0	0	0	NA
AT1G01690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01695	0	0	0.522177769363006	0	0.129158437460229	0	0	0	NA	NA
AT1G01700	0	0.457965572339655	0	0.717575905910279	0	0	0	NA	0	NA
AT1G01710	NA	NA	60.3917125045559	NA	NA	NA	NA	NA	NA	NA
AT1G01720	NA	NA	NA	NA	NA	NA	NA	0	0	NA
AT1G01725	0	NA	NA	NA	NA	NA	NA	NA	0	NA
AT1G01730	0	NA	NA	21.6622366622469	NA	NA	0	NA	NA	0
AT1G01740	NA	NA	NA	NA	NA	0	NA	NA	0	0
AT1G01750	0.0080101761225233	0	0	0	0	0	0	0	0	NA
AT1G01760	NA	NA	NA	NA	NA	NA	0	NA	0	NA
AT1G01770	NA	NA	48.7215770801347	0	19.3628902448999	NA	0	0	NA	NA
AT1G01780	27.4301796610442	NA	NA	NA	NA	NA	0	NA	NA	NA
AT1G01790	NA	NA	277.867898390122	NA	53.4394750508057	NA	NA	0	NA	NA
AT1G01800	NA	NA	NA	134.089286508517	NA	NA	NA	NA	NA	0
AT1G01810	NA	0.674181949955484	0	0	0	0	NA	0	NA	NA
AT1G01820	NA	NA	NA	62.7319914049401	NA	81.8523419960975	NA	NA	0	0
AT1G01830	0	17.0109800176431	NA	17.7775919262081	NA	0	0	NA	0	0
AT1G01840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01860	NA	25.8777382152306	NA	24.1838271005369	NA	NA	NA	NA	NA	NA
AT1G01880	NA	NA	0	NA	NA	0	NA	NA	0	NA
AT1G01900	NA	NA	NA	NA	NA	NA	0	0	NA	NA
AT1G01910	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AT1G01920	NA	NA	NA	10.2869145470849	NA	NA	NA	NA	0	NA
AT1G01930	NA	15.4404465063498	NA	0	NA	NA	NA	NA	NA	NA
AT1G01940	29.7127714816242	NA	NA	0	NA	NA	NA	NA	0	NA
AT1G01950	245.121882554601	0	0	0	0	143.7575698904	NA	NA	NA	0
AT1G01960	NA	NA	NA	NA	NA	NA	NA	0	NA	0
AT1G01970	0	81.3433304083581	0	33.9811889631731	NA	0	0	0	0	0
AT1G01980	0	0	0	0	0	0	0	0	0	0
AT1G01990	NA	10.6027059403506	NA	23.8604317576676	NA	NA	NA	NA	NA	NA
AT1G02000	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
AT1G02010	0	NA	NA	NA	5.19111988105178	0	0	NA	0	0
AT1G02020	0	5.73444120267374	NA	NA	3.97048107558244	0	0	NA	NA	NA
AT1G02030	0	0.0317581569674299	0	0	0.0515857161712976	0	0	0	0	0
AT1G02040	0	0	0	0	0	0	0	0	0	0
AT1G02050	NA	NA	0	6.45681175388293	NA	0	0	0	0	NA
AT1G02060	3.060430472376	2.90266306848389	NA	NA	NA	NA	NA	0	0	NA
AT1G02065	0	0	0	0	0	0	0	0	0	0
AT1G02070	0	0	0.0421302911274741	0	0	0	0	0	0	0
AT1G02074	0	NA	0	0	0	0	0	0	0	0
AT1G02080	NA	NA	NA	NA	NA	NA	0	0	NA	0
AT1G02090	NA	32.1370003156145	0	39.3034633513304	NA	NA	NA	NA	NA	NA
AT1G02100	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02110	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AT1G02120	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02130	NA	NA	NA	44.8060203194509	44.5801293954021	NA	NA	NA	NA	NA
AT1G02136	0	0.2608091890911	0	0	0	0	0	NA	0	0
AT1G02140	NA	NA	NA	215.472560074452	NA	NA	NA	NA	NA	NA
AT1G02145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02150	NA	151.842871801848	NA	74.8506323944255	NA	NA	0	0	0	NA
AT1G02160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02170	73.91019262542	NA	NA	NA	NA	NA	NA	NA	NA	0
AT1G02180	0	6.01437094278498	NA	NA	0	NA	0	NA	NA	NA
AT1G02190	NA	0	0.145153557981677	0	0	0	0	0	NA	NA
AT1G02205	NA	NA	NA	NA	NA	NA	0	0	NA	NA
AT1G02210	0	0	0	0	0	0	0	0	0	0
AT1G02220	NA	NA	NA	NA	0	NA	0	NA	NA	NA
AT1G02228	0	0	0	0	0	0	0	0	0	0
AT1G02230	NA	0	0	NA	0	NA	NA	NA	0	0
AT1G02250	0	0.0655422166460253	0	0.0221980754951323	0	0	0	0	NA	0
AT1G02260	NA	0	NA	NA	NA	NA	0	NA	NA	0
AT1G02270	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
AT1G02280	NA	175.608127510903	NA	NA	NA	NA	0	NA	0	NA
AT1G02290	0	3.50542722007603	NA	NA	6.81910343734923	NA	0	NA	0	0
AT1G02300	0	0	NA	0	138.474073269185	NA	NA	NA	0	0
AT1G02305	NA	0	143.40347204224	NA	113.827503633429	NA	NA	NA	NA	0
AT1G02310	0	0.0279436696611306	0	0.00192762551347725	0	0	0	0	0	0
AT1G02320	0	0	0	0	0	0	0	0	0	0
AT1G02330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02340	NA	0	0	0	NA	0	NA	0	0	0
AT1G02350	NA	0	0	NA	40.6724705250939	NA	0	0	0	0
AT1G02360	13.9206096468636	0	0	0	0.00581477525666818	NA	NA	0	0	NA
AT1G02370	NA	4.64835248913593	0	NA	0	0	0	0	0	NA
AT1G02380	NA	0	NA	0	NA	NA	NA	NA	NA	0
AT1G02390	NA	0	NA	0	0	117.108964651676	0	NA	NA	0
AT1G02391	0	0	0	0	0	0	0	0	0	0
AT1G02400	NA	0	0	NA	NA	NA	NA	0	NA	NA
AT1G02405	NA	0	NA	0.125799899267447	0	NA	0	NA	NA	0
AT1G02410	NA	NA	NA	NA	26.7045560983761	NA	NA	NA	NA	NA
AT1G02420	0	3.76173972788195	0	2.64433347930344	NA	0	NA	NA	0	0
AT1G02430	0.066677718431301	0.0559361710564574	0	0	0	0	0	0	0	0
AT1G02440	0.0595981135938917	0	0	0	0	0	0	0	0	NA
AT1G02450	0	NA	0	NA	0	NA	0	NA	0	NA
AT1G02460	0	2.08306417830235	0	0.016074252104713	0	0	0	0	0	0
AT1G02470	NA	0.219822147074335	0	0	0	NA	NA	NA	NA	NA
AT1G02475	0	61.4363120407639	NA	NA	115.345928812932	0	NA	NA	0	0
AT1G02490	0	NA	NA	0	0	NA	0	NA	0	0
AT1G02500	NA	NA	NA	344.265207530756	198.65056814612	NA	0	0	NA	0
AT1G02510	0	0	0	0	0	0	0	0	0	0
