GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	1	0.731638193915993	0.469050130601788	0.931472684475994	1	1	1	1	1	1
AT1G01020	1	0.863350113611488	0.907573460655997	0.570722583308053	0.575823453578033	0.802134567677278	0.91618096488588	0.913299039575196	1	0.506814212043346
AT1G01030	1	0.507728014809193	1	0.668917599445334	1	1	1	1	1	1
AT1G01040	0.575000600757256	0.294138862222444	0.50672467990213	0.436207088037977	0.409610154764115	1	1	1	1	1
AT1G01050	0.900743255195503	0.428470407049044	0.499465054324081	0.945159927470322	0.670645942670251	0.952074556067696	1	0.942482800674952	0.879549805572807	1
AT1G01060	1	0.567387854599683	1	0.40532451681563	0.946704162459717	1	1	1	1	1
AT1G01070	1	0.818178798698846	0.516872889511625	1	0.897279392465119	1	1	1	1	1
AT1G01073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01080	0.795719654446045	0.188747801928651	0.818146008007401	0.579447355447276	0.682560877101848	0.75042387126782	1	1	1	0.987369875265979
AT1G01090	0.913862823071334	0.166042646820045	0.696610792901353	0.288965156506506	0.392430531077111	0.771992489572537	1	1	0.347012633834069	0.881764228399467
AT1G01100	0.759385465429564	0.389811813227805	1	0.915193948240014	1	1	1	1	1	0.785183122116334
AT1G01110	0.840191574968837	1	1	0.799895048592623	0.942667631835221	0.484844513421395	1	1	1	1
AT1G01115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01120	0.404854236639444	1	0.846516291427961	1	1	0.485455527696569	1	0.721071401009799	0.790884441414178	1
AT1G01130	0.400956399017196	1	1	1	1	0.765989470920807	1	0.843846078914042	1	1
AT1G01140	0.481812888859984	1	1	1	1	0.507201031936315	0.97352041504077	0.705060155252207	0.998880400049003	1
AT1G01150	1	0.809713608783539	1	1	1	0.909959049104694	1	1	1	1
AT1G01160	0.401492707718	0.332447910101931	1	0.378531432880573	0.589532394709995	0.391394798194085	1	0.868239671179167	1	1
AT1G01170	1	0.98709867953571	0.965572573334269	0.810590359616354	0.573950029109507	0.753174264722922	0.587643531335303	0.846927936989685	1	0.921992293197421
AT1G01180	1	1	1	0.125790950658543	0.684386716792114	1	0.959784567424192	0.622387937990031	1	1
AT1G01190	0.759783138661624	0.816494853917568	1	1	1	1	1	0.710341581409524	1	0.621136563378278
AT1G01200	0.955348406632246	0.677146912970039	1	0.852193163231292	1	1	1	0.635537600524865	1	1
AT1G01210	1	0.416396268260896	1	0.692122769622854	1	1	1	1	1	0.998743158143872
AT1G01220	1	0.31055406481492	0.550465523374946	0.65090554107156	0.651637940036458	1	1	1	1	1
AT1G01225	0.66848570347195	0.595637441596481	1	0.41990205535086	0.719429914213499	0.753303527153058	1	1	1	0.834039870708471
AT1G01230	1	0.333675859040071	0.0939168099282914	0.0365575791301708	0.178621405202054	0.232978679527239	0.603082242070517	1	0.434535939571996	1
AT1G01240	1	1	1	1	0.479965495432601	1	1	1	1	1
