GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	NA	1.93452474932088	NA	NA	0	NA	NA	NA	0	0
AT1G01020	NA	NA	NA	15.4151704657052	NA	NA	NA	NA	NA	NA
AT1G01030	0	8.75596893964642	0	5.23305141356032	0	0	0	0	0	0
AT1G01040	NA	NA	NA	22.4504473002383	NA	NA	NA	NA	NA	NA
AT1G01050	NA	117.154993825357	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01060	NA	33.4331640843136	NA	39.6654959902645	NA	0	0	NA	0	0
AT1G01070	0	NA	NA	0	NA	0	NA	NA	0	0
AT1G01073	0	0	0	0	0	0	0	0	0	0
AT1G01080	51.4707018694399	133.038956778086	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01090	NA	127.538493265836	NA	187.085680544104	NA	NA	NA	NA	NA	NA
AT1G01100	NA	594.570993356802	0	NA	0	NA	0	NA	0	NA
AT1G01110	0	0	0	0	2.58439739915675	NA	NA	0	NA	NA
AT1G01115	0	0	0	0	0	0	0	0	0	0
AT1G01120	NA	0	NA	0	NA	NA	NA	NA	NA	NA
AT1G01130	NA	0	0	0	0	NA	0	NA	NA	NA
AT1G01140	NA	NA	NA	0	NA	NA	NA	673.908807965634	NA	NA
AT1G01150	0	0	0	0	0	0.133688121824696	0	0.0473769277874496	0	0
AT1G01160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01170	NA	NA	NA	NA	NA	439.104409101897	NA	NA	NA	0
AT1G01180	NA	0	NA	27.2666330274462	11.7403150960031	0	NA	NA	0	0
AT1G01190	NA	NA	0	NA	0	0	0	NA	0	NA
AT1G01200	NA	1.32962475201409	0	1.53924255011485	0	0	NA	6.21441969348827	0	NA
AT1G01210	NA	52.3535290830902	NA	22.3432483199117	0	0	0	0	0	NA
AT1G01220	NA	14.0037960924239	NA	NA	NA	NA	0	0	0	NA
AT1G01225	0	NA	NA	NA	6.0122412762942	NA	NA	NA	NA	NA
AT1G01230	NA	NA	NA	65.7566524846272	NA	NA	NA	NA	NA	NA
AT1G01240	NA	0	0	NA	73.1811369593349	NA	0	0	NA	0
AT1G01250	0	8.19835391466027	NA	NA	0	NA	NA	NA	NA	0
AT1G01260	NA	0	0	NA	13.4739149430937	NA	0	0	NA	0
AT1G01270	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0
AT1G01290	NA	NA	NA	25.0315767402535	NA	NA	NA	NA	0	0
AT1G01300	NA	NA	NA	NA	0	NA	0	NA	NA	NA
AT1G01305	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0.0583230270984929	0	0	0	0	0	0	0
AT1G01320	NA	224.157554665001	NA	142.621788744311	NA	NA	NA	NA	0	NA
AT1G01340	6.42631987976587	1.35741275738914	NA	0	NA	0	NA	NA	0	0
AT1G01350	NA	NA	NA	19.6168760124493	NA	0	NA	NA	0	0
AT1G01355	0	0	NA	0	1.28970012602915	0	NA	NA	0	0
AT1G01360	NA	0	NA	22.3965829182924	NA	0	0	NA	0	0
AT1G01370	NA	2.62868930802198	0	NA	NA	NA	NA	0	NA	NA
AT1G01380	0	NA	0	NA	NA	NA	NA	NA	NA	NA
AT1G01390	0	4.63031765952659	0	NA	NA	0	NA	NA	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0
AT1G01420	NA	NA	NA	9.96912848293238	NA	0	0	NA	0	0
AT1G01430	NA	NA	NA	93.5073033261489	68.1980247941737	0	0	NA	0	0
AT1G01440	15.4814001146626	NA	NA	NA	10.0833312093732	NA	0	NA	NA	NA
AT1G01448	NA	NA	NA	NA	6.64099082414912	NA	0	NA	NA	NA
AT1G01450	0	0.000176919268288334	0	0	0	0	0.00814516947435728	0	0	0.00911985707780061
AT1G01453	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0
AT1G01470	0	NA	NA	NA	NA	NA	NA	NA	NA	0
AT1G01471	0	0	0	0	0	0	0	0	0	0
AT1G01480	0	0	0	0	0	0	0	NA	0	0
AT1G01490	NA	NA	NA	NA	156.071047077824	NA	NA	NA	NA	0
AT1G01500	NA	24.0739843218432	NA	25.5909282974899	NA	NA	NA	NA	0	0
AT1G01510	NA	NA	NA	25.4935654011866	NA	NA	NA	0	NA	NA
AT1G01520	0	NA	0	NA	NA	0	0	0	0	0
AT1G01530	0	0	0	0	0	0	0	0	0	0
AT1G01540	NA	NA	NA	NA	NA	137.369251707004	NA	NA	NA	NA
AT1G01550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01560	NA	0	0	0	0	NA	0	NA	0	0
AT1G01570	1.83907530270274	NA	0	0	0	7.1959873638843	NA	NA	NA	NA
AT1G01580	0	NA	NA	NA	NA	0	NA	NA	0	0
