GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	5.95507168861039e-05	0.47858818392593	0.789145160432547	0.901502492552356	1	1	1	1	1	1
AT1G01020	0.0387423967585787	0.687894595116476	0.613493650327098	0.029651933062945	0.862485509155111	0.672660145320589	0.87633852596218	0.592106685883913	1	1
AT1G01030	1	0.278880709531185	1	0.627084573848684	1	1	1	1	1	1
AT1G01040	0.290057943283149	0.487212567997006	1	0.0336430894570996	0.560175661439898	0.775864263076834	1	1	1	1
AT1G01050	0.277362169879103	0.0601057639775995	1	1	0.431543797845926	0.958457617547946	1	0.446648623162356	1	0.898629499022392
AT1G01060	0.815355888061701	0.305818236667225	1	0.364209642237611	0.88828247128923	1	1	0.757358910263008	1	1
AT1G01070	1	1	0.905437858244858	1	0.461760773919312	1	1	0.508041901659359	1	1
AT1G01073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01080	0.42024805675561	0.077326209465908	0.96860916378924	0.545375584575723	0.678765762148079	0.833894260336754	1	1	1	0.721783520260795
AT1G01090	0.519722561701909	0.190516676708482	0.926529854789439	0.153180191205032	0.528732233155575	0.96362859852303	1	0.959660071331865	0.17504633384528	0.444399614993505
AT1G01100	0.588813153277555	0.157309169203354	1	0.822641354578514	1	0.849980348776176	1	1	1	0.339551687171194
AT1G01110	1	1	1	1	0.445720131703091	0.542965357253693	1	1	0.761061647852143	1
AT1G01115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01120	0.349919595565398	1	1	1	1	0.477606154919338	1	0.30297048522202	0.317471572642863	1
AT1G01130	0.442116322236596	1	1	1	1	0.371695014298927	1	0.385700373589522	1	0.969140307749421
AT1G01140	0.647428299368499	1	0.672775673052004	1	0.964273703518573	0.241691466967812	1	0.143748953492418	0.771174612978366	1
AT1G01150	1	1	1	1	1	0.480074383386615	1	0.898350889732771	1	1
AT1G01160	0.00216274376961969	0.594228047029122	0.289259037712338	0.276883554760794	0.382139678117831	0.729674143490366	0.967078632509216	1	1	1
AT1G01170	0.161295042853985	0.377019225524932	0.970904838023031	0.363783866637337	0.499624440923858	0.0225273039740735	0.736641211587462	0.163516805685766	1	1
AT1G01180	1	1	0.593232562142241	0.23829958871336	0.593737835422671	1	0.997897228227854	0.600478653825126	1	1
AT1G01190	0.805485764954782	0.476286117505993	1	0.840724704256584	1	1	1	0.578396661097733	1	0.349703326563844
AT1G01200	1	0.507244469789583	1	0.566733630189401	1	1	1	0.23101697870296	1	0.803021621814323
AT1G01210	0.861493511088633	0.244385742482943	1	0.708615238097556	1	1	1	1	1	1
AT1G01220	0.409574501015807	0.159621567628039	0.943648594335794	0.198174225721447	0.549260329063734	0.947219713019922	1	1	1	1
AT1G01225	1	0.50999336449139	0.644660689504513	1	0.135101353339412	0.808611665486317	1	0.778560029452754	0.759764164194856	1
AT1G01230	0.0211247169811608	1	1	0.0366660896661717	0.423375772798047	0.298197650276978	1	0.695602367621884	0.980728126138581	1
AT1G01240	0.793837775814137	1	1	1	0.31689381923797	0.901220865467632	1	1	1	1
AT1G01250	1	0.352332359348246	1	0.715670815753285	1	0.618282313848092	0.438155175328332	1	0.998400274714854	1
AT1G01260	0.479692172421454	1	1	0.669731909663527	0.257468233509803	0.609255245427057	1	1	1	1
AT1G01270	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01290	0.0498702007237491	0.4202884463807	1	0.0393231224915372	0.436559023843778	0.325498363388046	0.899806077250394	1	1	1
AT1G01300	0.144063348161552	0.683227654512864	1	1	1	0.620829557313846	1	0.234971498764857	1	0.195476577854023
AT1G01305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01310	1	1	0.80118131945447	1	1	1	1	1	1	1
AT1G01320	0.539735335222014	0.120325929731622	0.972459726050094	0.45507758856857	1	0.937474156542628	1	1	1	1
AT1G01340	0.00538640751875952	0.591855768653916	0.909743019535709	1	0.83434464655486	1	0.797636616703273	0.828472955599054	1	1
AT1G01350	0.0236769857849902	0.507329078676154	0.410910371526603	0.0793133640810145	0.752038126920117	1	1	1	1	1
AT1G01355	1	1	1	1	0.583847298361704	1	0.940480698961777	0.241800591194771	1	1
AT1G01360	0.865061601338026	1	1	0.100906528390893	0.614601786758075	1	1	1	1	1
AT1G01370	0.570892900088935	0.210692369491607	1	0.85149563522124	0.739564282954518	0.711002924432779	1	1	0.960450595959831	0.447611434551011
AT1G01380	1	0.98990113763641	1	0.710144556556047	0.851184502228954	0.96034579698167	1	1	1	0.931661074325918
AT1G01390	1	0.31265706833797	1	0.969408867941864	0.481051654501678	1	0.823029635240024	0.644247720505196	1	1
AT1G01400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01420	0.892751647280705	0.475835770877949	1	0.389641799120855	1	1	1	1	1	1
AT1G01430	0.818999961062126	1	1	0.298735118656766	0.428106040086577	1	1	1	1	1
AT1G01440	0.0443242557298564	1	0.403334491804309	0.800048989022459	0.368266691721123	0.552801336187567	1	0.99061025487153	0.930616710666492	0.776452770607896
AT1G01448	0.203814049915662	0.927126371773386	0.919200609618526	0.94599975285727	0.47297777049563	0.254795331605423	1	1	0.557360792667416	0.987816523273758
AT1G01450	1	0.995679110697794	1	1	1	1	0.962178147142189	1	1	0.946474287899026
AT1G01453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01470	1	0.795612603503983	0.507164581701146	0.774854252383923	0.879216973812807	0.175577737411957	0.274077411147178	0.364221096545663	0.97919247644779	1
AT1G01471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01480	1	1	1	1	1	1	1	0.0289984836879861	1	1
AT1G01490	0.0174500118746469	1	0.596862338066737	0.913318907232286	0.35189239107011	1	1	0.810931301631005	1	1
AT1G01500	0.115669320622951	0.196985366778813	0.56626931021285	0.304341351949471	1	0.877428730910664	1	0.990020642453351	1	1
AT1G01510	0.00529907202771634	0.290920436093001	0.72448166470753	0.0290734402597683	0.267151721103972	0.104382043516986	1	1	1	0.51122087367491
AT1G01520	1	0.48836600310216	1	0.553597445122041	0.904369098918543	1	1	1	1	1
AT1G01530	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01540	0.522195055213617	1	0.993147245684409	1	0.588867337710873	0.35977289778926	0.939931958454226	0.637818813248009	0.477032879905921	0.960118709229786
AT1G01550	0.123358431629177	1	0.401794178535799	1	0.736550925417642	0.247045361566336	1	0.467920124169177	0.930862731600008	0.809590521256194
AT1G01560	0.00416217832933265	1	1	1	1	1	1	1	1	1
AT1G01570	0.439315320119798	0.816969417710441	1	1	1	0.0508583175950807	0.925636934296499	0.727062324502241	0.437851802657381	0.886026982631975
AT1G01580	1	0.565654109756687	0.275253495215562	0.703094792445189	0.549848482895081	1	1	0.961144626613272	1	1
AT1G01590	1	1	1	1	0.758064063095396	1	0.912120996391304	0.595340534703838	1	1
AT1G01600	0.716156383670216	0.487755672541814	1	1	1	0.6272788607752	1	1	0.846567183420942	0.800256666674779
AT1G01610	0.0938583140194096	0.83966241436724	1	0.0472315816157555	1	1	1	1	0.271498972884629	0.599240205236081
AT1G01620	1	1	1	1	0.686548414598462	0.266012297231519	1	1	0.408436912899403	1
AT1G01630	0.0285123635444836	0.217389766247922	0.316967393803973	0.032364924828322	0.671509585462417	1	1	1	1	0.916123239172503
AT1G01640	0.727634913200846	1	1	1	0.504483383850296	0.523268344498434	0.572743738155822	0.865351717419583	1	1
AT1G01650	0.158604816567549	1	0.531276090004211	0.769494006871729	0.708949433287523	0.118706926094184	1	0.219808174030606	0.710705345431053	1
AT1G01660	0.411388047956156	1	0.800544357525034	0.551177168721567	0.584686949394794	0.786019791374361	1	1	0.415572482850318	1
AT1G01670	0.098640259220818	0.728827109465632	0.478885490269156	0.76917160765355	0.364005903492081	0.112071220147647	1	0.981153426065719	1	1
AT1G01680	0.0435305293696303	1	1	1	1	1	1	0.785488995767482	1	1
AT1G01690	0.00555883315439235	0.173948436823756	0.760123239489141	0.993781665101292	0.20036214743224	0.28455290013911	1	1	1	1
AT1G01695	0.610646932533938	1	1	1	0.608857374425538	1	1	1	1	1
AT1G01700	0.638031320387488	0.545019085283722	1	0.596834635883335	1	1	1	1	1	0.578253449173404
AT1G01710	0.0762089216590557	0.910664926279784	0.323197756033911	0.528398032555837	0.34360314931775	0.656837872381391	1	0.103504297123568	1	1
AT1G01720	0.0263310716038748	1	0.516148589126507	0.443380592713013	0.857465077726871	0.924080133265091	1	1	1	1
AT1G01725	0.199868863568219	1	1	1	0.24134813879854	0.716280019176907	1	0.423954392179829	1	1
AT1G01730	0.029109410452537	1	1	0.25422194180206	0.702656873385863	0.225814114725326	1	1	1	1
AT1G01740	0.00542223635042568	0.496970690277902	0.917049929745493	0.196409199188594	0.684617552713131	1	1	1	1	1
AT1G01750	1	0.907143735403307	0.811194923493296	1	1	1	1	1	1	1
AT1G01760	0.303699482349846	0.434035804554272	0.693447043104255	0.671986711938597	0.666720291514523	0.108781928560045	0.876851965082469	1	1	0.692706218794446
AT1G01770	0.130208151858755	0.429036168924642	0.705356040917219	0.942705268688247	0.132389551500187	0.150117717942019	1	1	0.973924671848285	1
AT1G01780	0.0237748476569229	0.499572480485953	0.514727055120117	0.993781180130503	0.230963599906068	0.339551476061011	1	1	1	0.376239956016424
AT1G01790	1	0.0473794596584879	0.58752128223914	0.933683916118086	0.104589403024165	1	1	0.685302415303575	0.17763978338772	1
AT1G01800	0.0018355133069506	0.336630991511626	0.747843098364603	0.207216958676038	0.185261397034314	0.266293740013635	1	0.282848450973372	1	1
AT1G01810	1	0.490553951481563	1	1	1	0.908172182045734	0.731471770230849	0.741535049242377	1	1
AT1G01820	0.000661094929964148	1	0.711550934080466	0.321710652369509	0.488282705201087	0.397509600282757	1	1	1	1
AT1G01830	0.177294329297103	0.273103006388313	0.522711290310706	0.490014827095781	1	1	1	1	1	1
AT1G01840	1	0.126006234526428	1	0.725501186859303	0.90718610361367	0.037993018195286	0.737509271014438	0.336701903492252	1	1
AT1G01860	0.645631421252438	0.033646625288383	0.787739795953139	0.578412917533787	0.191976523924863	0.632273632504269	1	1	1	1
AT1G01880	0.586720827693009	0.333252822411188	1	0.853346117064216	0.318061531780974	1	1	1	0.976744487430888	0.993465817891103
AT1G01900	1	0.574493338841311	1	1	1	1	1	0.994992478664728	0.402789360101423	0.334224900355065
AT1G01910	0.00283359747696315	0.0651491269293972	0.407901499869895	0.0651506460868334	0.0842889486707097	0.0352082179393295	1	1	1	1
AT1G01920	0.321473855128863	0.269220938392651	1	0.279253245498442	0.333590588275651	0.273653617645842	1	1	1	1
AT1G01930	0.00132915887199277	0.0858514509652218	0.469337786672974	0.702269559884407	0.0768210577643465	0.224323018473499	1	0.796199266381899	0.93378299257328	0.660028081448993
AT1G01940	0.0061852997752265	0.44571262291691	0.983321228572052	0.460344966854294	1	0.835288488756034	0.354048000679566	1	1	0.914535032885244
AT1G01950	0.85020135406318	1	1	1	1	0.135451998905265	1	0.353157570186669	1	1
AT1G01960	0.0417761713089162	0.142114439322397	0.511525092771856	0.395038108008653	0.137130619003761	0.346035114538713	1	1	0.366580453076958	0.914031162111531
AT1G01970	1	0.314206061497483	1	0.396758148474883	1	1	1	1	1	1
AT1G01980	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01990	0.223101344823215	0.987017651070281	0.431911340821278	0.113989349669519	0.648102726177471	1	1	1	1	1
AT1G02000	0.0430192963914797	0.381272537294616	0.814338664908538	0.359658005397899	0.0966208334886683	0.992430185030847	0.968064768484831	0.277462947390591	0.990946525607055	1
AT1G02010	0.1351545639532	0.154969701170903	0.690286828136856	0.604768915668681	0.0875359138271838	1	1	1	1	1
AT1G02020	0.347294095040898	0.35989369825662	1	0.107956662360355	0.811557994590251	0.955190475755298	1	1	1	0.527330222118378
AT1G02030	0.703173668580964	0.832960176487172	0.859561942839335	0.872511969174316	1	1	1	1	1	1
AT1G02040	1	1	1	1	1	1	1	0.476984789959775	1	1
AT1G02050	0.0917842393648186	1	1	0.15093830813773	0.922400169212976	0.950682265085393	1	1	0.793623686801789	0.815827753420666
AT1G02060	0.256765926898829	0.514820339866227	1	0.155967707912371	0.602761539409112	1	1	1	1	0.598423012269633
AT1G02065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02070	1	0.872585684079546	1	1	1	1	1	1	1	1
AT1G02074	1	1	1	1	1	0.456831065620235	1	1	1	1
AT1G02080	0.118086339582303	0.520369254538414	0.452910267001613	0.424122412712129	0.242927918219961	0.447579894019253	1	1	0.702019358705746	0.909502798713767
AT1G02090	0.0328278596778351	0.0662083047134763	0.798355338434865	0.0419311228394386	0.811428410018325	0.0463624606671344	0.655767343787134	0.329124851163827	1	1
AT1G02100	0.113732748724356	1	1	0.513737026392185	0.533223826352867	0.309680389918355	0.631802106938315	0.620959147021053	0.575430480465022	0.767072344847223
AT1G02110	0.204323975598039	0.46569656495711	0.854518315578823	1	0.238779748538448	0.950339756429287	0.786006338740516	1	0.322884242239855	0.156550866066687
AT1G02120	0.00200806143804064	1	0.196916433277499	0.018574710626491	0.345721020532266	1	1	1	1	1
AT1G02130	0.424842218621425	0.386826594745092	0.212926146601617	0.458090524279286	0.0526878527258793	0.200801848346377	1	1	1	0.684975306601647
AT1G02136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02140	0.0960483840404599	0.0936430459007397	0.776192579292965	0.129241426791524	1	0.32919290594469	0.623980506783194	0.998771513494384	1	0.634945613482465
AT1G02145	0.318681771700689	0.199646556801086	0.858726388121807	0.0672686270102591	0.100910378532558	0.161219897096313	1	0.862352617911131	1	1
AT1G02150	0.369770588457059	0.150483214325346	1	0.161365304795132	0.70494439033657	0.780512572555755	1	1	1	0.56054760460008
AT1G02160	0.0331393145858037	1	1	0.0954990548904751	0.8295875517688	0.288876219103044	0.219092389519719	0.827768696783112	1	0.770593037451977
AT1G02170	0.199858702914377	1	0.364921077729573	1	0.664695759158888	0.405640256353283	0.9036550448582	0.455636224592186	0.625094733955277	0.762609613096909
AT1G02180	1	0.22545691191062	0.477956619308656	0.994671874072087	0.853443766745167	0.182819803305998	1	0.469403688600137	1	0.828582836371436
AT1G02190	0.176775845080696	0.962611013523849	0.880164852646466	0.944596829655299	1	0.297271335483564	1	1	1	1
AT1G02205	1	1	1	0.278709900877152	0.985238479837184	0.878987322045379	1	1	0.571912740452358	0.982432670385938
AT1G02210	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02220	0.00211015364626379	0.994862949546577	0.831059501044183	0.978890629921322	1	1	1	1	1	1
AT1G02228	1	0.864194763817858	1	1	1	1	1	1	1	1
AT1G02230	0.0126306526945485	0.987746301638304	1	0.848441986897552	1	1	1	1	1	1
AT1G02250	1	1	1	1	0.843625860344516	0.683588969749505	1	0.83662958190358	1	0.836588533836425
AT1G02260	0.0252913867986054	0.839356448829275	0.497658148134781	0.650639094210949	0.267326272769009	0.417309882091299	1	1	0.98372683554546	1
AT1G02270	0.161853580537003	0.577430374591227	0.457544618280415	1	0.903375685458943	0.319093329415525	0.885382029023366	0.300727966912908	1	0.853739351014019
AT1G02280	0.695644724671799	0.141194321528239	1	0.7984390957441	1	0.639062606973297	1	1	1	0.390205302990265
AT1G02290	0.146373833101004	0.407393310965096	1	0.310595914591048	0.0927116676471426	0.952959945209842	1	1	1	1
AT1G02300	0.155255989218995	1	1	1	0.284971534999715	0.230566890486001	1	1	1	1
AT1G02305	0.0425906138126328	1	0.953541476123508	0.765337512648516	0.143926700875896	0.355183426411424	1	0.627838114294479	1	1
AT1G02310	1	1	1	1	1	1	1	0.360631022847141	1	1
AT1G02320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02330	0.081619723238019	1	1	0.528965022724778	0.220917154565035	0.43566653925693	1	1	1	0.901584683991495
AT1G02335	1	0.527148408133641	0.934453418150595	1	1	0.807676167600834	1	0.708393871422661	0.303296791667796	0.832979031263405
AT1G02340	1	1	1	1	0.412835475505567	1	1	1	1	1
AT1G02350	1	1	1	1	0.36722147951497	1	1	1	1	1
AT1G02360	0.511992271008572	1	1	1	0.772820135535207	0.605614223713031	1	1	1	0.88024710229776
AT1G02370	0.193222675264545	0.10961779477972	1	0.415723191954619	1	1	1	1	1	0.901121616710464
AT1G02380	0.832463080712887	1	1	1	0.772632869243096	0.140441045884482	1	1	0.748437329166281	1
AT1G02390	0.100636258207639	1	0.514825262942968	1	1	0.281680367281488	1	0.891357703646074	1	1
AT1G02391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G02400	1	1	1	1	1	0.928711997325014	1	0.175623564897705	0.812975670972758	1
AT1G02405	1	1	1	1	1	0.998542332865548	1	0.209971473342945	1	1
AT1G02410	0.0800359794705394	0.530832314330303	0.326263900726534	0.774353021306749	0.0522317935919886	0.450175607225932	1	0.399937881873335	1	1
AT1G02420	1	0.442840928986143	1	0.220340481301448	1	1	1	1	1	1
