GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	0.0501896417671014	1	1	1	1	1	1	1	1	1
AT1G01020	0.304792940915234	1	1	1	1	1	1	1	1	1
AT1G01030	1	1	1	1	1	1	1	1	1	1
AT1G01040	0.778447693889754	1	1	1	1	1	1	1	1	1
AT1G01050	0.760218163065272	1	1	1	1	1	1	1	1	1
AT1G01060	1	1	1	1	1	1	1	1	1	1
AT1G01070	1	1	1	1	1	1	1	1	1	1
AT1G01073	1	1	1	1	1	1	1	1	1	1
AT1G01080	0.939169773184468	1	1	1	1	1	1	1	1	1
AT1G01090	1	1	1	1	1	1	1	1	1	1
AT1G01100	1	1	1	1	1	1	1	1	1	1
AT1G01110	1	1	1	1	1	1	1	1	1	1
AT1G01115	1	1	1	1	1	1	1	1	1	1
AT1G01120	0.859974753651499	1	1	1	1	1	1	1	1	1
AT1G01130	0.960840675386881	1	1	1	1	1	1	1	1	1
AT1G01140	1	1	1	1	1	1	1	1	1	1
AT1G01150	1	1	1	1	1	1	1	1	1	1
AT1G01160	0.117555890785042	1	1	1	1	1	1	1	1	1
AT1G01170	0.576821577349654	1	1	1	1	1	1	1	1	1
AT1G01180	1	1	1	1	1	1	1	1	1	1
AT1G01190	1	1	1	1	1	1	1	1	1	1
AT1G01200	1	1	1	1	1	1	1	1	1	1
AT1G01210	1	1	1	1	1	1	1	1	1	1
AT1G01220	0.928325901490909	1	1	1	1	1	1	1	1	1
AT1G01225	1	1	1	1	1	1	1	1	1	1
AT1G01230	0.23548838696102	1	1	1	1	1	1	1	1	1
AT1G01240	1	1	1	1	1	1	1	1	1	1
AT1G01250	1	1	1	1	1	1	1	1	1	1
AT1G01260	0.997848727124548	1	1	1	1	1	1	1	1	1
AT1G01270	1	1	1	1	1	1	1	1	1	1
AT1G01280	1	1	1	1	1	1	1	1	1	1
AT1G01290	0.334924686906288	1	1	1	1	1	1	1	1	1
AT1G01300	0.546741533417385	1	1	1	1	1	1	1	1	1
AT1G01305	1	1	1	1	1	1	1	1	1	1
AT1G01310	1	1	1	1	1	1	1	1	1	1
AT1G01320	1	1	1	1	1	1	1	1	1	1
AT1G01340	0.149621526713689	1	1	1	1	1	1	1	1	1
AT1G01350	0.244563969129839	1	1	1	1	1	1	1	1	1
AT1G01355	1	1	1	1	1	1	1	1	1	1
AT1G01360	1	1	1	1	1	1	1	1	1	1
AT1G01370	1	1	1	1	1	1	1	1	1	1
AT1G01380	1	1	1	1	1	1	1	1	1	1
AT1G01390	1	1	1	1	1	1	1	1	1	1
AT1G01400	1	1	1	1	1	1	1	1	1	1
AT1G01410	1	1	1	1	1	1	1	1	1	1
AT1G01420	1	1	1	1	1	1	1	1	1	1
AT1G01430	1	1	1	1	1	1	1	1	1	1
AT1G01440	0.320888745759803	1	1	1	1	1	1	1	1	1
