GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	0.00594409249101422	0.362296145816534	0.587507646773921	1	1	1	1	1	1	1
AT1G01020	0.0370457867099058	0.204887570041711	0.883587964837995	0.0349259031841714	0.436957718438734	0.323948956966149	1	0.681769023513092	1	0.824675403253556
AT1G01030	1	0.0924917792549039	1	0.498704369328918	1	1	1	1	1	1
AT1G01040	0.149127646938486	0.118952991577374	1	0.00577310915702909	0.225299725202234	0.646977234508181	1	1	0.955295586512315	1
AT1G01050	0.131929889087961	0.00698776393730807	0.523428640876095	0.961818755254471	0.167982007963576	0.807469905738883	1	0.333473846651413	1	0.999913295528351
AT1G01060	0.900612616528973	0.220011012734108	1	0.0807088244627861	0.937448816398688	1	1	0.599220541598635	1	1
AT1G01070	1	1	0.544335861292945	1	0.456883996533688	1	1	0.27149025438428	1	1
AT1G01073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01080	0.478595567470076	0.00842096822787423	0.870308330969555	0.421860311332156	0.539586789771836	0.483251678865256	1	1	1	0.691061417576714
AT1G01090	0.484985010664297	0.0588370610678927	0.697214630951166	0.0559598098430109	0.269896186961576	0.83307079394502	1	1	0.137515981610602	0.410450082299646
AT1G01100	0.760890606524664	0.0947864258535095	1	0.912638995301372	1	0.776843587294879	1	1	1	0.285905479393937
AT1G01110	1	1	1	1	0.319207223054608	0.281568507641738	1	1	0.665464001998035	1
AT1G01115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01120	0.109149614078412	1	1	1	1	0.321521989523803	0.836122947996116	0.309665443155166	0.396038459374587	1
AT1G01130	0.0560408201560458	1	1	1	1	0.377748747604398	0.977214791839492	0.332868947448102	1	1
AT1G01140	0.11921474862878	1	1	1	1	0.281567100091919	0.308566535199601	0.301855123764527	1	1
AT1G01150	1	0.842291463351189	1	1	1	0.370292678022352	1	0.923821939678907	1	1
AT1G01160	7.52445033012112e-05	0.141527918459666	0.286516903539725	0.0644421863147164	0.180274859717918	0.335540597753369	0.975852024090231	1	1	1
AT1G01170	0.115720830137468	0.151204164834768	1	0.350424334018346	0.107488798691099	0.00585552513425726	0.593088759907306	0.135156519453263	1	1
AT1G01180	1	1	0.706490237548088	0.0446574705727831	0.369262126718523	1	0.885298622090314	0.2746249861249	1	1
AT1G01190	0.489792930022278	0.363634163068797	1	0.726682557303174	1	1	1	0.504813498749061	1	0.220230414146732
AT1G01200	1	0.263275295745383	1	0.49441084919971	1	1	1	0.191032316554771	1	0.646944956533867
AT1G01210	0.911482319171131	0.0544728373232921	1	0.515450080951007	1	1	1	1	1	1
AT1G01220	0.902161979196631	0.0446333135680839	0.651295133683766	0.160054677754576	0.459411189056192	0.724410327631315	1	1	1	1
AT1G01225	1	0.134154828771368	0.932988245132627	0.721253097342605	0.113216806872872	0.291204871511949	1	1	0.659422869440178	1
AT1G01230	0.0194815358320348	0.783768906577331	0.503263186179746	0.000910599926706548	0.214202778223066	0.0981408552660705	1	0.470670984348833	0.842093349024275	1
AT1G01240	1	1	1	0.872829158108901	0.0715736120430444	0.983803423659989	1	1	1	1
AT1G01250	1	0.128971958562889	0.921234588783857	0.839987444562779	1	0.241021987247752	0.820487514136228	0.813138682852908	0.750454532040151	1
AT1G01260	0.15067082319894	1	1	0.353618775628012	0.126437430797888	0.204309587623243	1	1	1	1
AT1G01270	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01290	0.190247258283561	0.223806165684908	1	0.015370216753167	0.251482882735765	0.17644312003011	0.952080523130186	1	1	1
AT1G01300	0.0113071507567326	0.999166385586985	1	1	1	0.794181884585909	0.878384273810508	0.330207234827372	0.875227206544659	0.233649199064317
AT1G01305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G01310	0.836406616866389	1	1	1	0.856475511763467	1	1	1	1	1
AT1G01320	0.525178709815056	0.0654062683733861	0.779748595314331	0.37581929683835	1	0.906359945525765	1	1	1	1
AT1G01340	2.04520898500408e-05	0.453098701938726	1	0.620055049845487	1	1	0.613242434430286	0.521105431598201	1	1
AT1G01350	0.180632545087811	0.216733345191217	0.637231119346215	0.0393449597280316	0.556150780237773	1	1	1	1	1
AT1G01355	1	1	1	1	0.825312057546065	1	0.264423538481432	0.591465399098755	1	1
AT1G01360	1	1	1	0.0200530751383895	0.495251821002578	1	1	1	1	1
AT1G01370	0.462164603740079	0.219434475908927	1	0.654895964311789	0.905214432520612	0.476143520841053	0.872953512179368	1	1	0.221613544046553
AT1G01380	1	0.378833688511979	1	0.525497343961138	0.869995112890658	0.470170608138722	1	1	1	0.83886427021579
AT1G01390	1	0.665744779876014	0.87100348689124	0.571736509424067	1	1	0.0231595651396839	0.674246887757406	1	1
AT1G01400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
