GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	0.0793598265180514	0.924733585767303	1	1	1	1	1	1	1	1
AT1G01020	0.221506434619764	0.661305460897661	1	0.427959178882911	1	1	1	1	1	1
AT1G01030	1	0.462280951557307	1	1	1	1	1	1	1	1
AT1G01040	0.469623845408004	0.51130221632429	1	0.265126446791519	1	1	1	1	1	1
AT1G01050	0.43798115045001	0.231054706807599	1	1	1	1	1	1	1	1
AT1G01060	1	0.687391542188202	1	0.583278828948142	1	1	1	1	1	1
AT1G01070	1	1	1	1	1	1	1	1	1	1
AT1G01073	1	1	1	1	1	1	1	1	1	1
AT1G01080	0.974217325222577	0.242451603007222	1	1	1	1	1	1	1	1
AT1G01090	0.981456206155252	0.409136379139531	1	0.508859086738468	1	1	1	1	1	1
AT1G01100	1	0.466498779605267	1	1	1	1	1	1	1	1
AT1G01110	1	1	1	1	1	1	1	1	1	1
AT1G01115	1	1	1	1	1	1	1	1	1	1
AT1G01120	0.393577325543116	1	1	1	1	1	1	1	1	1
AT1G01130	0.278725336414451	1	1	1	1	1	1	1	1	1
AT1G01140	0.413061970575713	1	1	1	1	1	1	1	1	1
AT1G01150	1	1	1	1	1	1	1	1	1	1
AT1G01160	0.00941017942582275	0.553546599817372	1	0.535986698245114	1	1	1	1	1	1
AT1G01170	0.406131949581578	0.572761165715101	1	1	0.826817342578679	0.481091446447277	1	1	1	1
AT1G01180	1	1	1	0.468570975805606	1	1	1	1	1	1
AT1G01190	0.987896761773138	0.926672446178103	1	1	1	1	1	1	1	1
AT1G01200	1	0.763957316180344	1	1	1	1	1	1	1	1
AT1G01210	1	0.403034211805065	1	1	1	1	1	1	1	1
AT1G01220	1	0.385285195430513	1	0.791137988731356	1	1	1	1	1	1
AT1G01225	1	0.540218836636361	1	1	0.848354530863449	1	1	1	1	1
AT1G01230	0.155234594192844	1	1	0.187248551588061	1	0.949674512188734	1	1	1	1
AT1G01240	1	1	1	1	0.698587334695304	1	1	1	1	1
AT1G01250	1	0.530413474378483	1	1	1	1	1	1	1	1
AT1G01260	0.472972799642618	1	1	1	0.896232464332859	1	1	1	1	1
AT1G01270	1	1	1	1	1	1	1	1	1	1
AT1G01280	1	1	1	1	1	1	1	1	1	1
AT1G01290	0.543012829177241	0.694305609484079	1	0.333898420551427	1	1	1	1	1	1
AT1G01300	0.113964172460672	1	1	1	1	1	1	1	1	1
AT1G01305	1	1	1	1	1	1	1	1	1	1
AT1G01310	1	1	1	1	1	1	1	1	1	1
AT1G01320	1	0.416811130849274	1	1	1	1	1	1	1	1
AT1G01340	0.00540483372387572	1	1	1	1	1	1	1	1	1
AT1G01350	0.527793760490249	0.681004086596018	1	0.44800822173767	1	1	1	1	1	1
AT1G01355	1	1	1	1	1	1	1	1	1	1
AT1G01360	1	1	1	0.353292459173524	1	1	1	1	1	1
AT1G01370	0.953491143040095	0.686308364500909	1	1	1	1	1	1	1	1
AT1G01380	1	0.950476927798382	1	1	1	1	1	1	1	1
AT1G01390	1	1	1	1	1	1	1	1	1	1
AT1G01400	1	1	1	1	1	1	1	1	1	1
AT1G01410	1	1	1	1	1	1	1	1	1	1
AT1G01420	1	0.846397415247562	1	1	1	1	1	1	1	1
AT1G01430	1	1	1	0.370761598090595	1	1	1	1	1	1
AT1G01440	0.0795206541862215	1	1	1	1	1	1	1	1	1
AT1G01448	0.593331205911765	0.857713340684202	1	1	0.851870664433759	0.724707834735423	1	1	1	1
AT1G01450	1	1	1	1	1	1	1	1	1	1
AT1G01453	1	1	1	1	1	1	1	1	1	1
AT1G01460	1	1	1	1	1	1	1	1	1	1
AT1G01470	1	1	1	1	1	0.995632181553392	1	1	1	1
AT1G01471	1	1	1	1	1	1	1	1	1	1
AT1G01480	1	1	1	1	1	1	1	1	1	1
AT1G01490	0.0615544414171279	1	1	1	0.879597765661859	1	1	1	1	1
AT1G01500	0.587846909149637	0.342593644579962	1	0.621961582085136	1	1	1	1	1	1
AT1G01510	0.060794384207098	0.355816377564174	1	0.270420772015112	0.794712143373567	0.700226268077543	1	1	1	1
AT1G01520	1	0.691493027024761	1	1	1	1	1	1	1	1
AT1G01530	1	1	1	1	1	1	1	1	1	1
AT1G01540	0.676587420425003	1	1	1	1	1	1	1	1	1
AT1G01550	0.145255246073289	1	1	1	1	1	1	1	1	1
AT1G01560	0.280622614060637	1	1	1	1	1	1	1	1	1
AT1G01570	1	1	1	1	1	0.459628500473952	1	1	1	1
AT1G01580	1	1	1	1	1	1	1	1	1	1
AT1G01590	1	1	1	1	1	1	1	1	1	1
AT1G01600	1	1	1	1	1	1	1	1	1	1
AT1G01610	0.198995347436482	1	1	0.443507289498452	1	1	1	1	1	1
AT1G01620	0.96214238899864	1	1	1	1	1	1	1	1	1
AT1G01630	0.209069821214052	0.633611822036732	1	0.290960837791265	1	1	1	1	1	1
AT1G01640	1	1	1	1	1	1	1	1	1	1
AT1G01650	0.294838245948352	1	1	1	1	0.747615050305189	1	1	1	1
AT1G01660	0.476709296188804	1	1	0.88224655568457	1	1	1	1	1	1
AT1G01670	0.330242711605075	1	1	1	0.772768545277807	0.835839271463782	1	1	1	1
AT1G01680	0.0586806305401013	1	1	1	1	1	1	1	1	1
AT1G01690	0.153109372671448	0.513534955764436	1	1	1	0.989869342917352	1	1	1	1
AT1G01695	1	1	1	1	1	1	1	1	1	1
AT1G01700	1	0.95843484639568	1	1	1	1	1	1	1	1
AT1G01710	0.297969330684376	1	1	0.822443935373856	0.958357067135812	1	1	1	1	1
AT1G01720	0.123951562584559	1	1	0.551292653533722	1	1	1	1	1	1
AT1G01725	0.547965997555174	1	1	1	0.673063599090055	1	1	1	1	1
AT1G01730	0.316352423633237	1	1	0.552307329490733	1	1	1	1	1	1
AT1G01740	0.0900669801141769	0.693356725655479	1	0.528528155842463	1	1	1	1	1	1
AT1G01750	1	1	1	1	1	1	1	1	1	1
AT1G01760	0.09664011180565	1	1	1	1	0.777194510836301	1	1	1	1
AT1G01770	0.332312248184434	0.529271885337223	1	1	0.43609666030711	0.473250151584235	1	1	1	1
AT1G01780	0.0456850300897065	0.481996244908874	1	1	0.43609666030711	1	1	1	1	1
AT1G01790	1	0.385051194561887	1	1	0.585540725967117	1	1	1	1	1
AT1G01800	0.0399970290561594	1	1	0.355505896751298	0.897506479528247	1	1	1	1	1
AT1G01810	1	0.846270887036332	1	1	1	1	1	1	1	1
AT1G01820	0.011019805728924	1	1	0.575697120954416	1	0.996155365284339	1	1	1	1
AT1G01830	0.947424596758747	0.494039955786505	1	1	1	1	1	1	1	1
AT1G01840	1	0.34322061744795	1	1	1	0.547878520462597	1	1	1	1
AT1G01860	1	0.247862771969345	1	0.899936362088427	1	1	1	1	1	1
AT1G01880	0.821996070617678	0.753463007733783	1	1	1	1	1	1	1	1
AT1G01900	1	1	1	1	1	1	1	1	1	1
AT1G01910	0.00498549919883121	0.13927410032852	1	0.209900596880213	0.177115316192521	0.296505144600699	1	1	1	1
AT1G01920	0.278787595866021	0.462280951557307	1	0.515919489911967	1	1	1	1	1	1
AT1G01930	0.00352696500969547	0.174341418424254	1	1	0.305958263075006	0.641513285020081	1	1	1	1
AT1G01940	0.0694852042896336	0.580803175155294	1	1	1	1	1	1	1	1
AT1G01950	0.394141399763175	1	1	1	1	1	1	1	1	1
AT1G01960	0.190743238509665	0.415720401962349	1	0.436324170623009	1	1	1	1	1	1
AT1G01970	1	0.487249453560075	1	1	1	1	1	1	1	1
AT1G01980	1	1	1	1	1	1	1	1	1	1
AT1G01990	0.896477643324152	0.929302883645334	1	0.377425781016137	1	1	1	1	1	1
AT1G02000	0.0823047601494872	1	1	0.464801308472621	1	1	1	1	1	1
AT1G02010	1	0.539147601756771	1	1	0.678512946124294	1	1	1	1	1
AT1G02020	1	0.50091638212863	1	0.602462961523156	1	1	1	1	1	1
AT1G02030	1	1	1	1	1	1	1	1	1	1
AT1G02040	1	1	1	1	1	1	1	1	1	1
AT1G02050	0.3975246748372	1	1	0.350070662152923	1	1	1	1	1	1
AT1G02060	1	0.629054884402876	1	0.717531788648137	1	1	1	1	1	1
AT1G02065	1	1	1	1	1	1	1	1	1	1
AT1G02070	1	1	1	1	1	1	1	1	1	1
AT1G02074	1	1	1	1	1	1	1	1	1	1
AT1G02080	0.317513178751024	0.754316099481228	1	0.830232800454425	1	1	1	1	1	1
AT1G02090	0.0657696526053481	0.232808604910274	1	0.209900596880213	1	0.641513285020081	1	1	1	1
AT1G02100	0.346280366310114	1	1	1	1	1	1	1	1	1
AT1G02110	0.305565370470824	0.60102862194582	1	1	0.619408745443157	1	1	1	1	1
AT1G02120	0.0605120496714744	0.805337799078765	1	0.181497443356539	0.794671817559885	1	1	1	1	1
AT1G02130	0.593267546858986	0.807449507252109	1	0.71945744979918	0.130814642637296	1	1	1	1	1
AT1G02136	1	1	1	1	1	1	1	1	1	1
AT1G02140	0.133189495584503	0.264101417473439	1	0.339560957308162	1	1	1	1	1	1
AT1G02145	0.400742215312172	0.392060636957043	1	0.185273836681883	0.312349799362809	0.804078801957322	1	1	1	1
AT1G02150	1	0.363436311103409	1	0.801803265136207	1	1	1	1	1	1
AT1G02160	0.209679060088034	1	1	0.34132493921519	1	0.724707834735423	1	1	1	1
AT1G02170	0.252910642853	1	1	1	1	1	1	1	1	1
AT1G02180	1	0.496982943947	1	1	1	0.989869342917352	1	1	1	1
AT1G02190	0.387352554134778	1	1	1	1	1	1	1	1	1
AT1G02205	1	1	1	0.758623573519068	1	1	1	1	1	1
AT1G02210	1	1	1	1	1	1	1	1	1	1
AT1G02220	0.0183485976943141	1	1	1	1	1	1	1	1	1
AT1G02228	1	1	1	1	1	1	1	1	1	1
AT1G02230	0.231974057299479	1	1	1	1	1	1	1	1	1
AT1G02250	1	1	1	1	1	1	1	1	1	1
AT1G02260	0.231951657408033	1	1	1	0.715921755661862	1	1	1	1	1
AT1G02270	0.1732457811827	1	1	1	1	1	1	1	1	1
AT1G02280	1	0.387534931195586	1	1	1	1	1	1	1	1
AT1G02290	0.850508343514939	0.554863515058742	1	0.927748030481669	0.357286846084701	1	1	1	1	1
AT1G02300	0.813934787786272	1	1	1	0.93088134100668	1	1	1	1	1
AT1G02305	0.445188457507124	1	1	1	0.55461645373441	1	1	1	1	1
AT1G02310	1	1	1	1	1	1	1	1	1	1
AT1G02320	1	1	1	1	1	1	1	1	1	1
AT1G02330	0.324083626339295	1	1	1	0.492925124454342	0.949439299530745	1	1	1	1
AT1G02335	1	1	1	1	1	1	1	1	1	1
AT1G02340	1	1	1	1	1	1	1	1	1	1
AT1G02350	1	1	1	1	0.594585441609113	1	1	1	1	1
AT1G02360	0.332792691831796	1	1	1	1	1	1	1	1	1
AT1G02370	0.920820872398995	0.443056670419987	1	1	1	1	1	1	1	1
AT1G02380	1	1	1	1	1	0.834460504467053	1	1	1	1
AT1G02390	0.313661567209424	1	1	1	1	1	1	1	1	1
AT1G02391	1	1	1	1	1	1	1	1	1	1
AT1G02400	1	1	1	1	1	1	1	1	1	1
AT1G02405	1	1	1	1	1	1	1	1	1	1
AT1G02410	0.383577025253938	1	1	1	0.454565240660769	1	1	1	1	1
AT1G02420	1	0.598790923523736	1	0.766031466670206	1	1	1	1	1	1
AT1G02430	1	1	1	1	1	1	1	1	1	1
AT1G02440	1	1	1	1	1	1	1	1	1	1
AT1G02450	1	1	1	1	1	1	1	1	1	1
AT1G02460	1	0.432746644209925	1	1	1	1	1	1	1	1
AT1G02470	0.29441264009644	1	1	1	1	1	1	1	1	1
AT1G02475	1	1	1	1	0.507416150031302	1	1	1	1	1
AT1G02490	1	1	1	1	1	1	1	1	1	1
AT1G02500	0.654940868542903	1	1	0.358190095010169	0.655174405997196	1	1	1	1	1
AT1G02510	1	1	1	1	1	1	1	1	1	1
AT1G02520	0.452793683054913	1	1	1	1	1	1	1	1	1
AT1G02530	1	1	1	1	1	1	1	1	1	1
AT1G02540	1	1	1	1	1	1	1	1	1	1
AT1G02550	1	1	1	1	1	1	1	1	1	1
AT1G02560	0.123798453715717	0.0548317496351886	1	1	0.461176627845401	0.725806426920097	1	1	1	1
AT1G02570	1	1	1	1	1	1	1	1	1	1
AT1G02575	1	1	1	1	1	1	1	1	1	1
AT1G02580	1	1	1	1	1	1	1	1	1	1
AT1G02590	1	1	1	1	1	1	1	1	1	1
AT1G02610	0.336209748879022	1	1	1	1	0.981777952603757	1	1	1	1
AT1G02620	0.360165690638792	1	1	1	1	1	1	1	1	1
AT1G02630	0.924739629045371	1	1	1	1	1	1	1	1	1
AT1G02640	0.424133057541037	1	1	1	1	0.968308040764398	1	1	1	1
AT1G02650	0.555595168115896	1	1	1	1	0.989869342917352	1	1	1	1
AT1G02660	0.347162077865921	1	1	1	1	1	1	1	1	1
AT1G02670	0.39250205325331	1	1	1	1	1	1	1	1	1
AT1G02680	0.18301148344183	0.771062792614548	1	1	0.511383423519483	0.818010309629884	1	1	1	1
AT1G02681	1	1	1	1	1	1	1	1	1	1
AT1G02690	1	0.633094931127213	1	1	1	1	1	1	1	1
AT1G02700	1	1	1	1	1	1	1	1	1	1
AT1G02710	1	1	1	1	1	1	1	1	1	1
AT1G02720	0.958795080409359	0.248299188059277	1	1	1	1	1	1	1	1
