GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	NA	2.333724068249	NA	0	0	NA	0	NA	0	NA
AT1G01020	NA	NA	NA	11.1078899314371	NA	NA	NA	NA	NA	NA
AT1G01030	0	8.99111848847204	0	4.60121609865078	0	0	0	0	0	0
AT1G01040	NA	8.02478354322892	NA	18.6800845749985	NA	NA	NA	NA	NA	NA
AT1G01050	NA	103.155489638127	NA	NA	55.5347991551166	NA	NA	NA	NA	NA
AT1G01060	NA	26.7620816711388	0	49.3225736591746	NA	0	NA	NA	0	0
AT1G01070	0	0	NA	0	NA	0	NA	NA	0	0
AT1G01073	0	0	0	0	0	0	0	0	0	0
AT1G01080	NA	145.128236953827	NA	NA	NA	53.8460826112753	NA	0	0	NA
AT1G01090	NA	136.19688545195	NA	177.196702616815	84.8758931060301	NA	NA	NA	NA	NA
AT1G01100	NA	607.371739830968	0	NA	0	NA	0	0	0	1957.2196490945
AT1G01110	NA	0	0	0	2.39144473669758	NA	0	0	NA	NA
AT1G01115	0	0	0	0	0	0	0	0	0	0
AT1G01120	NA	0	NA	0	NA	318.109624426491	NA	NA	NA	0
AT1G01130	NA	0	0	0	0	NA	NA	NA	NA	NA
AT1G01140	NA	0	NA	0	NA	NA	NA	NA	NA	0
AT1G01150	0	0.0161635845417079	0	0	0	0.104688149206316	0	0.0224756207279428	0	0
AT1G01160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01170	NA	NA	NA	NA	NA	414.634059483262	NA	NA	0	NA
AT1G01180	0	0	NA	30.5652311379084	NA	0	NA	NA	0	0
AT1G01190	NA	NA	0	NA	0	0	NA	NA	0	NA
AT1G01200	0	1.62148968997368	0	1.26907094237891	0	0	0	NA	0	NA
AT1G01210	NA	52.1196641676776	NA	22.3453152102633	0	NA	0	0	0	0
AT1G01220	NA	16.0354216344665	NA	14.2958058988498	NA	NA	0	0	0	0
AT1G01225	0	3.56398312249126	NA	NA	4.06731636296446	NA	NA	NA	NA	NA
AT1G01230	NA	NA	NA	NA	NA	33.2052149445193	NA	NA	NA	NA
AT1G01240	0	0	0	NA	NA	NA	0	0	0	0
AT1G01250	0	11.4195794470196	NA	NA	NA	NA	NA	NA	NA	0
AT1G01260	NA	0	0	7.4143807868645	10.3084442716328	NA	0	0	NA	0
AT1G01270	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0
AT1G01290	NA	NA	NA	22.6228173231669	NA	NA	NA	NA	0	0
AT1G01300	NA	NA	0	NA	0	NA	NA	NA	NA	NA
AT1G01305	0	0	0	0	0	0	0	0	0	0
AT1G01310	0.0251723777692907	0	0	0	0.0244005791925783	0	0	0	0	0
AT1G01320	NA	213.477234443331	NA	130.452745870505	NA	NA	0	0	0	NA
AT1G01340	6.80696232894556	1.13953497643004	NA	NA	0	0	NA	NA	0	0
AT1G01350	NA	9.17737765763605	NA	19.9134149471077	NA	NA	NA	NA	0	0
AT1G01355	0	0	0	0	NA	0	NA	NA	0	0
AT1G01360	0	0	0	23.8303711105216	5.73717423212991	0	0	0	0	0
AT1G01370	NA	1.96006779231644	0	NA	NA	NA	NA	0	NA	NA
AT1G01380	0	0.911816270490351	0	NA	NA	1.0716062968475	0	0	0	NA
AT1G01390	NA	NA	NA	NA	0	0	NA	NA	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0
AT1G01420	0	8.13424195006129	NA	8.57284997859814	0	0	0	NA	0	0
AT1G01430	NA	NA	NA	115.276353740852	NA	0	0	0	0	0
AT1G01440	16.833025283103	NA	17.0895250458522	NA	6.96388193420329	NA	0	0	NA	NA
AT1G01448	NA	NA	NA	NA	7.26539659748526	NA	0	0	NA	NA
AT1G01450	0	0.002254486320584	0	0	0	0	0	0	0	0.0105608781516797
AT1G01453	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0
AT1G01470	0	NA	NA	NA	NA	134.843980012668	NA	NA	NA	0
AT1G01471	0	0	0	0	0	0	0	0	0	0
AT1G01480	0	0	0	0	0	0	0	NA	0	0
AT1G01490	NA	NA	NA	NA	129.507352133848	0	NA	NA	0	0
AT1G01500	NA	25.7482424698773	NA	24.4416137743345	NA	NA	NA	NA	0	0
AT1G01510	NA	NA	NA	21.1796344063461	NA	19.3424277276583	NA	0	NA	NA
AT1G01520	0	11.8364512660615	0	NA	NA	0	0	0	0	0
AT1G01530	0	0.00575401023720334	0	0	0.000103644693268512	0	0	0	0	0
AT1G01540	NA	NA	NA	0	NA	132.783594169921	NA	NA	NA	NA
AT1G01550	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01560	7.73076637891419	0	0	0	0	NA	0	NA	0	0
AT1G01570	NA	1.23104427885664	NA	0	0	8.39128305658169	0	NA	NA	NA
AT1G01580	0	NA	8.60054916617087	NA	NA	0	NA	NA	0	0
AT1G01590	0	0	0.021189072671947	0	0.217552216601576	0	NA	0.581479432713933	0	0
AT1G01600	0.230027416146113	0.349471539830636	0	0	0	0.284801520391815	0	0	NA	NA
AT1G01610	NA	NA	NA	72.3117477684417	0	NA	0	0	NA	NA
AT1G01620	NA	0	0	0	NA	565.222751767695	NA	0	NA	0
AT1G01630	68.9741720124241	43.1383190570083	NA	112.268709883605	NA	NA	0	NA	NA	NA
AT1G01640	0.286582677071089	0	NA	0	NA	1.58306977039224	NA	NA	NA	0
AT1G01650	NA	0	39.8191925561772	NA	NA	43.2758827900492	NA	NA	NA	NA
AT1G01660	NA	NA	NA	NA	1.58837116957007	NA	0	0	NA	0
AT1G01670	NA	NA	9.01827609538171	NA	6.3075283510406	9.65529790463738	NA	NA	0	NA
AT1G01680	1.25250251740087	0	0	0	0	0.144835715013286	0	NA	0	0
AT1G01690	NA	2.47998520478706	NA	NA	NA	3.52538941266336	0	0	0	NA
AT1G01695	0.156436513608593	0	0	0.220232814295514	0.176185087885895	0.0301223085238707	0	0	0	0
