GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT1G01010	0.0798589449238253	0.924882048684686	1	1	1	1	1	1	1	1
AT1G01020	0.221565958124528	0.66465299550104	1	0.430685437010104	1	1	1	1	1	1
AT1G01030	1	0.456759583998733	1	1	1	1	1	1	1	1
AT1G01040	0.46801396934637	0.50905525644314	1	0.273816950923205	1	1	1	1	1	1
AT1G01050	0.436229903750158	0.228757647526619	1	1	1	1	1	1	1	1
AT1G01060	1	0.68969803104369	1	0.589931567230983	1	1	1	1	1	1
AT1G01070	1	1	1	1	1	1	1	1	1	1
AT1G01073	1	1	1	1	1	1	1	1	1	1
AT1G01080	0.97344432091787	0.240724291948313	1	1	1	1	1	1	1	1
AT1G01090	0.982329325134254	0.407041519720173	1	0.515415504521803	1	1	1	1	1	1
AT1G01100	1	0.461056299774033	1	1	1	1	1	1	1	1
AT1G01110	1	1	1	1	1	1	1	1	1	1
AT1G01115	1	1	1	1	1	1	1	1	1	1
AT1G01120	0.393489823899382	1	1	1	1	1	1	1	1	1
AT1G01130	0.277325142415282	1	1	1	1	1	1	1	1	1
AT1G01140	0.412522977138489	1	1	1	1	1	1	1	1	1
AT1G01150	1	1	1	1	1	1	1	1	1	1
AT1G01160	0.00851528379770375	0.554135735725533	1	0.545402926914172	1	1	1	1	1	1
AT1G01170	0.40567950546253	0.573258512797524	1	1	0.840909169317347	0.505540118725077	1	1	1	1
AT1G01180	1	1	1	0.475485888701824	1	1	1	1	1	1
AT1G01190	0.987910297284686	0.92639615743446	1	1	1	1	1	1	1	1
AT1G01200	1	0.764303389709757	1	1	1	1	1	1	1	1
AT1G01210	1	0.398830188471639	1	1	1	1	1	1	1	1
AT1G01220	1	0.387214864232997	1	0.790153350336002	1	1	1	1	1	1
AT1G01225	1	0.540246523734634	1	1	0.860752349217184	1	1	1	1	1
AT1G01230	0.153469480491205	1	1	0.181242796422345	1	0.948332574998052	1	1	1	1
AT1G01240	1	1	1	1	0.708537993542128	1	1	1	1	1
AT1G01250	1	0.531172107508239	1	1	1	1	1	1	1	1
AT1G01260	0.470552617188306	1	1	1	0.90395366679179	1	1	1	1	1
AT1G01270	1	1	1	1	1	1	1	1	1	1
AT1G01280	1	1	1	1	1	1	1	1	1	1
AT1G01290	0.543613398522046	0.695568289423732	1	0.338924944057683	1	1	1	1	1	1
AT1G01300	0.112898410004575	1	1	1	1	1	1	1	1	1
AT1G01305	1	1	1	1	1	1	1	1	1	1
AT1G01310	1	1	1	1	1	1	1	1	1	1
AT1G01320	1	0.41644915138683	1	1	1	1	1	1	1	1
AT1G01340	0.00518640489799289	1	1	1	1	1	1	1	1	1
AT1G01350	0.526174393270563	0.684120498784835	1	0.445626573883224	1	1	1	1	1	1
AT1G01355	1	1	1	1	1	1	1	1	1	1
AT1G01360	1	1	1	0.354599568856871	1	1	1	1	1	1
AT1G01370	0.954336028054872	0.688798158150367	1	1	1	1	1	1	1	1
AT1G01380	1	0.949326842083018	1	1	1	1	1	1	1	1
AT1G01390	1	1	1	1	1	1	1	1	1	1
AT1G01400	1	1	1	1	1	1	1	1	1	1
AT1G01410	1	1	1	1	1	1	1	1	1	1
AT1G01420	1	0.847826084795401	1	1	1	1	1	1	1	1
AT1G01430	1	1	1	0.373577394469787	1	1	1	1	1	1
AT1G01440	0.0800173505107033	1	1	1	1	1	1	1	1	1
AT1G01448	0.591329033752197	0.857987560199876	1	1	0.863509532911861	0.71749940212272	1	1	1	1
AT1G01450	1	1	1	1	1	1	1	1	1	1
AT1G01453	1	1	1	1	1	1	1	1	1	1
AT1G01460	1	1	1	1	1	1	1	1	1	1
AT1G01470	1	1	1	1	1	1	1	1	1	1
AT1G01471	1	1	1	1	1	1	1	1	1	1
AT1G01480	1	1	1	1	1	1	1	1	1	1
AT1G01490	0.0632763419889046	1	1	1	0.887667239809937	1	1	1	1	1
AT1G01500	0.586225262503707	0.338274708007088	1	0.622621866073013	1	1	1	1	1	1
AT1G01510	0.0622165167305371	0.357052905153056	1	0.279408053943444	0.803604382829473	0.704671316367332	1	1	1	1
AT1G01520	1	0.693596875835229	1	1	1	1	1	1	1	1
AT1G01530	1	1	1	1	1	1	1	1	1	1
AT1G01540	0.674992008940409	1	1	1	1	1	1	1	1	1
AT1G01550	0.143427251689017	1	1	1	1	1	1	1	1	1
AT1G01560	0.279329918717556	1	1	1	1	1	1	1	1	1
AT1G01570	1	1	1	1	1	0.460210464281345	1	1	1	1
AT1G01580	1	1	1	1	1	1	1	1	1	1
AT1G01590	1	1	1	1	1	1	1	1	1	1
AT1G01600	1	1	1	1	1	1	1	1	1	1
AT1G01610	0.198437795520587	1	1	0.44194804381232	1	1	1	1	1	1
AT1G01620	0.961235608005461	1	1	1	1	1	1	1	1	1
AT1G01630	0.209273692322013	0.637098248544698	1	0.301912971724674	1	1	1	1	1	1
AT1G01640	1	1	1	1	1	1	1	1	1	1
AT1G01650	0.294528839832097	1	1	1	1	0.751127866442574	1	1	1	1
AT1G01660	0.474100454293891	1	1	0.883393713319213	1	1	1	1	1	1
AT1G01670	0.330236533303953	1	1	1	0.783482237324884	0.829353501378835	1	1	1	1
AT1G01680	0.0601283076991634	1	1	1	1	1	1	1	1	1
AT1G01690	0.151427672180154	0.512106537739148	1	1	1	0.988104133213725	1	1	1	1
AT1G01695	1	1	1	1	1	1	1	1	1	1
AT1G01700	1	0.957036215916457	1	1	1	1	1	1	1	1
AT1G01710	0.298734598012316	1	1	0.824262160728404	0.963701863598081	1	1	1	1	1
AT1G01720	0.123233673954703	1	1	0.559703447823027	1	1	1	1	1	1
AT1G01725	0.547548763413032	1	1	1	0.681363777073619	1	1	1	1	1
AT1G01730	0.316570072359506	1	1	0.560973081276088	1	1	1	1	1	1
AT1G01740	0.0900669801141769	0.694814539626842	1	0.536565787540412	1	1	1	1	1	1
AT1G01750	1	1	1	1	1	1	1	1	1	1
AT1G01760	0.0958635394786403	1	1	1	1	0.776253235654373	1	1	1	1
AT1G01770	0.332404498294258	0.529653020702864	1	1	0.429308630247076	0.487539288567324	1	1	1	1
AT1G01780	0.0471910887679317	0.478385984807117	1	1	0.428534047894004	1	1	1	1	1
AT1G01790	1	0.38645759837944	1	1	0.587525941286258	1	1	1	1	1
AT1G01800	0.0422086162080389	1	1	0.357294641175674	0.905049236875021	1	1	1	1	1
AT1G01810	1	0.847604506047196	1	1	1	1	1	1	1	1
AT1G01820	0.0110194247975491	1	1	0.583814623136693	1	1	1	1	1	1
AT1G01830	0.948574011911722	0.490143934694778	1	1	1	1	1	1	1	1
AT1G01840	1	0.340229655232375	1	1	1	0.592199158090379	1	1	1	1
AT1G01860	1	0.24765190611504	1	0.901506340038296	1	1	1	1	1	1
AT1G01880	0.824383664384419	0.7536906633473	1	1	1	1	1	1	1	1
AT1G01900	1	1	1	1	1	1	1	1	1	1
