GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT1G01140	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888	375.188626408888
AT1G01300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01550	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379	229.491114580379
AT1G01950	108.324223826797	108.384301308844	108.140794815216	108.202284313621	108.174981326518	108.0939582749	108.379391718043	108.230236806355	108.366945334053	108.185366083107	108.22608162234	108.219552594409	108.219001798415	108.166963888949	108.338822456025	108.346972740053	108.237606110335	108.280702636474	108.255430659122	108.281335913611	108.034513047611	108.097514781067	108.255971937326	108.19508566988	108.177108121185	108.27780279827	108.129634435339	108.248659331005	108.17797564789	108.239656937771	108.211400669434	108.211535156841	108.302717234289	108.085063167448	108.294251188134	108.165750918987	108.34728850218	108.339730040953	108.270559081051	108.22598781316	108.036324007807	108.322426787985	108.263005423224	108.052943513176	108.322374066162	108.279652558906	108.1159815829	108.210859391231	108.23676464572	108.222546915782	108.270652890231	108.236131368583	108.277855520094	108.204088063114	108.193034842444	108.302401472161	108.174430530523	107.98994177972	108.185665538464	108.15771304573	108.221679389076	108.160552850792	108.334820450152	108.210322186878	108.218434155332	108.189836564251	108.14526529636	108.080895275698	108.049387007009
AT1G02170	62.3674443547245	62.5285875761201	63.23603081333	62.5621039408354	63.0031794071794	59.7129265447149	60.7359560404266	62.0571307764558	61.4549039050398	62.0106999191329	62.8190119196889	62.6888117657015	62.1450850471942	63.8858077870315	63.2118809145368	61.5613821893214	60.3845015156699	62.9559108233578	61.409473242335	62.6171014232175	61.6344293517821	61.6418170040827	61.6921734882632	62.7310576489505	67.8502358821765	62.3661003607579	62.9043047292587	65.0534563355076	64.7897064749033	63.9682379311684	62.7369078355538	60.3798192431037	63.7905092942109	61.0537461155984	61.4098829129212	63.2631725073961	64.3028881116405	62.2353090618161	63.1165824217162	64.9768149841351	63.3627386381962	60.8612019810221	64.1157796024086	63.7152980997138	63.0413712272192	62.3157438765774	65.7273832080023	64.9199196151678	65.2979971061631	60.1872751085275	63.1068813234483	63.6298376958524	62.3083562242768	63.780808195943	61.0584283881645	62.1288307775345	64.6240702336685	67.1763090096819	62.0834001148296	62.6846267916275	64.2459927426732	62.0629809630591	60.3868534172095	62.3292525346848	63.5782316017534	63.2943110586737	63.2910282957121	62.5892456349014	63.2025144486148
AT1G02270	40.019105522853	38.3105459596503	33.2590301983272	33.8998473987226	33.9545715885031	34.5557931387902	38.9481766369944	38.2555790086057	34.4736633205549	37.394713443189	34.7646523234128	34.8060277491346	33.5933030500362	34.8627125612723	35.4988093558162	38.5134833977674	38.7246302578377	40.2744542675012	39.0578978685191	29.7008076729514	39.2090247879432	39.141016407522	33.7275784924442	32.7197565333646	28.6453941992824	32.6665706969059	38.3016768863876	36.0275965050413	32.5375423748699	33.6937234375542	34.7219735931845	39.9764267926247	30.7731433056011	29.2192101211147	34.9185894058121	33.4204656574572	29.6641362063719	30.9112545124238	28.3388498505961	29.30133993935	33.4899200405501	29.6082593618321	32.1402602437489	28.6321100086416	33.4701770583975	33.0472236869474	37.2612586335291	33.0011258091655	29.5515745496944	36.165707711864	32.0068054340889	28.240432822659	33.803444669079	35.1502040657621	33.0560927602102	29.8957508663219	34.9552608723916	36.1513681993197	33.8865632080818	33.4948860220992	37.7919955743101	38.7443732399903	28.473125293004	38.6749188568974	30.8969149998795	37.9210238963461	35.020001068061	37.9742097328048	30.244356156376
AT1G02410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03220	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706	333.030402369706
