GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT1G01140	530.380463856353	554.693889818854	406.729319957488	571.774030837245	504.002357536802	562.987922206906	505.449577924748	532.847414175677	498.595421352788	552.247076102586	342.336819103369	437.406897594337	589.426183526877	370.418131949756	573.448271543218	472.903154645197	530.221680473823	548.532049986303	589.179675844135	323.959929936824	574.760404967364	577.87274302433	551.788525832304	179.215067232071	403.292004468519	419.259148576722	568.61613698358	559.550606717937	320.074350463359	418.501802717945	410.481236169102	526.676734199175	148.571812807846	381.433809299947	304.830415057265	374.121861606934	488.546918755188	376.588811926258	398.435287569435	395.988473853168	421.614140774912	395.529923582885	316.644552395779	392.273447736885	335.473669481489	432.921073594717	167.701327687405	325.053477507487	281.148295344919	480.026154967109	373.963078224404	347.743755287384	332.28831650577	415.515428587826	417.1896692938	445.613592591717	349.19097567533	575.517750826141	566.73983841852	336.205043006052	601.872194841135	537.692411549365	433.167581277458	476.332952712778	160.38595014636	481.312079756905	412.357534734161	492.463645255471	323.767552717691
AT1G01300	225.116966807487	199.544645967993	271.612705243755	200.885843385154	286.087731395692	208.004879563004	204.385412026049	225.266473339741	211.187680516869	202.174676792047	278.808755854241	205.916655806746	210.026683497657	293.961760737583	197.475706669067	260.737860568237	206.869083206054	207.754098631811	233.140502681631	326.027928137952	222.218179296537	232.136405683083	279.312770111905	270.987690641855	260.365904023945	265.206670082001	218.491512055954	198.11700573405	288.377302209803	331.808948697807	292.957663739035	210.791447187803	312.180181138598	254.382858318136	266.737913862698	283.039437352489	268.826137618956	272.00893857282	317.437234516753	258.938263790002	261.707101441106	285.938224863439	315.204116374088	268.885244566656	270.725754674929	258.296964725018	264.17501715175	264.865953837411	227.556044153852	274.475570192532	324.996275207701	332.141290969094	256.615976460801	270.847941553609	278.726955345503	321.559118624188	271.320032913143	208.063986510704	282.707117691216	262.995934847999	251.358923082647	217.905697289551	335.296828248484	209.904496618977	268.575356687762	221.885859635265	204.044695781459	217.98749779829	267.690341262005
AT1G01355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01490	1040.65673228677	1148.93854503398	1375.78089591756	1000.99064457254	1214.16288154839	1003.89482037088	1289.08641666085	1343.96073386751	1000.38985793917	1307.33274673907	1077.28471941521	1003.12180262114	1033.51919132263	1221.17894516262	1002.06277202868	1054.01040018314	1063.42448287206	1255.7534784494	1363.24045059997	1031.26982242038	1070.69123457126	1059.83720461667	1096.56443614767	1136.77830812067	1268.73878648098	1403.45432257297	1278.29197201611	1347.45425067855	1297.94583687268	1130.15751275986	1379.95014418168	1311.60030581803	1396.83352721216	1373.25035039599	1300.19520577494	1080.77823622625	1320.68641463544	1411.38427905345	1106.57433594369	1337.36724902356	1086.27183139512	1487.85495961492	1270.57083482318	1415.61455948628	1022.41040220855	1115.27798619187	1330.10049732436	1011.61595756381	1494.40745018873	1128.681867143	1113.27412972938	1005.56747165884	1326.51321906897	1267.06587239147	1272.59130974598	1227.73143573643	1144.70826460114	846.598115277083	1109.10488146525	1480.83889600069	1044.92429136573	1272.24348611114	1267.66665902484	1005.91529529367	1522.4294929017	1269.79781707344	1352.94784584742	1381.95400064417	1395.3578815953
AT1G01550	499.424476660633	502.440239846176	416.836730782144	494.922613490399	411.956727708064	512.324897687812	520.260557471403	398.984044312526	479.378553132187	501.316670525482	339.905376263306	513.701489810861	493.847543029355	397.443374174882	474.656023281085	507.552861056488	526.486546913193	524.317237475395	540.617152371442	422.42539601442	491.675128426947	511.492597205013	511.71140337181	321.439959517788	333.870844999808	342.986392694491	495.604107924947	538.365838400242	436.803145819115	437.294671689067	316.01815853019	527.673271096884	366.769521671304	443.520661130858	416.458590878297	430.735604028526	391.690137498749	406.346517916551	410.881657247019	441.35135169306	428.526711422678	434.116639350601	396.412667349852	333.492705095962	416.273668632676	427.528890781479	344.563004999144	429.359011905477	412.638222142611	449.73540745364	457.651266589107	323.380632134216	455.399952617906	422.871262045641	424.586975274153	419.47435406384	418.350784743147	480.409259957218	444.707385314548	408.709242644612	505.391281796755	519.76903160145	404.405845300124	517.082525132937	365.203354877916	448.169240660252	428.745517589474	425.952278476826	333.307782850341
AT1G01950	303.129007416123	309.986300347274	108.554170234423	229.102620929827	103.748610704859	183.174757024433	306.368119106345	207.435280338138	310.853474238194	220.008125721254	80.6933794940175	215.202566191689	242.062361478639	74.8985188107265	300.933137954888	306.693416978912	246.068893047396	262.464831030716	271.306847345464	196.569573015233	202.732244129634	188.383093608497	197.725086864597	73.6757427856181	70.1607346077085	87.945563264534	183.300398682294	206.812793471458	115.632904338733	185.129698272448	86.2711313777666	186.352474297557	104.408547824531	71.8464431954638	189.479182468058	147.634833570151	215.862503311362	198.532344860444	188.360012691205	76.9060572043753	76.0499131976568	206.605222516863	189.534760779015	76.9291381216666	199.399518751364	191.675051929293	93.5588075857144	159.852891858634	85.1156175284032	227.086859825563	192.147334980848	151.010875543885	95.1512670300331	95.3588379846283	134.614937560566	195.239461492082	130.608405991809	91.2782886428036	95.9813248513083	117.648665442997	181.614690094539	205.012763072545	194.914163619515	259.088789056982	78.0808052921849	185.495386712829	74.0414312259985	187.503868684487	71.7208015376027
AT1G02170	136.419474706393	148.196936512248	103.83510609438	137.939511751407	89.283524953426	160.941303509975	107.788363967251	149.767800105378	124.674618296425	132.327661309585	92.7085784586477	134.535504963917	126.812984115674	60.6646619009635	94.7690675579902	151.004398804682	142.174623417667	144.120231574674	114.250993913476	152.545425308733	153.863447527338	145.342885124031	151.314913629276	115.663394448351	93.6461167441822	117.21050797225	147.719148892154	94.1659006867171	109.698344663385	82.4969253415332	132.396290536673	139.839282992603	61.4985276482113	105.734877335577	73.6839583102245	97.4582155726787	130.97830124284	116.899993147655	95.602933305238	96.8738955858137	100.431099306891	112.749213555395	143.802750320412	68.2106633923392	102.315069049366	111.238479467004	60.0614950296904	92.4172087566561	43.489769192963	146.853619212422	54.3723311794469	110.015825917647	119.759041870311	20.2679255224202	108.07021776064	90.5702126393979	77.5941748499898	127.750522401209	80.146588256449	98.2232556525579	126.521614413683	166.5006961937	126.836897852948	123.387930610453	113.614743235127	116.60133099856	118.441019651706	131.562621229705	114.092530855221
AT1G02270	75.1938495190238	76.2129381524415	42.4732294300975	59.6976018879215	47.4669443302369	67.927077780103	72.4865001090007	71.0315968745508	63.9956205481656	73.0966232818039	49.5438477292051	65.0121921297991	58.4304212481924	71.7265093721846	68.8857085968353	68.1232312199162	74.105061491134	76.6697628451209	77.3854205954194	41.9579826788138	73.1169461200556	75.9367010641586	56.8291846049097	45.183687392992	34.0476000981028	50.3812784568151	74.2532105817733	63.515762173276	47.4974276565294	46.8364983191819	52.3852421534997	78.0352439433184	37.8657603834572	38.3456187583469	61.3070190615725	52.7957731280041	35.6570172717538	42.3017591677541	32.7804194583737	42.2770759902843	48.217852844529	46.0765075823658	47.4466214919852	24.6366974845212	48.4550597013153	48.6032087919546	43.913831281781	45.3815950847321	39.3621903399804	67.9517609575728	18.2638294919622	30.5625915996446	51.7354188056007	50.6858686095564	50.5629363626228	25.0358668197376	67.6079844686325	73.2981227996335	50.2866992743399	56.2125933894633	73.1474294463481	73.8678546343477	31.179182815091	78.4457749178228	47.6481210098148	76.0312802466338	51.0197610553022	70.8336891828107	43.2357068070166
AT1G02410	22.2986039859718	25.6364797545789	27.3571379455296	22.8533968415232	26.2034701806841	23.0460414986706	26.2391625352823	23.0923589643881	22.8026244378468	22.8128881908405	24.8887684650883	27.3142334853889	22.8231442140167	28.4165009205444	23.1096475932475	24.0965184833982	26.1414522125459	22.3629249586961	22.1332858820203	23.7169585344301	21.9020773410377	28.7325880338473	22.3345049022243	27.8285176902577	28.8191757930996	34.1277774822325	27.3501344016415	27.8387737134339	31.2190996801012	24.5835640904585	29.9043979645054	30.652109253996	34.470157860368	28.1079884638052	26.5235869226858	21.5079574232687	29.1121479828154	33.4321304199615	23.3841754732371	35.4339860471149	27.6680491318678	27.3785544581133	27.818253937264	39.4857873597851	30.0343509234765	25.2102070222707	31.157081711963	29.5991935898756	26.8703653270823	23.9594937639592	23.9449602634622	30.4183565476977	30.2258365216879	28.9605897628793	28.0616709980878	22.3415084461124	27.8690263409403	23.8035462936825	22.6524196324507	28.3998049726543	25.0187214240593	28.1252770926646	31.8859948264994	24.3843737576744	26.9177068404548	28.9751232633764	31.2547920346995	27.1489153814374	29.4000032570916
AT1G03220	862.592677350425	741.364818735997	552.113886903774	798.103603789529	630.05809242347	839.363634311142	711.302323424922	669.965728289653	774.759626287205	861.518673281344	691.486523558576	669.472240767406	655.323789653614	457.435349646344	754.596096650113	761.771437985947	850.674960079725	843.236413885544	924.20488148088	680.943691909642	794.489532377723	806.139894300295	773.565716494345	506.901767740831	475.920405110934	702.330236760195	623.956396262031	762.406906522094	603.218470000945	581.146216808238	510.777291768504	775.002363157682	516.643534210715	646.951457779146	686.24335442983	521.755255388493	673.663257262252	720.17630896351	616.623786167493	582.176382214848	595.407660128964	765.016444959731	638.915167268381	544.215804308128	600.327485123703	675.831970731864	514.474820741103	464.767959740882	527.054917908681	635.108841632083	602.583001464798	441.139048602555	615.813926636534	615.571189766056	703.404240829277	680.175197789994	614.377279973196	740.334653329387	684.047977364395	496.135353132465	879.364745484659	666.09020426198	628.887191756811	788.075628277959	503.015687565479	789.246528944619	635.301095856574	662.204124086627	510.283804246257
