"Mixture"	"cl"	"cl4"	"cl5"	"cl0"	"cl1"	"cl3"	"cl9"	"cl7"	"cl15"	"cl13"
"P002"	"0.111551384722241"	"0"	"0.106691615656964"	"0.245053634208603"	"0.2809459352775"	"0.108906414768963"	"0.0632738856940459"	"0.0186101371381028"	"0.0378216207382007"	"0.0290825572484864"
"P004"	"0.0897048105775269"	"0.0271057841005685"	"0.083788853790131"	"0.217672482589771"	"0.338120029424492"	"0.0607581035336581"	"0.0751005323905833"	"0.0364042286752417"	"0.0379403592298432"	"0.034817033843755"
"P007"	"0.0498195723950389"	"0.210163021882163"	"0.101985339859402"	"0.240980660395686"	"0.255956236239771"	"0.00948401922071114"	"0.0379545780762546"	"0.0247781950144553"	"0.0309534298620706"	"0.0409029897017875"
"P017"	"0.0997477768415494"	"0.0247882639605775"	"0.0669923619744572"	"0.216127357657917"	"0.339023853358887"	"0.0854897630579873"	"0.0670066485007062"	"0.0255774530702932"	"0.0405544713028968"	"0.0383222353774493"
"P035"	"0.0337694926633689"	"0.149430023629361"	"0.0860826462631371"	"0.258905912184755"	"0.302632138175736"	"0.0242608023157834"	"0.0483802317232469"	"0.0280829721444062"	"0.0332463541964025"	"0.0358702458673397"
"P051"	"0.0913040558894608"	"0.0588029772491664"	"0.0765985663177047"	"0.221315568747576"	"0.337753607177821"	"0.068797909800965"	"0.0562991130891903"	"0.0273195133922984"	"0.0333704764795733"	"0.0307225232785864"
"P053"	"0.118030117816621"	"0.0696757378546243"	"0.0656186153195293"	"0.199297343303126"	"0.283789706446285"	"0.0621818779453561"	"0.0692847475875783"	"0.0266912078948525"	"0.0540676309234054"	"0.0516774017487233"
"P064"	"0.057806697524923"	"0.109469690263473"	"0.075713107736797"	"0.20471865428125"	"0.315891010365038"	"0.0653972514146069"	"0.066753406995991"	"0.0403950555926823"	"0.0332474872465212"	"0.0347384530657032"
"P077"	"0.08650413558722"	"0.030644114524942"	"0.0890522950854701"	"0.210857834329069"	"0.365377790720566"	"0.0454245629743908"	"0.0700678698561893"	"0.0281848903717493"	"0.0387399664294009"	"0.0360276338739849"
"P080"	"0.0561475480834136"	"0.152019651486819"	"0.109907442867676"	"0.244608195290365"	"0.236392229931944"	"0.044554080729948"	"0.0440498779633015"	"0.0349265104236299"	"0.0399556125584405"	"0.037446757223651"
"P092"	"0.0423020581020704"	"0.163187398468395"	"0.094551665596162"	"0.258736612118696"	"0.265835679365108"	"0.0168282246667647"	"0.0630627118490927"	"0.0444346358273416"	"0.0189011228976467"	"0.0332341232036528"
"P094"	"0.102569683225451"	"0.120518883652495"	"0.067134607026908"	"0.223069515398335"	"0.286801529723181"	"0.0457293328205398"	"0.0484737418263685"	"0.0157373788692853"	"0.0427667967871256"	"0.0472237397321239"
"P097"	"0.112373583567672"	"0.0771527611725882"	"0.0778410098565332"	"0.212863765226094"	"0.309522765117941"	"0.0320038134806835"	"0.0767300855793533"	"0.0306515509528318"	"0.035776374085271"	"0.0354367997053872"
"P110"	"0.0365631124293833"	"0.187620378684194"	"0.0913663114670893"	"0.246804587970479"	"0.284367759040001"	"0.0156767692825541"	"0.0538675235273663"	"0.0279094618091628"	"0.0290597102252145"	"0.0299317460972987"
"P112"	"0.109322856573396"	"0.127621615654172"	"0.0895480589952887"	"0.18907682469876"	"0.267710170590881"	"0.0405408557097018"	"0.0679587502477348"	"0.0273925711462997"	"0.0408936574991066"	"0.0408702224635543"
"P122"	"0.0716751495913169"	"0.0963098750349403"	"0.10849934333824"	"0.182684252322955"	"0.283469967809616"	"0.0769178994271829"	"0.0729956728147023"	"0.0462799205184916"	"0.0336087650409822"	"0.0299483775919348"
