GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT1G01080	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753	53.8460826112753
AT1G01860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02150	95.4822248552177	132.970017438463	286.119059669353	82.4855213144374	181.902588055161	172.986174918781	141.603028179221	149.829036411775	136.109647046678	164.113908178915	154.962006418265	228.911660667447	138.217958638979	195.425357640885	137.626506096633	104.362060686599	188.665729210508	131.868934538679	167.334329291893	101.897355931223	123.896285662049	165.414398214587	146.288138385746	236.981840414214	249.361921685135	256.205352449578	147.700921363181	226.803349075146	194.790512515976	192.591057959691	281.444430609077	172.125116671287	246.060410777932	238.394623391649	223.663719466931	173.179223342906	258.028031320361	232.29673020769	158.668219656667	222.562636567147	195.055762715067	254.807610207383	279.359431238976	285.484214544445	190.750728580609	262.818818699755	263.679876947249	245.655708446733	256.108100243055	155.366708749464	206.749522119005	245.180358432972	272.596290083629	186.175926883686	228.320208125101	179.298168720921	263.084451380976	214.589987690517	172.390749352508	297.443224147473	88.6044666924531	154.486656404504	230.184935435316	139.491233406848	317.497051103614	128.329165185268	219.022867213736	165.51165042111	240.522738440243
AT1G02460	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G02690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03630	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998	285.092340161998
