Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
rep1_X4D	0.00508958703093112	0.209603688623589	0.0899437641635125	0.156675959332984	0.125676505670451	0	0.114066031370109	0.000162015134116992	0	0	0.0167172467052949	0.0632295851499614	0.076856371098161	0.00340922275915359	0.00118737988538755	0.137382643076348	0	0	0.191791110700656	0.982049204829373
rep1_X6D	0.00251591403568309	0.166291304652009	0.130511485599203	0.316902047281919	0.180645730424265	0	0.039055763040561	0.00955032647385297	0	0.00228154760137076	0.00329784831563361	0	0.0816373768054461	0.00424099652762304	0.0030194111328069	0.0600502481096264	0	0	0.402122087135023	0.927333250225055
rep1_X8D	0.00626830403647583	0.151070360800258	0.137264759549829	0.313189442954543	0.221003861936526	0	0.0398567630729208	0.0197397362829593	0	0.0191984768457263	0	0	0.0580751455668005	0.00200251958341432	0	0.0323306293705467	0	0	0.404968544882928	0.933245858903963
rep1_X10D	0.00559301822295652	0.0755780145246754	0.158126579515928	0.308671188397157	0.230549735114829	0	0.0770419979385079	0.033748382227169	0	0.0383891500935639	0	0	0.0478036722752251	0.00200539896116661	0	0.0224928627288226	0	0	0.413808783495469	0.932562335174386
rep1_X12D	0.00618311575147043	0.0637061432931082	0.177994439985003	0.269668223914438	0.265328994105152	0	0.0802170059737794	0.044418615879858	0	0.0423003575496537	0.00315425230579072	0.00254492729488181	0.0294800485032528	0.00015447973381358	0.000445295010845667	0.0144041006989534	0	0	0.414895934597236	0.936786639615824
rep1_X14D	0.00914896005871747	0	0.175203088700929	0.222187556194226	0.346859643101253	0	0.118300665556684	0.0439153745871827	0.00142548832805909	0.0344991241287751	0.00861550768312029	0.0204373903298309	0.0194072013312223	0	0	0	0	0	0.39822524641304	0.94420434703274
rep1_X16D	0.0103189443457769	0	0.167975100243763	0.224759585745298	0.354140551341906	0	0.110759825089574	0.0336513895527457	0.0400743958540456	0.0367669643502425	0.00658977710889223	0	0.0136371562415621	0	0	0.00132631012619418	0	0	0.377456922833622	0.950069158247928
rep1_X18D	0.0111388549979275	0	0.142414224281363	0.14606762815906	0.35236320328311	0	0.155130182409048	0.0555549345628879	0.0609745373740299	0.0560374224970006	0.0159130628396042	0	0.00440594959596826	0	0	0	0	0	0.384245910796894	0.948147477690472
rep1_X20D	0.0103740409328969	0	0.164038270013376	0.10203346287272	0.353384996613016	0	0.14413055342511	0.0371529766794776	0.130980465274578	0.0225901609026818	0.00997964730366668	0.0181628399788619	0.00306247468755949	0.000388062116325151	0	0	0.00372204919972997	0	0.335847285617439	0.959215871533348
rep1_X22D	0.0123151641031864	0	0.153765400913021	0.0733226853127666	0.238767507263871	0	0.236830705257903	0.051821340153332	0.183607495234403	0.0393794337107774	0.00906886671300982	0	0.0011214013377296	0	0	0	0	0	0.316693925105829	0.959382484842017
rep1_X24D	0.0142428747325733	0	0.18772655742014	0	0.207419930831548	0	0.216073642396529	0.0557498581380431	0.233792163176382	0.042809206152553	0.0164679768285615	0.0179020350906843	0.000668670281725801	0	0	0	0.00714708495126025	0	0.32496573320791	0.95607151464653
rep1_X26D	0.0288614267981714	0	0.134536804124905	0	0.173355559949362	0	0.302438200808214	0.0883947943756062	0.139813311281232	0.0396782137081189	0.0442579105940471	0.0198772817162252	4.35909714231075e-05	0	0	0	0.0287429056726953	0	0.319836180555279	0.954227162290297
rep1_X28D	0.0617400949683595	0	0.123557720429128	0	0.105313597681082	0.0344537305747928	0.325301134850535	0.17090614942787	0	0.0538108984605702	0.0758380133979274	0.0325164204229114	0	0	0.00037246506358389	0	0.0161897747232396	0	0.332957506703827	0.942914095556024
rep1_X30D	0.102184150257198	0	0.0805624967584319	0	0.0408763893931599	0.271475972659922	0.0853044434912339	0.153492222295799	0.00212619108326801	0	0.198428165665496	0.0148658087779937	0	0	0	0	0.0506841596174983	0	0.263245577506771	0.966080691245003
rep2_X4D	0.000367226741407947	0.179096705883792	0.104848664677432	0.282297553722054	0.141198584210925	0	0.0610353450389822	0.00671613268906149	0	0.0142627388555707	0.00680851841849607	0.0259750672733185	0.0982224249417187	0.00854768119662002	0.00481236473740168	0.0658109916132197	0	0	0.408302685558534	0.921650132332249
rep2_X6D	0.00792774276629147	0.17003590390464	0.130125319497714	0.25854105520851	0.208986903603204	0	0.0537720201284602	0.0204528507714092	0	0.0267367528419616	0.00236860460791312	0.0209631265449803	0.0585345282768953	0.00351064725856174	0	0.0380445445894597	0	0	0.37209186709292	0.942484510040438
rep2_X8D	0.00890019823109211	0.129900694121451	0.158779910536238	0.304847940507428	0.21113299743424	0	0.0489380835662181	0.0282646181863413	0	0.0117484567087478	0	0	0.0619629875261392	0.00279876595840096	0.00172036702286498	0.0310049802008392	0	0	0.40916101936835	0.930503106291692
rep2_X10D	0.0109154714720913	0.114549769527508	0.172075951730401	0.261563253732391	0.232831908075041	0	0.0687833950317656	0.038158421777613	0	0.0425230713659137	0	0	0.0348676763536557	0.000764704206257629	0.00196532631882631	0.0210010504085353	0	0	0.388392863777644	0.942443619840125
rep2_X12D	0.00840725173756447	0.0930507220800173	0.164457693674671	0.218940847982722	0.293640431090764	0	0.0837263764734442	0.0463937149528028	0.0130661691915419	0.0475171645033974	0	0	0.026364102736321	0	0.00183523541334033	0.00260029016341351	0	0	0.382555438491346	0.945910960053291
rep2_X14D	0.0180820216896472	0	0.156355329620676	0.194949489998318	0.34530297437203	0	0.152486150637396	0.051525528439942	6.26558799022195e-05	0.0645634749021834	0	0	0.0153961980978885	0	0.00127617636201738	0	0	0	0.387105856896899	0.946194797199357
rep2_X16D	0.00876759145008362	0.0405988783231321	0.169197092926954	0.213554519662004	0.314957085403984	0	0.134147134374164	0.0423439794670998	0	0.0587565492442841	0	0.00404374538830527	0.0136334237599885	0	0	0	0	0	0.379332085879195	0.949178763216924
rep2_X18D	0.0197398153047133	0	0.169607359236454	0.201633949974815	0.379248171539284	0	0.11554043417241	0.0422663747050177	0.000832654502254749	0.0546190590147767	0.00717750519105679	0	0.0093346763592177	0	0	0	0	0	0.361848153648162	0.952675669708275
rep2_X20D	0.0257000126705713	0	0.16977780654409	0.134385911368067	0.41210031599823	0	0.139861921325243	0.046079742628015	0.00430350133830426	0.0393479969629889	0.0122765732783703	0.0113626319547393	0.00480358593138175	0	0	0	0	0	0.345237894377486	0.95707894237362
