Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
T0_1	0.00803791903427111	0.224125413281958	0.114019941742104	0.245017923114872	0.188015550339631	0	0	0.0449666534475771	0	0.0198814833927995	0	0.0312217102961179	0.106579851330624	0.00208762351110683	0.00906633213577805	0.00697959837316021	0	0	0.637281184146876	0.838750126109583
T0_2	0.00990570208642277	0.194474610615534	0.153504300443989	0.230943700520796	0.187833137072682	0	0	0.05226345665482	0	0.0429228414151454	0	0.0203344950480857	0.0965787024151657	0.00295880438217655	0.00245128873465923	0.0058289606105228	0	0	0.659658402904651	0.838779177346973
T0_3	0.01544488363313	0.335963238596458	0.0516673998771674	0.181273972422301	0.231041876993507	0	0	0.0452652442176783	0	0.00980991076517185	0	0.0243324209114271	0.0836788024096595	0.00229822461768477	0.00650528895263813	0.0127187366031765	0	0	0.536457241455357	0.890564740144974
T0_4	0.0185535383809649	0.295422683530365	0.0679338070663346	0.189703980905662	0.221662366383923	0	0	0.0596780852868893	0	0.0158206766146173	0	0.0297236299396952	0.0825811089560738	0.00262514137436482	0.00521181336237035	0.0110831681987401	0	0	0.622532025357784	0.861931474957913
Mock_T0.25_1	0.00981350154810214	0.310715338095792	0.0792165509594695	0.160830525229757	0.176665407666478	0	0	0.021668293380705	0	0	0.0371616727996182	0.0801054400066461	0.1081116893677	0	0.00543854697500566	0.0102730339707255	0	0	0.535075585354454	0.880166888823405
Mock_T0.25_2	0.0118069299186509	0.257217938708578	0.151947723298492	0.165502276087537	0.20224002360981	0	0	0.0311386688202542	0	0.0141577366947399	0.0249787471730017	0.063713785332177	0.0606141674174463	0.00156855110539953	0.00943150868134918	0.00568194315256489	0	0	0.535144587149815	0.905751049558039
Mock_T0.25_3	0.0142429204560605	0.300797722005858	0.11154386876456	0.153893837683631	0.203155032837447	0	0	0.0461455323619826	0	0.00397637768770381	0.0254505767083657	0.0494192657087532	0.074552424980146	0.00154551682070654	0.00349054485915163	0.0117863791256348	0	0	0.612767687563713	0.876550994805025
Mock_T0.25_4	0.0126333574729671	0.259110190978099	0.138067420556404	0.146763586460364	0.21936682793327	0	0	0.056280478189667	0	0.0157252160740581	0.0256837476164181	0.0512135551164645	0.0501877133249423	0.00218352056060764	0.00656475278344315	0.0162196329332948	0	0	0.556402279138703	0.901888952045869
Mock_T0.5_1	0.011228932394168	0.295548792224749	0.136735713318726	0.139600059109805	0.138809376241726	0	0	0.0379829450852406	0	0.0188840530072083	0.0232980702302741	0.106935663713355	0.0666900326347866	0.00192931531409048	0.0108538759348824	0.011503170790989	0	0	0.450064031363758	0.921629910546482
Mock_T0.5_2	0.0105917541919293	0.274814128426011	0.169618844282745	0.0934821156704576	0.148079401032887	0.00627686321218757	0	0.0630684624447085	0	0.0300844208112569	0.0225751796421918	0.0954191718016205	0.0748672506163904	0.00312701116827977	0.00286243869334302	0.00513295800599155	0	0	0.540065246254014	0.892029575040016
Mock_T0.5_3	0.0115939598842169	0.331715687848526	0.140328793636503	0.0698385500409748	0.164918843873533	0	0	0.0353071331696407	0	0	0.0221941199161819	0.128842295323445	0.0769525628801	0.00160516854744637	0.00426678144552572	0.0124361034339069	0	0	0.401205737541879	0.932410034046224
Mock_T0.5_4	0.0125101155227116	0.317473559234405	0.115147242379288	0.109473825700678	0.127874931888399	0	0	0.0395277091314409	0	0.00263729800422743	0.0158541686110285	0.0930377254078373	0.147833950789797	0.0017499518067891	0.00355161174540229	0.0133279097779956	0	0	0.55860611763556	0.850028391423213
Mock_T1_1	0.00333806501076349	0.145808778787356	0.215283090183756	0.130167827129881	0.160227734118399	0	0	0.0493953339809074	0	0.0444716072432597	0.0073814254436709	0.101083054409018	0.118575810704151	0.00418446647343648	0.00662089297283112	0.0134619135425709	0	0	0.466655222461822	0.895735350875901
Mock_T1_2	0.0116785349443767	0.302835080342248	0.148784768354206	0.132522601882534	0.121981907707515	0	0	0.0269459030532596	0	0.0160899642089299	0.01180698509091	0.0811380186410569	0.117677154335806	0.00441083035501695	0.00762079486713964	0.0165074562170013	0	0	0.489029681271148	0.890430302546873
