Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
bulkRNAseq1	0.0372951628567958	0	0.0903781813245702	0	0.319166526453049	0.0203534603392121	0.106852597346741	0.125322442898885	0	0	0	0.234776964192521	0	0.0461232894116784	0	0	0.0197313751765477	0	0.330369826292724	0.94417606387591
Guard_cell1	0	0.0590470327534223	0.105102592338962	0.0918795731901902	0.0759677174433585	0.186076070020125	0.0493305319244402	0.138740793881059	0	0.0558023532448515	0	0.0168364071623238	0.00466737042524124	0.0353823363576748	0.013188150509689	0.000434218953187464	0.167544851795475	0	0.163563339316578	1.00208302805189
Lower_epidermal_cell1	0.0332534218024864	0	0.00311846402301122	0	0.277088568319134	0	0	0.0600619364702224	6.88058073331113e-05	0.00021482521769603	0	0.577203284586353	0	0.00694083416962871	0.00133722795718578	0	0.0407126316469494	0	0.291264419834201	0.95718136131659
Palisade_mesophyll_cell1	0.0295257636462314	0.0546217947658181	0.0526544698254686	0	0.265236169949966	0	0.27405292210553	0.104379478781817	0	0	0	0.167426539279591	0	0.0429307118547558	0.00046836407458749	0	0.00870378571623578	0	0.281875502814135	0.9596855336512
Spongy_mesophyll_cell1	0.0476491507475439	0	0.11751699231102	0	0.34197794014799	0.0307607004644455	0.0798554365720787	0.168864118566915	0	0	0	0.174810506663915	0	0.0385651545260919	0	0	0	0	0.404571418833071	0.914659213479377
Upper_epidermal_cell1	0.0131450281853185	0.0608882484565574	0.0371936708480057	0.0462186169261502	0.256152928743474	0	0.0975711098912891	0.0299615293754887	0	0	0.000246161848926601	0.429105849282874	0	0.0294893047741612	2.75516677552319e-05	0	0	0	0.23586926817835	0.972364466395207
Vascular_cell1	0.0820120086218247	0	0	0	3.16898307515723e-05	7.15088172406879e-06	0	0.424570956570614	0	0.493361264120721	5.12800669512443e-07	0	1.01312130940034e-06	4.41288296639985e-06	4.7347733769001e-06	6.25639604244159e-06	0	0	0.724581561214875	0.723797881281777
bulkRNAseq2	0.0116062496775103	0	0.0885002565785558	0.197292747684695	0.279195745486563	0	0.124114528695936	0.0367111701302072	0.0187008485040806	0.0332062227550486	0.00615508607575063	0.172580025431797	0.00914444897942673	0.0112732023190525	0.00153865414595834	0.00972365582658662	0.000257157708830955	0	0.34977856764183	0.947985618949331
Guard_cell2	0.0227021516215664	0.492654135206197	0.0270742616248756	0.163137301630923	0	0.0969619600414253	0.15351378404668	0.0111313062445638	0	0.00660181061885786	0	0	0.0262232889649116	0	0	0	0	0	0.182150255957182	0.983783752652595
Lower_epidermal_cell2	0.0128796953761479	0	0.0836057223644563	0.253887710410593	0.237398525058752	0	0	0.0423253419171573	0.0864213218298419	0	0	0.158273773502792	0.00857446771697204	0.0245526149606136	0.00342198250696338	0.0101730862251765	0.0784857581305331	0	0.447676318010214	0.914828615168054
