Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
rep1_cl0	0.00274164385897925	0.0591604392057084	0.0265749414759491	0.57592921902799	0.0221150750859225	0	0.131283242747172	0	0.00345406812737442	0	0	0.166696280949598	0.000597291902784743	0.000408158889474894	0.00144153964207026	0	0.00959809908697641	0	0.945445416067655	0.721418724754686
rep2_cl0	0.00255880715410667	0.0678563943015447	0.0239404145170062	0.561090136316489	0.0456660633052896	0	0.112720705394386	0	0.000209036271360211	0	0	0.166285073911202	0.000238279629571241	0.000608566984935573	0.00322761388646017	0	0.0155989083276489	0	0.949860875929781	0.72385021940315
rep1_cl1	0	0.0989420716916064	0.0368307095765946	0	0.668544631200477	0.0555189926891984	0.102879427388706	0	0.00383294232819391	0	0.0120539050869754	0.0188439322504668	5.70464521899638e-05	0.000436419006559699	0	0	0.00205992232903215	0	0.8739170916596	0.890716246891515
rep2_cl1	0.000868384498946369	0.101107032366836	0.0289233379891848	0	0.699119502255809	0.0322193953349995	0.0996324423842231	0	0.00713640592925717	0	0.0135467172505383	0.0167909187404821	0	0.000458701765975168	0	0	0.000197161483748163	0	0.868601481466059	0.889515724043647
rep1_cl10	0.00149661245494352	0.0502418169939205	0.028730735257123	0.0230456379193129	0.0911456262385621	0.0573748780718861	0.183676929708278	0	0.460093270747099	0	0	0.0998716007659989	0.00153688916332742	0.000272742828399367	0	0	0.00251325985114925	0	0.899156549626875	0.792927136628697
rep2_cl10	0.00364779277260991	0.0241475693643389	0.0202673642777771	0	0.00263033657138397	0.186552308106372	0.12471579779054	0	0.490622067413863	0	0	0.146418051430643	0	0	0.000349174620261722	0	0.000649537652210265	0	0.923962450835055	0.770355894797314
rep1_cl11	0.000221672919317186	0.0558090349722158	0.0228194560319578	0	0.100360745176623	5.90773584051746e-05	0.016301366820605	0	0.00895100139307466	0.0070542962937321	0.767006016717075	0.00524806441024573	0.00036788007582524	0.000234358962596863	1.93186884059804e-05	2.87675225592526e-05	0.0155189426573611	0	0.880156208428913	0.851189056585516
rep2_cl11	0.000405995385204478	0	0.00403619668205187	0	0.0500729725357031	0	0.112442311595495	0	0	0	0.817444021830641	0.00241140611893811	0	0.000387918666375261	0	0	0.0127991771855919	0	0.881661788078634	0.845638672856009
rep1_cl12	0.00591567456151686	0.0478083129461012	0.0636158908992508	0.0378367341948898	0.0706984534085527	0.0268653180350548	0.12038939210893	0	0	0	0.00286004537355382	0.0806225156692724	0	0	0.543387662802878	0	0	0	0.857274376496666	0.541730398440255
rep2_cl12	0	0.0904134922989764	0.0221286548918581	0.0470035218371301	0.0440930693330605	0	0.0958641773439288	0	0.0193662871230288	0	0	0	0	0	0.681130797172017	0	0	0	0.85140351394021	0.524572247488635
rep1_cl13	0.000147808475029978	0.00279405086138915	0.051970613603957	0.0500030973185769	0	0	0.00291220813783054	0.0110991358907811	0.0187821026054847	0.0580645752862913	0.00052361405078949	0.00292189993563758	0.00183582343238619	0	0	0.798945070401846	0	0	0.724103406271283	0.832695989133371
rep2_cl13	0	0.0995026078497399	0.00130159779785145	0.0466311596988929	0.0120545703614494	0.000443214131632359	0.0121133654365801	0.00167733354748215	0	0	0	0.0100357229454308	4.19573546167737e-05	3.67075917956575e-05	0.00120264949347644	0.812121716059212	0.00283739773183964	0	0.742782459029558	0.830283615587002
rep1_cl14	0.00317900231463385	0	0.115935722127636	0	0.0540891369533458	0	0.373116358161369	0.0118470674013235	0.00724795826055495	0.0149366625164951	0.0684331455168641	0.00983182024009396	0.000845753246502893	0.340537373261181	0	0	0	0	0.743429572042559	0.668803185053474
rep2_cl14	0	0.028095823162239	0.0668810929218629	0	0.100333516546114	0	0.366984810379049	0	0	0.00153285104402077	0.0762063168649346	0.038304740056719	0.00132985027168318	0.317842198245859	0	0	0.00248880050751862	0	0.770398283161675	0.643111248547979
rep1_cl15	0	0.0107068815550358	0.10046929859095	0	0.0361928907467987	0	0.155468445893024	0	0.0134262419912306	0.0157948363637974	0	0.0236989850939794	0.63142961496619	0	0.0033817896298078	0	0.0094310151691868	0	0.67184868691386	1.08807277791093
rep2_cl15	0	0	0.0205665896217082	0.0910457546479576	0	0.0159325036350819	0.0228068046641619	0.0260709680088622	0.0293904457945715	0.00334588011921096	0	0	0.742428539181121	0.000229417202097304	0.0058038405171927	0.00453783179533856	0.0378414248126963	0	0.745285831741663	1.18902396192837
rep1_cl16	0	0	0	0.00357596386630357	6.33169801412082e-05	2.91246742886769e-05	0	0	9.82083608674857e-05	0	0.000197826414719759	0.000132844660432345	0	0	8.09709080412478e-06	1.16481157665725e-05	0.995882969836676	0	0.741810790042293	0.685299367803433
rep2_cl16	0	0	0.00396313250016629	0.116255736690203	0	0	0.000678780184156637	4.073754570175e-05	0.00250967618269867	0.000810787675168367	0.00308576992528153	0.0169543533094169	0	6.48986871721803e-06	9.64078575576773e-05	0.000167605121511109	0.855430523139421	0	0.74794652464239	0.693076679366371
rep1_cl2	0.000124742347883918	0	0.00253366264745277	0	0.00813124550497491	0.804445837944147	0.0997532926255349	0	0.00962272138049594	0	0.0152960915746767	0.0599892930176147	7.43496602287234e-06	9.56779911957643e-05	0	0	0	0	0.926510912183003	0.845388712709757
rep2_cl2	0.00128340286832266	0.00723965933913111	0.009926490142907	0	0.0142498333489826	0.800276592747249	0.0844087491201731	0	0.0148497239537275	0	0.0134545660932894	0.0537579802722482	0.000170805811573707	0.000382196302395401	0	0	0	0	0.929649231864026	0.846001327767709
rep1_cl3	0.00284744415227551	0.0216356121894021	0.0180586591647613	0	0.0737627207501659	0.073297743690146	0.777172046344809	0	0.00875893541148735	0	0.00259549097510256	0.0215637261952109	0.000143990139830403	0.000163630986809477	0	0	0	0	0.856239686450451	0.889554378204018
rep2_cl3	0.000567409688345211	0.0505330317315984	0.0312003205780259	0.00194302712846459	0.0849287359893385	0.0292814694565425	0.773153482248938	0	0.00153039406820711	0	0.0142130894497013	0.0110421552458313	0.000172969571614893	0.000115694860571781	0	0	0.00131821998282062	0	0.852779297297905	0.89050125135919
rep1_cl4	0.000800577155142869	0.592718241338384	0.0359003840629417	0	0.175994555210653	0.0401217246258969	0.121708368282175	0	0.00753412336845856	0	0.0115152427257863	0.0098735617021555	0.000159795265265576	0.000262217180013171	0.000131779349464014	0	0.00327942973366296	0	0.86127248516958	0.897486677286413
rep2_cl4	0	0.606829281467008	0.0303143543216286	0.00478279088353783	0.154415552452283	0.0538958885895872	0.11271518231712	0	0.00599094573054747	0	0.0229070257833229	0.00814399751799154	0	0	0	0	4.98093697331537e-06	0	0.868579871747868	0.89660320877685
