Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
leaf1	0.0422942645164284	0.04040938356598	0.11487408359559	0.0726282351984755	0.114212987201305	0	0.14741430475166	0.0446492363871119	0.05846073261833	0.160212828104707	0.0171455394428255	0.165858772784253	0.0022681929444525	0.00027557849137184	0.00228516105842728	0.00794114134470689	0.00906955799437544	0	0.90414425286455	0.837599981183484
leaf2	0.0227532290239635	0.102490106061623	0.18352631606659	0.124066549261377	0.043456728382744	0.00717251334336756	0.191005426169855	0.00270465100391571	0.0858908655147279	0.000964297677057599	0.0141512298704212	0.187576099280302	0.00146788957492652	0.00130601544765162	0.0102406476334301	0.00228273678701871	0.0189446989010288	0	0.909121148226336	0.854152518395193
leaf3	0.00219755519086769	0.0504123876395063	0.06971894478047	0.227643423433468	0.197213851883201	0.0598291098920411	0.141667614776327	0.0248119795351346	0.0208980419994489	0	0.0110000771340215	0.179724381587162	0.000601072187583532	0.00197855422518913	0.00151711655800433	0.00269453451166134	0.00809135466591391	0	0.91777780934151	0.837543744806363
leaf4	0.00669405928471072	0.129316285983046	0.0701959055155815	0.102869532252854	0.208742636239717	0.100526678840129	0.231735107505643	0	0.0448184971850779	0.000631287416665651	0.049828819030031	0.04656963217309	0.000383784442860938	0.000784414666397274	0.00307444635586398	0.00297987521152749	0.000849037896804993	0	0.880976384849643	0.896791311448971
leaf5	0.137953962174509	0.0890872679035948	0.170601338642484	0.104871031772969	0.0387997267856264	0.017065015624293	0.2614880444558	0.0218257941441567	0.0463283797247844	0.0412725248669574	0.01684544013666	0.0452075762475642	0	0.00199092038536651	0.00666297713523529	0	0	0	0.868677127281398	0.826897733828454
leaf6	0.0141067470339477	0.0312829161383373	0.0636600315751984	0.150341727857393	0.0710416714163002	0.122172247551311	0.243838595279937	0.0167677350242896	0.0426167405710026	0.00580819797522539	0.0282657193815599	0.196408998910908	0.000570657601733931	0	0.000355023763242579	0.0101153345580959	0.00264765536151785	0	0.915053061745697	0.854981995075391
leaf7	0.0627920614896527	0.0148025694996675	0.115694373400027	0.117056939654787	0.0372984062158424	0.095806405948345	0.218360880724241	0.0235320783602196	0.0571412727107837	0.0607539038472049	0.0578326255370081	0.117241288104975	0.000156197649210625	0.000241133232411433	0.00534722565312709	0.0101548925820389	0.00578774539045899	0	0.891129712157034	0.855280290733843
leaf8	0.0184716282977345	0.0389093163250928	0.154471890289764	0	0.0204099843560088	0.399986052149912	0.110475029888677	0.00966994707997761	0.0308285652579514	0.02885489901891	0.0320553977196565	0.14183275924484	0.000232119303108586	0.00190910958380939	0.011893301484558	0	0	0	0.911750453251766	0.877086533227455
leaf9	0.040462956832001	0.188747253139995	0.0638759886812593	0.0215671283089112	0.163305064790899	0.167122602570253	0.263134382356173	0.0114558873044827	0.012958171780959	0	0.0351149878711325	0.0221893189272815	0.00112962650403645	0.000755858415523273	0.00149922891023107	0.00210939218125034	0.0045721514256112	0	0.865134196185895	0.89958474834065
leaf10	0.0224986930798248	0.0308267812689375	0.187504181131268	0.0277499954100818	0.11819654785407	0.0497648289813575	0.257153855058892	0	0.0299021374202161	0.0713797449646165	0.0479208925760732	0.149131183852738	0.000880554998541217	0.000656345380892804	0	0.00564617587608503	0.000788082146405042	0	0.893221921371298	0.886737568819533
leaf11	0.0398116883575158	0.00165222385901674	0.147693543236461	0.112846615787461	0.0832966867091583	0.233444025717324	0.145445438818768	0.00649281105728147	0.0282865635932966	0.00833834825718327	0.00867385065794463	0.175222250776974	0.000501012839506952	0	0.00387786810907987	0	0.00441707222302858	0	0.91583196545327	0.861426897303495
leaf12	0.00806048506749808	0.0802450297906303	0.0923857558555296	0.0609729214600985	0.116837134894196	0.256095151361276	0.129146969415993	0.00419935955793444	0.0599771281848524	0.00299565714861478	0.020848749053026	0.16735712757268	0.000878530637669885	0	0	0	0	0	0.906122674830752	0.879180238535944
leaf13	0.00167774427014134	0.134471519180472	0.122332881652056	0.140956709832921	0.212205599955131	0.00276319017152764	0.261158488354634	0.00857295270250877	0.0587990054995151	0	0.0112449202917921	0.0403027825427289	0.00154442132596763	0.000444576816542431	0.00200033926640322	0	0.00152486813765918	0	0.881056977624769	0.885753901477301
leaf14	0.0478323488301489	0.0927519471675706	0.0879166845552193	0.0835287884154111	0.128381793123401	0.147748185432885	0.243826116266974	0.00552241532633108	0.040774755461774	0.019190395591175	0.0347460219337279	0.0472114833618818	0	0.000606019139498623	0.00504573441165485	0.0111733024609202	0.00374400852142612	0	0.875026653458485	0.890170073284427
leaf15	0.0289663293408674	0.0852009820797109	0.184193746748306	0.0647494487906783	0.0644460232109156	0.112102532659476	0.229795004627508	0.0422490230712127	0.0324843931425429	0	0.0204831340187126	0.121222325577354	0	0.00140596239796938	0.00982493607204061	0	0.00287615826270542	0	0.877216896625599	0.870109878973755
leaf16	0.0482962178124183	0.0947378943904411	0.0937786849384802	0.181787228544658	0.0663508217017925	0.0525425309503573	0.185845368806185	0.00359216666829827	0.0668622899147233	0.037343069372789	0.0211478095979676	0.130818412808251	0.00102435458794182	0.000264192249405835	0.00546127563443444	0	0.0101476820218552	0	0.90173253350229	0.851410237264551
leaf17	0.0328187164729854	0.0198602838675197	0.142970821454331	0.159362802276732	0.12067946368891	0.117743897266241	0.174245168833559	0.0210116882781931	0.0181196927520136	0.0606277982113619	0.0274175304554409	0.0887014259936521	0.000353490516486623	0	0.00302199018623322	0.00435264397032487	0.00871258577601694	0	0.898003182063361	0.864418067001632
leaf18	0.113766898248867	0.103572128146295	0.102014153490898	0	0.188303257956963	0.000747662655050804	0.288093567078696	0.00887217470325535	0.0161115386762765	0.0580937697537544	0.0810019489919656	0.0305329923371942	0.000517979685163061	0.00231357673834668	0.00133207207247426	0.00129076881573314	0.00343551064906772	0	0.850498917396419	0.860545217915991
