tf.at_id target.at_id
AT1G27730 AT1G02780
AT1G27730 AT1G03130
AT1G27730 AT1G04270
AT1G27730 AT1G06680
AT1G27730 AT1G06830
AT1G27730 AT1G07640
AT1G27730 AT1G07890
AT1G27730 AT1G08110
AT1G27730 AT1G08360
AT1G27730 AT1G08380
AT1G27730 AT1G08480
AT1G27730 AT1G08830
AT1G27730 AT1G09310
AT1G27730 AT1G09570
AT1G27730 AT1G09690
AT1G27730 AT1G10960
AT1G27730 AT1G11910
AT1G27730 AT1G12090
AT1G27730 AT1G13440
AT1G27730 AT1G13930
AT1G27730 AT1G14320
AT1G27730 AT1G14400
AT1G27730 AT1G14450
AT1G27730 AT1G15120
AT1G27730 AT1G15690
AT1G27730 AT1G15820
AT1G27730 AT1G16700
AT1G27730 AT1G16880
AT1G27730 AT1G18720
AT1G27730 AT1G20340
AT1G27730 AT1G22840
AT1G27730 AT1G22930
AT1G27730 AT1G23310
AT1G27730 AT1G23490
AT1G27730 AT1G23820
AT1G27730 AT1G27530
AT1G27730 AT1G27730
AT1G27730 AT1G28520
AT1G27730 AT1G29850
AT1G27730 AT1G29910
AT1G27730 AT1G29920
AT1G27730 AT1G29930
AT1G27730 AT1G30230
AT1G27730 AT1G32060
AT1G27730 AT1G32470
AT1G27730 AT1G32790
AT1G27730 AT1G35680
AT1G27730 AT1G42970
AT1G27730 AT1G43170
AT1G27730 AT1G44100
AT1G27730 AT1G44575
AT1G27730 AT1G45201
AT1G27730 AT1G45474
AT1G27730 AT1G47128
AT1G27730 AT1G48350
AT1G27730 AT1G50320
AT1G27730 AT1G52220
AT1G27730 AT1G52740
AT1G27730 AT1G53160
AT1G27730 AT1G56070
AT1G27730 AT1G56200
AT1G27730 AT1G56220
AT1G27730 AT1G56430
AT1G27730 AT1G58360
AT1G27730 AT1G59870
AT1G27730 AT1G59900
AT1G27730 AT1G60950
AT1G27730 AT1G64370
AT1G27730 AT1G65290
AT1G27730 AT1G65720
AT1G27730 AT1G65930
AT1G27730 AT1G65960
AT1G27730 AT1G65980
AT1G27730 AT1G66200
AT1G27730 AT1G67430
AT1G27730 AT1G67700
AT1G27730 AT1G68010
AT1G27730 AT1G69410
AT1G27730 AT1G69620
AT1G27730 AT1G70600
AT1G27730 AT1G70780
AT1G27730 AT1G71695
AT1G27730 AT1G71950
AT1G27730 AT1G72150
AT1G27730 AT1G72370
AT1G27730 AT1G72610
AT1G27730 AT1G73630
AT1G27730 AT1G74470
AT1G27730 AT1G75280
AT1G27730 AT1G75350
AT1G27730 AT1G75380
AT1G27730 AT1G75630
AT1G27730 AT1G75750
AT1G27730 AT1G75820
AT1G27730 AT1G76080
AT1G27730 AT1G77710
AT1G27730 AT1G78580
AT1G27730 AT1G78870
AT1G27730 AT1G79520
AT1G27730 AT1G79550
AT1G27730 AT1G80440
AT1G27730 AT1G80760
AT1G27730 AT1G80920
AT1G27730 AT2G02760
AT1G27730 AT2G03680
AT1G27730 AT2G04410
AT1G27730 AT2G04700
AT1G27730 AT2G05070
AT1G27730 AT2G05220
AT1G27730 AT2G05710
AT1G27730 AT2G06520
AT1G27730 AT2G14910
AT1G27730 AT2G21170
AT1G27730 AT2G21660
AT1G27730 AT2G21870
AT1G27730 AT2G23950
AT1G27730 AT2G24090
AT1G27730 AT2G27720
AT1G27730 AT2G27960
AT1G27730 AT2G28190
AT1G27730 AT2G28900
AT1G27730 AT2G30570
AT1G27730 AT2G30860
AT1G27730 AT2G30870
AT1G27730 AT2G31200
AT1G27730 AT2G32870
AT1G27730 AT2G33040
AT1G27730 AT2G33220
AT1G27730 AT2G33470
AT1G27730 AT2G34420
AT1G27730 AT2G34430
AT1G27730 AT2G34690
AT1G27730 AT2G35370
AT1G27730 AT2G35635
AT1G27730 AT2G36060
AT1G27730 AT2G36530
AT1G27730 AT2G37220
AT1G27730 AT2G38140
AT1G27730 AT2G39730
AT1G27730 AT2G40060
AT1G27730 AT2G40510
AT1G27730 AT2G40765
AT1G27730 AT2G41430
AT1G27730 AT2G42210
AT1G27730 AT2G42310
AT1G27730 AT2G42590
AT1G27730 AT2G42600
AT1G27730 AT2G43970
AT1G27730 AT2G45820
AT1G27730 AT2G46820
AT1G27730 AT2G47380
AT1G27730 AT3G01280
AT1G27730 AT3G01390
AT1G27730 AT3G01500
AT1G27730 AT3G02080
AT1G27730 AT3G03100
AT1G27730 AT3G04120
AT1G27730 AT3G04400
AT1G27730 AT3G05590
AT1G27730 AT3G06050
AT1G27730 AT3G08580
AT1G27730 AT3G08610
AT1G27730 AT3G08690
AT1G27730 AT3G08940
AT1G27730 AT3G09200
AT1G27730 AT3G09840
AT1G27730 AT3G10020
AT1G27730 AT3G10860
AT1G27730 AT3G11280
AT1G27730 AT3G11510
AT1G27730 AT3G11630
AT1G27730 AT3G11940
AT1G27730 AT3G12090
AT1G27730 AT3G12120
AT1G27730 AT3G12260
AT1G27730 AT3G12490
AT1G27730 AT3G13120
AT1G27730 AT3G13750
AT1G27730 AT3G14415
AT1G27730 AT3G14420
AT1G27730 AT3G15840
AT1G27730 AT3G16500
AT1G27730 AT3G17020
AT1G27730 AT3G17390
AT1G27730 AT3G20390
AT1G27730 AT3G21230
AT1G27730 AT3G22440
AT1G27730 AT3G23490
AT1G27730 AT3G23820
AT1G27730 AT3G25520
AT1G27730 AT3G25570
AT1G27730 AT3G26070
AT1G27730 AT3G26520
AT1G27730 AT3G26570
AT1G27730 AT3G26740
AT1G27730 AT3G27160
AT1G27730 AT3G27690
AT1G27730 AT3G29240
AT1G27730 AT3G29320
AT1G27730 AT3G46430
AT1G27730 AT3G47070
AT1G27730 AT3G47833
AT1G27730 AT3G48140
AT1G27730 AT3G48680
AT1G27730 AT3G49780
AT1G27730 AT3G51730
AT1G27730 AT3G51880
AT1G27730 AT3G52090
AT1G27730 AT3G52880
AT1G27730 AT3G53460
AT1G27730 AT3G53870
AT1G27730 AT3G54050
AT1G27730 AT3G55770
AT1G27730 AT3G56240
AT1G27730 AT3G56490
AT1G27730 AT3G56910
AT1G27730 AT3G57450
AT1G27730 AT3G57870
AT1G27730 AT3G58680
AT1G27730 AT3G60750
AT1G27730 AT3G60770
AT1G27730 AT3G61110
AT1G27730 AT3G61210
AT1G27730 AT3G61260
AT1G27730 AT3G61430
AT1G27730 AT3G61440
AT1G27730 AT3G61470
AT1G27730 AT3G62250
AT1G27730 AT3G63110
AT1G27730 AT3G63490
AT1G27730 AT4G00100
AT1G27730 AT4G00780
AT1G27730 AT4G01050
AT1G27730 AT4G01850
AT1G27730 AT4G01897
AT1G27730 AT4G02380
AT1G27730 AT4G02450
AT1G27730 AT4G02520
AT1G27730 AT4G04640
AT1G27730 AT4G09030
AT1G27730 AT4G09320
AT1G27730 AT4G10340
AT1G27730 AT4G11010
AT1G27730 AT4G11150
AT1G27730 AT4G13010
AT1G27730 AT4G13520
AT1G27730 AT4G13615
AT1G27730 AT4G13940
AT1G27730 AT4G14020
AT1G27730 AT4G14615
AT1G27730 AT4G14880
AT1G27730 AT4G15690
AT1G27730 AT4G15930
AT1G27730 AT4G16190
AT1G27730 AT4G16370
AT1G27730 AT4G16410
AT1G27730 AT4G16520
AT1G27730 AT4G16980
AT1G27730 AT4G17390
AT1G27730 AT4G18730
AT1G27730 AT4G20360
AT1G27730 AT4G21860
AT1G27730 AT4G21960
AT1G27730 AT4G24690
AT1G27730 AT4G24770
AT1G27730 AT4G25050
AT1G27730 AT4G25080
AT1G27730 AT4G25100
AT1G27730 AT4G25130
AT1G27730 AT4G26530
AT1G27730 AT4G26840
AT1G27730 AT4G26850
AT1G27730 AT4G26970
AT1G27730 AT4G27090
AT1G27730 AT4G27657
AT1G27730 AT4G27960
AT1G27730 AT4G28750
AT1G27730 AT4G29350
AT1G27730 AT4G29390
AT1G27730 AT4G30530
AT1G27730 AT4G31985
AT1G27730 AT4G32260
AT1G27730 AT4G32340
AT1G27730 AT4G33010
AT1G27730 AT4G33865
AT1G27730 AT4G34110
AT1G27730 AT4G34350
AT1G27730 AT4G34881
AT1G27730 AT4G35000
AT1G27730 AT4G35750
AT1G27730 AT4G36040
AT1G27730 AT4G36500
AT1G27730 AT4G38740
AT1G27730 AT4G38920
AT1G27730 AT4G39090
AT1G27730 AT4G39260
AT1G27730 AT5G01350
AT1G27730 AT5G01410
AT1G27730 AT5G01650
AT1G27730 AT5G02240
AT1G27730 AT5G02500
AT1G27730 AT5G02600
AT1G27730 AT5G02790
AT1G27730 AT5G03460
AT1G27730 AT5G04140
AT1G27730 AT5G04750
AT1G27730 AT5G07020
AT1G27730 AT5G08060
AT1G27730 AT5G09220
AT1G27730 AT5G09660
AT1G27730 AT5G09810
AT1G27730 AT5G10170
AT1G27730 AT5G11070
AT1G27730 AT5G11500
AT1G27730 AT5G12140
AT1G27730 AT5G13450
AT1G27730 AT5G13630
AT1G27730 AT5G13650
AT1G27730 AT5G14320
AT1G27730 AT5G14740
AT1G27730 AT5G15090
AT1G27730 AT5G15320
AT1G27730 AT5G17650
AT1G27730 AT5G17870
AT1G27730 AT5G17920
AT1G27730 AT5G18240
AT1G27730 AT5G18600
AT1G27730 AT5G19510
AT1G27730 AT5G19550
AT1G27730 AT5G20010
AT1G27730 AT5G20290
AT1G27730 AT5G20700
AT1G27730 AT5G20720
AT1G27730 AT5G20830
AT1G27730 AT5G20900
AT1G27730 AT5G21020
AT1G27730 AT5G21940
AT1G27730 AT5G22090
AT1G27730 AT5G24490
AT1G27730 AT5G27700
AT1G27730 AT5G27850
AT1G27730 AT5G27950
AT1G27730 AT5G28750
AT1G27730 AT5G28840
AT1G27730 AT5G29000
AT1G27730 AT5G35630
AT1G27730 AT5G35777
AT1G27730 AT5G36250
AT1G27730 AT5G38410
AT1G27730 AT5G38480
AT1G27730 AT5G38980
AT1G27730 AT5G39340
AT1G27730 AT5G39570
AT1G27730 AT5G40450
AT1G27730 AT5G42850
AT1G27730 AT5G43940
AT1G27730 AT5G45350
AT1G27730 AT5G46020
AT1G27730 AT5G47030
AT1G27730 AT5G47570
AT1G27730 AT5G47700
AT1G27730 AT5G47890
AT1G27730 AT5G48300
AT1G27730 AT5G48810
AT1G27730 AT5G50850
AT1G27730 AT5G50920
AT1G27730 AT5G52840
AT1G27730 AT5G53300
AT1G27730 AT5G53460
AT1G27730 AT5G53850
AT1G27730 AT5G54270
AT1G27730 AT5G54500
AT1G27730 AT5G54600
AT1G27730 AT5G54680
AT1G27730 AT5G54760
AT1G27730 AT5G54770
AT1G27730 AT5G55850
AT1G27730 AT5G56150
AT1G27730 AT5G56710
AT1G27730 AT5G57040
AT1G27730 AT5G57290
AT1G27730 AT5G57350
