tf.at_id target.at_id
AT1G01250 AT1G04480
AT1G01250 AT1G05850
AT1G01250 AT1G06040
AT1G01250 AT1G06640
AT1G01250 AT1G07920
AT1G01250 AT1G08200
AT1G01250 AT1G09070
AT1G01250 AT1G11650
AT1G01250 AT1G13930
AT1G01250 AT1G15690
AT1G01250 AT1G19000
AT1G01250 AT1G20330
AT1G01250 AT1G53210
AT1G01250 AT1G78040
AT1G01250 AT1G78900
AT1G01250 AT2G16600
AT1G01250 AT2G20890
AT1G01250 AT2G36460
AT1G01250 AT2G47610
AT1G01250 AT3G01120
AT1G01250 AT3G23820
AT1G01250 AT3G23920
AT1G01250 AT3G61200
AT1G01250 AT4G00360
AT1G01250 AT4G00430
AT1G01250 AT4G01850
AT1G01250 AT4G03520
AT1G01250 AT4G19410
AT1G01250 AT4G24690
AT1G01250 AT4G32410
AT1G01250 AT5G02450
AT1G01250 AT5G17920
AT1G01250 AT5G40450
AT1G01250 AT5G42050
AT1G01250 AT5G43150
AT1G01250 AT5G49720
AT1G53910 AT1G01100
AT1G53910 AT1G01250
AT1G53910 AT1G03130
AT1G53910 AT1G03220
AT1G53910 AT1G03440
AT1G53910 AT1G03600
AT1G53910 AT1G06680
AT1G53910 AT1G07135
AT1G53910 AT1G09070
AT1G53910 AT1G09690
AT1G53910 AT1G10960
AT1G53910 AT1G11260
AT1G53910 AT1G11650
AT1G53910 AT1G11700
AT1G53910 AT1G12110
AT1G53910 AT1G12320
AT1G53910 AT1G12440
AT1G53910 AT1G12810
AT1G53910 AT1G14450
AT1G53910 AT1G15690
AT1G53910 AT1G15930
AT1G53910 AT1G19000
AT1G53910 AT1G19020
AT1G53910 AT1G21065
AT1G53910 AT1G21770
AT1G53910 AT1G23710
AT1G53910 AT1G25450
AT1G53910 AT1G29660
AT1G53910 AT1G31330
AT1G53910 AT1G32920
AT1G53910 AT1G33120
AT1G53910 AT1G34000
AT1G53910 AT1G36980
AT1G53910 AT1G37130
AT1G53910 AT1G51500
AT1G53910 AT1G52230
AT1G53910 AT1G55330
AT1G53910 AT1G56200
AT1G53910 AT1G59900
AT1G53910 AT1G62300
AT1G53910 AT1G62750
AT1G53910 AT1G64660
AT1G53910 AT1G65930
AT1G53910 AT1G65980
AT1G53910 AT1G67700
AT1G53910 AT1G67865
AT1G53910 AT1G68440
AT1G53910 AT1G68520
AT1G53910 AT1G74960
AT1G53910 AT1G75630
AT1G53910 AT1G76090
AT1G53910 AT1G76600
AT1G53910 AT1G78020
AT1G53910 AT1G78830
AT1G53910 AT1G79040
AT1G53910 AT1G79750
AT1G53910 AT1G79850
AT1G53910 AT1G80070
AT1G53910 AT2G15970
AT1G53910 AT2G16510
AT1G53910 AT2G19760
AT1G53910 AT2G21170
AT1G53910 AT2G21660
AT1G53910 AT2G21970
AT1G53910 AT2G23120
AT1G53910 AT2G24520
AT1G53910 AT2G24790
AT1G53910 AT2G25450
AT1G53910 AT2G26080
AT1G53910 AT2G26910
AT1G53910 AT2G27720
AT1G53910 AT2G29940
AT1G53910 AT2G30870
AT1G53910 AT2G31570
AT1G53910 AT2G32690
AT1G53910 AT2G33830
AT1G53910 AT2G34860
AT1G53910 AT2G37220
AT1G53910 AT2G38170
AT1G53910 AT2G38310
AT1G53910 AT2G39800
AT1G53910 AT2G41100
AT1G53910 AT2G42280
AT1G53910 AT2G43290
AT1G53910 AT2G43520
AT1G53910 AT2G44060
AT1G53910 AT2G46330
AT1G53910 AT2G46820
AT1G53910 AT3G01120
AT1G53910 AT3G01490
AT1G53910 AT3G02090
AT1G53910 AT3G08940
AT1G53910 AT3G13450
AT1G53910 AT3G14310
AT1G53910 AT3G15360
AT1G53910 AT3G16140
AT1G53910 AT3G16530
AT1G53910 AT3G16570
AT1G53910 AT3G16770
AT1G53910 AT3G18040
AT1G53910 AT3G19010
AT1G53910 AT3G19030
AT1G53910 AT3G20300
AT1G53910 AT3G22370
AT1G53910 AT3G22380
AT1G53910 AT3G22440
AT1G53910 AT3G22890
AT1G53910 AT3G23600
AT1G53910 AT3G23820
AT1G53910 AT3G25920
AT1G53910 AT3G26520
AT1G53910 AT3G26580
AT1G53910 AT3G28200
AT1G53910 AT3G43720
AT1G53910 AT3G47070
AT1G53910 AT3G48560
AT1G53910 AT3G48690
AT1G53910 AT3G49260
AT1G53910 AT3G50820
AT1G53910 AT3G51670
AT1G53910 AT3G52300
AT1G53910 AT3G52500
AT1G53910 AT3G52730
AT1G53910 AT3G53420
AT1G53910 AT3G53720
AT1G53910 AT3G53890
AT1G53910 AT3G54050
AT1G53910 AT3G55130
AT1G53910 AT3G55430
AT1G53910 AT3G56490
AT1G53910 AT3G56940
AT1G53910 AT3G57020
AT1G53910 AT3G57520
AT1G53910 AT3G58610
AT1G53910 AT3G58680
AT1G53910 AT3G59940
AT1G53910 AT3G61150
AT1G53910 AT3G61260
AT1G53910 AT3G63140
AT1G53910 AT3G63410
AT1G53910 AT4G00360
AT1G53910 AT4G00430
AT1G53910 AT4G02380
AT1G53910 AT4G02510
AT1G53910 AT4G02770
AT1G53910 AT4G02940
AT1G53910 AT4G05070
AT1G53910 AT4G09650
AT1G53910 AT4G13010
AT1G53910 AT4G13340
AT1G53910 AT4G13520
AT1G53910 AT4G13940
AT1G53910 AT4G16190
AT1G53910 AT4G16410
AT1G53910 AT4G16500
AT1G53910 AT4G16563
AT1G53910 AT4G16980
AT1G53910 AT4G19170
AT1G53910 AT4G22240
AT1G53910 AT4G23400
AT1G53910 AT4G23850
AT1G53910 AT4G25050
AT1G53910 AT4G25080
AT1G53910 AT4G25130
AT1G53910 AT4G27430
AT1G53910 AT4G29060
AT1G53910 AT4G29160
AT1G53910 AT4G29350
AT1G53910 AT4G29905
AT1G53910 AT4G30190
AT1G53910 AT4G30950
AT1G53910 AT4G32260
AT1G53910 AT4G32940
AT1G53910 AT4G34110
AT1G53910 AT4G34350
AT1G53910 AT4G35750
AT1G53910 AT4G37300
AT1G53910 AT4G37760
AT1G53910 AT4G37870
AT1G53910 AT4G38770
AT1G53910 AT4G39260
AT1G53910 AT4G39730
AT1G53910 AT5G01410
AT1G53910 AT5G02450
AT1G53910 AT5G02500
AT1G53910 AT5G03460
AT1G53910 AT5G05690
AT1G53910 AT5G06320
AT1G53910 AT5G06530
AT1G53910 AT5G07020
AT1G53910 AT5G08060
AT1G53910 AT5G08530
AT1G53910 AT5G10450
AT1G53910 AT5G10980
AT1G53910 AT5G11770
AT1G53910 AT5G13630
AT1G53910 AT5G14040
AT1G53910 AT5G15350
AT1G53910 AT5G16470
AT1G53910 AT5G19140
AT1G53910 AT5G19290
AT1G53910 AT5G20250
AT1G53910 AT5G20290
AT1G53910 AT5G20720
AT1G53910 AT5G20900
AT1G53910 AT5G21020
AT1G53910 AT5G24490
AT1G53910 AT5G28750
AT1G53910 AT5G34850
AT1G53910 AT5G38980
AT1G53910 AT5G40450
AT1G53910 AT5G41520
AT1G53910 AT5G47030
AT1G53910 AT5G47930
AT1G53910 AT5G48180
AT1G53910 AT5G49720
AT1G53910 AT5G49940
AT1G53910 AT5G50000
AT1G53910 AT5G51040
AT1G53910 AT5G53460
AT1G53910 AT5G57290
AT1G53910 AT5G58070
AT1G53910 AT5G60680
AT1G53910 AT5G64310
AT1G53910 AT5G65220
AT1G53910 AT5G65480
AT1G53910 AT5G67030
AT1G53910 AT5G67070
AT1G53910 AT5G67360
AT1G27730 AT1G01250
AT1G27730 AT1G01620
AT1G27730 AT1G02780
AT1G27730 AT1G03130
AT1G27730 AT1G03440
AT1G27730 AT1G06640
AT1G27730 AT1G06680
AT1G27730 AT1G07570
AT1G27730 AT1G07720
AT1G27730 AT1G07890
AT1G27730 AT1G08110
AT1G27730 AT1G08200
AT1G27730 AT1G08360
AT1G27730 AT1G08380
AT1G27730 AT1G08510
AT1G27730 AT1G08830
AT1G27730 AT1G09130
AT1G27730 AT1G09310
AT1G27730 AT1G09690
AT1G27730 AT1G09970
AT1G27730 AT1G10060
AT1G27730 AT1G10500
AT1G27730 AT1G10960
AT1G27730 AT1G11260
AT1G27730 AT1G11410
AT1G27730 AT1G11650
AT1G27730 AT1G11700
AT1G27730 AT1G11910
AT1G27730 AT1G12090
AT1G27730 AT1G12440
AT1G27730 AT1G12810
AT1G27730 AT1G13440
AT1G27730 AT1G13930
AT1G27730 AT1G14320
AT1G27730 AT1G14400
AT1G27730 AT1G14450
AT1G27730 AT1G15120
AT1G27730 AT1G15690
AT1G27730 AT1G15820
AT1G27730 AT1G16720
AT1G27730 AT1G16960
AT1G27730 AT1G17200
AT1G27730 AT1G18720
AT1G27730 AT1G19770
AT1G27730 AT1G20330
AT1G27730 AT1G20340
AT1G27730 AT1G21400
AT1G27730 AT1G22840
AT1G27730 AT1G22885
AT1G27730 AT1G22930
AT1G27730 AT1G23310
AT1G27730 AT1G23490
AT1G27730 AT1G25450
AT1G27730 AT1G27100
AT1G27730 AT1G27290
AT1G27730 AT1G27730
AT1G27730 AT1G27950
AT1G27730 AT1G29660
AT1G27730 AT1G29850
AT1G27730 AT1G29910
AT1G27730 AT1G29920
AT1G27730 AT1G29930
AT1G27730 AT1G30230
AT1G27730 AT1G30360
AT1G27730 AT1G32060
AT1G27730 AT1G32470
AT1G27730 AT1G33811
AT1G27730 AT1G35680
AT1G27730 AT1G36980
AT1G27730 AT1G42970
AT1G27730 AT1G43170
AT1G27730 AT1G44575
AT1G27730 AT1G44760
AT1G27730 AT1G45474
AT1G27730 AT1G47128
AT1G27730 AT1G48300
AT1G27730 AT1G48350
AT1G27730 AT1G49240
AT1G27730 AT1G49970
AT1G27730 AT1G50250
AT1G27730 AT1G50320
AT1G27730 AT1G52220
AT1G27730 AT1G52740
AT1G27730 AT1G52870
AT1G27730 AT1G53210
AT1G27730 AT1G55330
AT1G27730 AT1G56070
AT1G27730 AT1G56200
AT1G27730 AT1G56220
AT1G27730 AT1G57660
AT1G27730 AT1G59870
AT1G27730 AT1G59900
AT1G27730 AT1G60950
AT1G27730 AT1G62300
AT1G27730 AT1G64680
AT1G27730 AT1G65260
AT1G27730 AT1G65720
AT1G27730 AT1G65930
AT1G27730 AT1G65960
AT1G27730 AT1G65980
AT1G27730 AT1G66200
AT1G27730 AT1G67230
AT1G27730 AT1G67430
AT1G27730 AT1G67700
AT1G27730 AT1G68010
AT1G27730 AT1G68440
AT1G27730 AT1G69620
AT1G27730 AT1G70600
AT1G27730 AT1G71950
AT1G27730 AT1G72150
