tf.at_id target.at_id
AT2G23340 AT1G02140
AT2G23340 AT1G02305
AT2G23340 AT1G04480
AT2G23340 AT1G05850
AT2G23340 AT1G06040
AT2G23340 AT1G06640
AT2G23340 AT1G08200
AT2G23340 AT1G09070
AT2G23340 AT1G10140
AT2G23340 AT1G11650
AT2G23340 AT1G13930
AT2G23340 AT1G17880
AT2G23340 AT1G19000
AT2G23340 AT1G19910
AT2G23340 AT1G20330
AT2G23340 AT1G20440
AT2G23340 AT1G20450
AT2G23340 AT1G20970
AT2G23340 AT1G21680
AT2G23340 AT1G23490
AT2G23340 AT1G31580
AT2G23340 AT1G47128
AT2G23340 AT1G49032
AT2G23340 AT1G53210
AT2G23340 AT1G68220
AT2G23340 AT1G68440
AT2G23340 AT1G73030
AT2G23340 AT1G76490
AT2G23340 AT1G77710
AT2G23340 AT1G78040
AT2G23340 AT1G78900
AT2G23340 AT1G80180
AT2G23340 AT2G01250
AT2G23340 AT2G06850
AT2G23340 AT2G16600
AT2G23340 AT2G19790
AT2G23340 AT2G20890
AT2G23340 AT2G21660
AT2G23340 AT2G23340
AT2G23340 AT2G23600
AT2G23340 AT2G28900
AT2G23340 AT2G31360
AT2G23340 AT2G31570
AT2G23340 AT2G34420
AT2G23340 AT2G34810
AT2G23340 AT2G35635
AT2G23340 AT2G36060
AT2G23340 AT2G36320
AT2G23340 AT2G40000
AT2G23340 AT2G43970
AT2G23340 AT2G47610
AT2G23340 AT3G05560
AT2G23340 AT3G07760
AT2G23340 AT3G08940
AT2G23340 AT3G09980
AT2G23340 AT3G14310
AT2G23340 AT3G16240
AT2G23340 AT3G17390
AT2G23340 AT3G20015
AT2G23340 AT3G20390
AT2G23340 AT3G23920
AT2G23340 AT3G26520
AT2G23340 AT3G29240
AT2G23340 AT3G46430
AT2G23340 AT3G47620
AT2G23340 AT3G50360
AT2G23340 AT3G53420
AT2G23340 AT3G55430
AT2G23340 AT3G55440
AT2G23340 AT3G58640
AT2G23340 AT3G59940
AT2G23340 AT3G60245
AT2G23340 AT3G61470
AT2G23340 AT3G63140
AT2G23340 AT3G63410
AT2G23340 AT4G00430
AT2G23340 AT4G01850
AT2G23340 AT4G02280
AT2G23340 AT4G03520
AT2G23340 AT4G09650
AT2G23340 AT4G11570
AT2G23340 AT4G13615
AT2G23340 AT4G16980
AT2G23340 AT4G17170
AT2G23340 AT4G21960
AT2G23340 AT4G24690
AT2G23340 AT4G24770
AT2G23340 AT4G25080
AT2G23340 AT4G35770
AT2G23340 AT4G37260
AT2G23340 AT4G37300
AT2G23340 AT4G37430
AT2G23340 AT4G37870
AT2G23340 AT4G37930
AT2G23340 AT4G38680
AT2G23340 AT4G39260
AT2G23340 AT5G01530
AT2G23340 AT5G02450
AT2G23340 AT5G11770
AT2G23340 AT5G16130
AT2G23340 AT5G16550
AT2G23340 AT5G17920
AT2G23340 AT5G18670
AT2G23340 AT5G19140
AT2G23340 AT5G19760
AT2G23340 AT5G21940
AT2G23340 AT5G40450
