tf.at_id target.at_id
AT5G62000 AT1G01100
AT5G62000 AT1G01490
AT5G62000 AT1G01620
AT5G62000 AT1G02560
AT5G62000 AT1G03600
AT5G62000 AT1G05850
AT5G62000 AT1G06040
AT5G62000 AT1G06680
AT5G62000 AT1G07640
AT5G62000 AT1G09310
AT5G62000 AT1G09640
AT5G62000 AT1G09970
AT5G62000 AT1G10500
AT5G62000 AT1G10960
AT5G62000 AT1G11700
AT5G62000 AT1G11840
AT5G62000 AT1G11860
AT5G62000 AT1G12200
AT5G62000 AT1G12440
AT5G62000 AT1G13245
AT5G62000 AT1G13930
AT5G62000 AT1G15690
AT5G62000 AT1G15820
AT5G62000 AT1G17880
AT5G62000 AT1G18080
AT5G62000 AT1G18590
AT5G62000 AT1G19020
AT5G62000 AT1G19910
AT5G62000 AT1G20440
AT5G62000 AT1G20450
AT5G62000 AT1G21000
AT5G62000 AT1G21500
AT5G62000 AT1G22840
AT5G62000 AT1G23490
AT5G62000 AT1G23820
AT5G62000 AT1G25275
AT5G62000 AT1G25560
AT5G62000 AT1G26630
AT5G62000 AT1G27730
AT5G62000 AT1G29070
AT5G62000 AT1G29930
AT5G62000 AT1G30820
AT5G62000 AT1G31330
AT5G62000 AT1G31580
AT5G62000 AT1G32460
AT5G62000 AT1G32640
AT5G62000 AT1G32700
AT5G62000 AT1G32920
AT5G62000 AT1G33120
AT5G62000 AT1G34000
AT5G62000 AT1G36980
AT5G62000 AT1G37130
AT5G62000 AT1G43170
AT5G62000 AT1G45474
AT5G62000 AT1G47128
AT5G62000 AT1G49032
AT5G62000 AT1G49240
AT5G62000 AT1G55840
AT5G62000 AT1G56200
AT5G62000 AT1G56220
AT5G62000 AT1G56280
AT5G62000 AT1G61520
AT5G62000 AT1G62380
AT5G62000 AT1G64230
AT5G62000 AT1G64370
AT5G62000 AT1G65980
AT5G62000 AT1G66100
AT5G62000 AT1G66200
AT5G62000 AT1G66240
AT5G62000 AT1G67700
AT5G62000 AT1G67740
AT5G62000 AT1G68440
AT5G62000 AT1G69252
AT5G62000 AT1G69850
AT5G62000 AT1G70410
AT5G62000 AT1G71950
AT5G62000 AT1G72150
AT5G62000 AT1G73600
AT5G62000 AT1G75950
AT5G62000 AT1G76080
AT5G62000 AT1G76990
AT5G62000 AT1G78020
AT5G62000 AT1G78040
AT5G62000 AT1G79550
AT5G62000 AT1G80180
AT5G62000 AT1G80920
AT5G62000 AT2G02100
AT5G62000 AT2G03680
AT5G62000 AT2G05100
AT5G62000 AT2G05380
AT5G62000 AT2G05520
AT5G62000 AT2G05620
AT5G62000 AT2G06520
AT5G62000 AT2G14750
AT5G62000 AT2G15970
AT5G62000 AT2G16600
AT5G62000 AT2G18160
AT5G62000 AT2G18230
AT5G62000 AT2G18960
AT5G62000 AT2G19110
AT5G62000 AT2G19310
AT5G62000 AT2G19760
AT5G62000 AT2G20230
AT5G62000 AT2G20610
AT5G62000 AT2G20670
AT5G62000 AT2G21170
AT5G62000 AT2G21560
AT5G62000 AT2G22430
AT5G62000 AT2G22990
AT5G62000 AT2G24090
AT5G62000 AT2G25080
AT5G62000 AT2G26080
AT5G62000 AT2G26740
AT5G62000 AT2G27720
AT5G62000 AT2G28840
AT5G62000 AT2G28900
AT5G62000 AT2G30860
AT5G62000 AT2G30950
AT5G62000 AT2G31790
AT5G62000 AT2G31810
AT5G62000 AT2G32487
AT5G62000 AT2G32720
AT5G62000 AT2G33150
AT5G62000 AT2G34420
AT5G62000 AT2G34480
AT5G62000 AT2G34860
AT5G62000 AT2G36530
AT5G62000 AT2G39570
AT5G62000 AT2G39730
AT5G62000 AT2G40000
AT5G62000 AT2G40140
AT5G62000 AT2G40510
AT5G62000 AT2G41100
AT5G62000 AT2G43030
AT5G62000 AT2G43460
AT5G62000 AT2G45960
AT5G62000 AT2G46650
AT5G62000 AT2G47610
AT5G62000 AT3G01120
AT5G62000 AT3G01470
AT5G62000 AT3G01540
AT5G62000 AT3G02730
AT5G62000 AT3G03150
AT5G62000 AT3G04120
AT5G62000 AT3G04840
AT5G62000 AT3G05590
AT5G62000 AT3G10860
AT5G62000 AT3G11660
AT5G62000 AT3G11930
AT5G62000 AT3G12120
AT5G62000 AT3G14420
AT5G62000 AT3G16140
AT5G62000 AT3G16770
AT5G62000 AT3G17210
AT5G62000 AT3G17390
AT5G62000 AT3G18740
AT5G62000 AT3G20390
AT5G62000 AT3G21055
AT5G62000 AT3G23030
AT5G62000 AT3G23820
AT5G62000 AT3G25717
AT5G62000 AT3G26070
AT5G62000 AT3G29240
AT5G62000 AT3G30775
AT5G62000 AT3G44110
AT5G62000 AT3G45010
AT5G62000 AT3G48360
AT5G62000 AT3G48990
AT5G62000 AT3G49680
AT5G62000 AT3G51880
AT5G62000 AT3G52300
