tf.at_id target.at_id
AT5G62940 AT1G01490
AT5G62940 AT1G01620
AT5G62940 AT1G03220
AT5G62940 AT1G04480
AT5G62940 AT1G05190
AT5G62940 AT1G06680
AT5G62940 AT1G07135
AT5G62940 AT1G07920
AT5G62940 AT1G08160
AT5G62940 AT1G08380
AT5G62940 AT1G08480
AT5G62940 AT1G08570
AT5G62940 AT1G08880
AT5G62940 AT1G08930
AT5G62940 AT1G09070
AT5G62940 AT1G09200
AT5G62940 AT1G10590
AT5G62940 AT1G10760
AT5G62940 AT1G11260
AT5G62940 AT1G11650
AT5G62940 AT1G11910
AT5G62940 AT1G12440
AT5G62940 AT1G12900
AT5G62940 AT1G13060
AT5G62940 AT1G13930
AT5G62940 AT1G14400
AT5G62940 AT1G14450
AT5G62940 AT1G14630
AT5G62940 AT1G15690
AT5G62940 AT1G16810
AT5G62940 AT1G16880
AT5G62940 AT1G16890
AT5G62940 AT1G18210
AT5G62940 AT1G18720
AT5G62940 AT1G18740
AT5G62940 AT1G19000
AT5G62940 AT1G19910
AT5G62940 AT1G20020
AT5G62940 AT1G20440
AT5G62940 AT1G20450
AT5G62940 AT1G20696
AT5G62940 AT1G21065
AT5G62940 AT1G21500
AT5G62940 AT1G22190
AT5G62940 AT1G22630
AT5G62940 AT1G22930
AT5G62940 AT1G23130
AT5G62940 AT1G23310
AT5G62940 AT1G23390
AT5G62940 AT1G23530
AT5G62940 AT1G23710
AT5G62940 AT1G24764
AT5G62940 AT1G26630
AT5G62940 AT1G27100
AT5G62940 AT1G27130
AT5G62940 AT1G27450
AT5G62940 AT1G27730
AT5G62940 AT1G27970
AT5G62940 AT1G28330
AT5G62940 AT1G28400
AT5G62940 AT1G29520
AT5G62940 AT1G29850
AT5G62940 AT1G29920
AT5G62940 AT1G30230
AT5G62940 AT1G30360
AT5G62940 AT1G30690
AT5G62940 AT1G31580
AT5G62940 AT1G32060
AT5G62940 AT1G32460
AT5G62940 AT1G32470
AT5G62940 AT1G32920
AT5G62940 AT1G32928
AT5G62940 AT1G33120
AT5G62940 AT1G34000
AT5G62940 AT1G34030
AT5G62940 AT1G36980
AT5G62940 AT1G37130
AT5G62940 AT1G43170
AT5G62940 AT1G44575
AT5G62940 AT1G47128
AT5G62940 AT1G48300
AT5G62940 AT1G48350
AT5G62940 AT1G48600
AT5G62940 AT1G48830
AT5G62940 AT1G49140
AT5G62940 AT1G49240
AT5G62940 AT1G49500
AT5G62940 AT1G49970
AT5G62940 AT1G50250
AT5G62940 AT1G50320
AT5G62940 AT1G50490
AT5G62940 AT1G51200
AT5G62940 AT1G51400
AT5G62940 AT1G52300
AT5G62940 AT1G53210
AT5G62940 AT1G53240
AT5G62940 AT1G54410
AT5G62940 AT1G54580
AT5G62940 AT1G55330
AT5G62940 AT1G55670
AT5G62940 AT1G56220
AT5G62940 AT1G56280
AT5G62940 AT1G57720
AT5G62940 AT1G57860
AT5G62940 AT1G59870
AT5G62940 AT1G60950
AT5G62940 AT1G61250
AT5G62940 AT1G62040
AT5G62940 AT1G62045
AT5G62940 AT1G62180
AT5G62940 AT1G62380
AT5G62940 AT1G63830
AT5G62940 AT1G64510
AT5G62940 AT1G64680
AT5G62940 AT1G65260
AT5G62940 AT1G65720
AT5G62940 AT1G65930
AT5G62940 AT1G65980
AT5G62940 AT1G66100
AT5G62940 AT1G66200
AT5G62940 AT1G66240
AT5G62940 AT1G66410
AT5G62940 AT1G67090
AT5G62940 AT1G67230
AT5G62940 AT1G67350
AT5G62940 AT1G67700
AT5G62940 AT1G67785
AT5G62940 AT1G67865
AT5G62940 AT1G68440
AT5G62940 AT1G68520
AT5G62940 AT1G69252
AT5G62940 AT1G69530
AT5G62940 AT1G69620
AT5G62940 AT1G70760
AT5G62940 AT1G70780
AT5G62940 AT1G71950
AT5G62940 AT1G72150
AT5G62940 AT1G72430
AT5G62940 AT1G73230
AT5G62940 AT1G73600
AT5G62940 AT1G74670
AT5G62940 AT1G74730
AT5G62940 AT1G75350
AT5G62940 AT1G75380
AT5G62940 AT1G75630
AT5G62940 AT1G75750
AT5G62940 AT1G76080
AT5G62940 AT1G76100
AT5G62940 AT1G76160
AT5G62940 AT1G76600
AT5G62940 AT1G76650
AT5G62940 AT1G77710
AT5G62940 AT1G77940
AT5G62940 AT1G78020
AT5G62940 AT1G78080
AT5G62940 AT1G78380
AT5G62940 AT1G78850
AT5G62940 AT1G79430
AT5G62940 AT1G79850
AT5G62940 AT1G80440
AT5G62940 AT1G80920
AT5G62940 AT2G01990
AT5G62940 AT2G02100
AT5G62940 AT2G02760
AT5G62940 AT2G03440
AT5G62940 AT2G03870
AT5G62940 AT2G04700
AT5G62940 AT2G05100
AT5G62940 AT2G05380
AT5G62940 AT2G05520
AT5G62940 AT2G05540
AT5G62940 AT2G14910
AT5G62940 AT2G15580
AT5G62940 AT2G15890
AT5G62940 AT2G16850
AT5G62940 AT2G18020
AT5G62940 AT2G18440
AT5G62940 AT2G18960
AT5G62940 AT2G19480
AT5G62940 AT2G19760
AT5G62940 AT2G19790
AT5G62940 AT2G19830
AT5G62940 AT2G20890
AT5G62940 AT2G20990
AT5G62940 AT2G21170
AT5G62940 AT2G21870
AT5G62940 AT2G22500
AT5G62940 AT2G22670
AT5G62940 AT2G23600
AT5G62940 AT2G23810
AT5G62940 AT2G24270
AT5G62940 AT2G24940
AT5G62940 AT2G25060
AT5G62940 AT2G25210
AT5G62940 AT2G25735
AT5G62940 AT2G26010
AT5G62940 AT2G26500
AT5G62940 AT2G27030
AT5G62940 AT2G27710
AT5G62940 AT2G27730
AT5G62940 AT2G27860
AT5G62940 AT2G27960
AT5G62940 AT2G28740
AT5G62940 AT2G28800
AT5G62940 AT2G28900
AT5G62940 AT2G30020
AT5G62940 AT2G30110
AT5G62940 AT2G30520
AT5G62940 AT2G30570
AT5G62940 AT2G30620
AT5G62940 AT2G30870
AT5G62940 AT2G31490
AT5G62940 AT2G32860
AT5G62940 AT2G33150
AT5G62940 AT2G33800
AT5G62940 AT2G33830
AT5G62940 AT2G34480
AT5G62940 AT2G34585
AT5G62940 AT2G34860
AT5G62940 AT2G35370
AT5G62940 AT2G35680
AT5G62940 AT2G36060
AT5G62940 AT2G36220
AT5G62940 AT2G36830
AT5G62940 AT2G37110
AT5G62940 AT2G37220
AT5G62940 AT2G37470
AT5G62940 AT2G37600
AT5G62940 AT2G38140
AT5G62940 AT2G38170
AT5G62940 AT2G38540
AT5G62940 AT2G39010
AT5G62940 AT2G39570
AT5G62940 AT2G39700
AT5G62940 AT2G39730
AT5G62940 AT2G40000
AT5G62940 AT2G40060
AT5G62940 AT2G40205
AT5G62940 AT2G41420
AT5G62940 AT2G41430
AT5G62940 AT2G42600
AT5G62940 AT2G42680
AT5G62940 AT2G43090
AT5G62940 AT2G43680
AT5G62940 AT2G43910
AT5G62940 AT2G44490
AT5G62940 AT2G44620
AT5G62940 AT2G45170
AT5G62940 AT2G45820
AT5G62940 AT2G45960
AT5G62940 AT2G46600
AT5G62940 AT2G46630
AT5G62940 AT2G46820
AT5G62940 AT3G01120
AT5G62940 AT3G01290
AT5G62940 AT3G01500
AT5G62940 AT3G01680
AT5G62940 AT3G01690
AT5G62940 AT3G02080
AT5G62940 AT3G02180
AT5G62940 AT3G03100
AT5G62940 AT3G03150
AT5G62940 AT3G03270
AT5G62940 AT3G04120
AT5G62940 AT3G04630
AT5G62940 AT3G04840
AT5G62940 AT3G04920
AT5G62940 AT3G05490
AT5G62940 AT3G05500
AT5G62940 AT3G05590
AT5G62940 AT3G05880
AT5G62940 AT3G07110
AT5G62940 AT3G07800
AT5G62940 AT3G08580
AT5G62940 AT3G08610
AT5G62940 AT3G08940
AT5G62940 AT3G09390
AT5G62940 AT3G09440
AT5G62940 AT3G09630
AT5G62940 AT3G09840
AT5G62940 AT3G09980
AT5G62940 AT3G11930
AT5G62940 AT3G12120
AT5G62940 AT3G12260
AT5G62940 AT3G12345
AT5G62940 AT3G12780
AT5G62940 AT3G12965
AT5G62940 AT3G13460
AT5G62940 AT3G13520
AT5G62940 AT3G13750
AT5G62940 AT3G13920
AT5G62940 AT3G14210
AT5G62940 AT3G14310
AT5G62940 AT3G15190
AT5G62940 AT3G15450
AT5G62940 AT3G15630
AT5G62940 AT3G15680
AT5G62940 AT3G15730
AT5G62940 AT3G15840
AT5G62940 AT3G16240
AT5G62940 AT3G16530
AT5G62940 AT3G16770
AT5G62940 AT3G17210
AT5G62940 AT3G18740
AT5G62940 AT3G18820
