tf.at_id target.at_id
AT1G19210 AT1G01120
AT1G19210 AT1G01610
AT1G19210 AT1G01720
AT1G19210 AT1G02360
AT1G19210 AT1G02400
AT1G19210 AT1G02780
AT1G19210 AT1G02930
AT1G19210 AT1G03130
AT1G19210 AT1G03870
AT1G19210 AT1G04250
AT1G19210 AT1G04270
AT1G19210 AT1G04480
AT1G19210 AT1G05010
AT1G19210 AT1G05135
AT1G19210 AT1G05850
AT1G19210 AT1G06680
AT1G19210 AT1G07000
AT1G19210 AT1G07140
AT1G19210 AT1G08200
AT1G19210 AT1G09070
AT1G19210 AT1G09310
AT1G19210 AT1G09970
AT1G19210 AT1G10670
AT1G19210 AT1G11260
AT1G19210 AT1G11670
AT1G19210 AT1G12240
AT1G19210 AT1G12440
AT1G19210 AT1G12610
AT1G19210 AT1G13390
AT1G19210 AT1G13930
AT1G19210 AT1G15690
AT1G19210 AT1G17420
AT1G19210 AT1G17840
AT1G19210 AT1G18080
AT1G19210 AT1G19000
AT1G19210 AT1G19310
AT1G19210 AT1G19570
AT1G19210 AT1G19660
AT1G19210 AT1G19670
AT1G19210 AT1G19770
AT1G19210 AT1G19910
AT1G19210 AT1G19960
AT1G19210 AT1G20330
AT1G19210 AT1G20340
AT1G19210 AT1G20440
AT1G19210 AT1G20450
AT1G19210 AT1G20510
AT1G19210 AT1G20620
AT1G19210 AT1G21010
AT1G19210 AT1G21100
AT1G19210 AT1G21670
AT1G19210 AT1G21680
AT1G19210 AT1G21770
AT1G19210 AT1G22530
AT1G19210 AT1G23080
AT1G19210 AT1G23390
AT1G19210 AT1G25400
AT1G19210 AT1G26800
AT1G19210 AT1G27100
AT1G19210 AT1G27130
AT1G19210 AT1G27310
AT1G19210 AT1G28370
AT1G19210 AT1G29470
AT1G19210 AT1G29660
AT1G19210 AT1G29670
AT1G19210 AT1G32640
AT1G19210 AT1G33590
AT1G19210 AT1G33600
AT1G19210 AT1G35580
AT1G19210 AT1G36980
AT1G19210 AT1G37130
AT1G19210 AT1G42550
AT1G19210 AT1G42970
AT1G19210 AT1G44575
AT1G19210 AT1G44770
AT1G19210 AT1G47530
AT1G19210 AT1G49032
AT1G19210 AT1G51500
AT1G19210 AT1G51700
AT1G19210 AT1G53170
AT1G19210 AT1G53210
AT1G19210 AT1G53840
AT1G19210 AT1G54740
AT1G19210 AT1G55330
AT1G19210 AT1G55450
AT1G19210 AT1G55920
AT1G19210 AT1G56540
AT1G19210 AT1G56600
AT1G19210 AT1G56660
AT1G19210 AT1G60190
AT1G19210 AT1G61340
AT1G19210 AT1G61890
AT1G19210 AT1G63830
AT1G19210 AT1G63980
