tf.at_id target.at_id
AT1G19210 AT1G01720
AT1G19210 AT1G02140
AT1G19210 AT1G02400
AT1G19210 AT1G02780
AT1G19210 AT1G02930
AT1G19210 AT1G03130
AT1G19210 AT1G03600
AT1G19210 AT1G03630
AT1G19210 AT1G04270
AT1G19210 AT1G04480
AT1G19210 AT1G05850
AT1G19210 AT1G06680
AT1G19210 AT1G07000
AT1G19210 AT1G07140
AT1G19210 AT1G09070
AT1G19210 AT1G09130
AT1G19210 AT1G10760
AT1G19210 AT1G12440
AT1G19210 AT1G12610
AT1G19210 AT1G13390
AT1G19210 AT1G13930
AT1G19210 AT1G15690
AT1G19210 AT1G16720
AT1G19210 AT1G17420
AT1G19210 AT1G19000
AT1G19210 AT1G19310
AT1G19210 AT1G19660
AT1G19210 AT1G19770
AT1G19210 AT1G19910
AT1G19210 AT1G19960
AT1G19210 AT1G20340
AT1G19210 AT1G20440
AT1G19210 AT1G20450
AT1G19210 AT1G20510
AT1G19210 AT1G20620
AT1G19210 AT1G21010
AT1G19210 AT1G21500
AT1G19210 AT1G21680
AT1G19210 AT1G21770
AT1G19210 AT1G23740
AT1G19210 AT1G25400
AT1G19210 AT1G26800
AT1G19210 AT1G27100
AT1G19210 AT1G28370
AT1G19210 AT1G29390
AT1G19210 AT1G32070
AT1G19210 AT1G32640
AT1G19210 AT1G33590
AT1G19210 AT1G33600
AT1G19210 AT1G35680
AT1G19210 AT1G36980
AT1G19210 AT1G37130
AT1G19210 AT1G42970
AT1G19210 AT1G44575
AT1G19210 AT1G45145
AT1G19210 AT1G49032
AT1G19210 AT1G49140
AT1G19210 AT1G51700
AT1G19210 AT1G52342
AT1G19210 AT1G52510
AT1G19210 AT1G52870
AT1G19210 AT1G53170
AT1G19210 AT1G53210
AT1G19210 AT1G53560
AT1G19210 AT1G54500
AT1G19210 AT1G54520
AT1G19210 AT1G55450
AT1G19210 AT1G55920
AT1G19210 AT1G56660
AT1G19210 AT1G61340
AT1G19210 AT1G61890
AT1G19210 AT1G62780
AT1G19210 AT1G63830
AT1G19210 AT1G65230
AT1G19210 AT1G65490
AT1G19210 AT1G65960
AT1G19210 AT1G67090
AT1G19210 AT1G67740
AT1G19210 AT1G67920
AT1G19210 AT1G68440
AT1G19210 AT1G69252
AT1G19210 AT1G69840
AT1G19210 AT1G70140
AT1G19210 AT1G70410
AT1G19210 AT1G71520
AT1G19210 AT1G71697
AT1G19210 AT1G71950
AT1G19210 AT1G72150
AT1G19210 AT1G72520
AT1G19210 AT1G73030
AT1G19210 AT1G73600
AT1G19210 AT1G74470
AT1G19210 AT1G74730
AT1G19210 AT1G74930
AT1G19210 AT1G75860
AT1G19210 AT1G76070
AT1G19210 AT1G76100
AT1G19210 AT1G76490
AT1G19210 AT1G76650
AT1G19210 AT1G76960
AT1G19210 AT1G76990
AT1G19210 AT1G77450
AT1G19210 AT1G77710
AT1G19210 AT1G78020
AT1G19210 AT1G78040
AT1G19210 AT1G78070
AT1G19210 AT1G78830
AT1G19210 AT1G78850
AT1G19210 AT1G78900
AT1G19210 AT1G79040
AT1G19210 AT1G79245
AT1G19210 AT1G80180
AT1G19210 AT1G80840
AT1G19210 AT2G01590
AT1G19210 AT2G01850
AT1G19210 AT2G05070
AT1G19210 AT2G05100
AT1G19210 AT2G05520
AT1G19210 AT2G06850
AT1G19210 AT2G13360
AT1G19210 AT2G15620
AT1G19210 AT2G15960
AT1G19210 AT2G16600
AT1G19210 AT2G19790
AT1G19210 AT2G19830
AT1G19210 AT2G20630
AT1G19210 AT2G20890
AT1G19210 AT2G20920
AT1G19210 AT2G20960
AT1G19210 AT2G21130
AT1G19210 AT2G21580
AT1G19210 AT2G21660
AT1G19210 AT2G21970
AT1G19210 AT2G22500
AT1G19210 AT2G23120
AT1G19210 AT2G23340
AT1G19210 AT2G23600
AT1G19210 AT2G25460
AT1G19210 AT2G26240
AT1G19210 AT2G26670
AT1G19210 AT2G26740
AT1G19210 AT2G27290
AT1G19210 AT2G27310
AT1G19210 AT2G27580
AT1G19210 AT2G28900
AT1G19210 AT2G29450
AT1G19210 AT2G29670
AT1G19210 AT2G30040
AT1G19210 AT2G30860
AT1G19210 AT2G31200
AT1G19210 AT2G31945
AT1G19210 AT2G32150
AT1G19210 AT2G32240
AT1G19210 AT2G33580
AT1G19210 AT2G33830
AT1G19210 AT2G34250
AT1G19210 AT2G34420
AT1G19210 AT2G36145
AT1G19210 AT2G36220
AT1G19210 AT2G37110
AT1G19210 AT2G37220
AT1G19210 AT2G37660
