tf.at_id target.at_id
AT1G27730 AT1G01620
AT1G27730 AT1G02780
AT1G27730 AT1G03130
AT1G27730 AT1G04270
AT1G27730 AT1G05575
AT1G27730 AT1G06680
AT1G27730 AT1G07890
AT1G27730 AT1G08110
AT1G27730 AT1G08360
AT1G27730 AT1G08380
AT1G27730 AT1G09310
AT1G27730 AT1G09590
AT1G27730 AT1G09640
AT1G27730 AT1G09690
AT1G27730 AT1G10500
AT1G27730 AT1G10590
AT1G27730 AT1G10960
AT1G27730 AT1G11260
AT1G27730 AT1G11650
AT1G27730 AT1G11910
AT1G27730 AT1G12090
AT1G27730 AT1G12440
AT1G27730 AT1G13245
AT1G27730 AT1G13440
AT1G27730 AT1G13930
AT1G27730 AT1G14320
AT1G27730 AT1G14400
AT1G27730 AT1G14450
AT1G27730 AT1G15120
AT1G27730 AT1G15690
AT1G27730 AT1G15820
AT1G27730 AT1G16880
AT1G27730 AT1G18080
AT1G27730 AT1G18720
AT1G27730 AT1G19770
AT1G27730 AT1G19960
AT1G27730 AT1G20340
AT1G27730 AT1G20823
AT1G27730 AT1G21440
AT1G27730 AT1G22190
AT1G27730 AT1G22300
AT1G27730 AT1G22780
AT1G27730 AT1G22840
AT1G27730 AT1G22930
AT1G27730 AT1G23310
AT1G27730 AT1G23390
AT1G27730 AT1G23490
AT1G27730 AT1G24100
AT1G27730 AT1G27100
AT1G27730 AT1G27130
AT1G27730 AT1G27400
AT1G27730 AT1G27730
AT1G27730 AT1G28400
AT1G27730 AT1G29910
AT1G27730 AT1G29920
AT1G27730 AT1G29930
AT1G27730 AT1G30230
AT1G27730 AT1G32060
AT1G27730 AT1G32460
AT1G27730 AT1G32470
AT1G27730 AT1G32640
AT1G27730 AT1G32928
AT1G27730 AT1G34030
AT1G27730 AT1G35680
AT1G27730 AT1G36980
AT1G27730 AT1G42970
AT1G27730 AT1G43170
AT1G27730 AT1G44575
AT1G27730 AT1G45145
AT1G27730 AT1G45474
AT1G27730 AT1G47128
AT1G27730 AT1G48300
AT1G27730 AT1G48350
AT1G27730 AT1G49032
AT1G27730 AT1G49240
AT1G27730 AT1G49970
AT1G27730 AT1G50320
AT1G27730 AT1G52220
AT1G27730 AT1G52740
AT1G27730 AT1G53210
AT1G27730 AT1G55450
AT1G27730 AT1G56070
AT1G27730 AT1G56200
AT1G27730 AT1G56220
AT1G27730 AT1G57660
AT1G27730 AT1G59870
AT1G27730 AT1G60950
AT1G27730 AT1G60989
AT1G27730 AT1G61740
AT1G27730 AT1G62560
AT1G27730 AT1G64370
AT1G27730 AT1G65260
AT1G27730 AT1G65490
AT1G27730 AT1G65720
AT1G27730 AT1G65860
AT1G27730 AT1G65930
AT1G27730 AT1G65960
AT1G27730 AT1G65980
AT1G27730 AT1G66200
AT1G27730 AT1G66970
AT1G27730 AT1G67430
AT1G27730 AT1G67700
AT1G27730 AT1G67910
AT1G27730 AT1G68010
AT1G27730 AT1G68440
AT1G27730 AT1G68560
AT1G27730 AT1G69620
AT1G27730 AT1G70370
AT1G27730 AT1G70600
AT1G27730 AT1G71950
AT1G27730 AT1G72150
AT1G27730 AT1G72370
AT1G27730 AT1G72610
AT1G27730 AT1G73600
AT1G27730 AT1G74470
AT1G27730 AT1G74670
AT1G27730 AT1G74840
AT1G27730 AT1G75280
AT1G27730 AT1G75350
AT1G27730 AT1G75380
AT1G27730 AT1G75630
AT1G27730 AT1G75750
AT1G27730 AT1G76080
AT1G27730 AT1G76490
AT1G27730 AT1G77710
AT1G27730 AT1G77940
AT1G27730 AT1G78080
AT1G27730 AT1G78370
AT1G27730 AT1G79550
AT1G27730 AT1G80440
AT1G27730 AT1G80920
AT1G27730 AT2G01250
AT1G27730 AT2G01850
AT1G27730 AT2G02100
AT1G27730 AT2G02760
AT1G27730 AT2G03680
AT1G27730 AT2G04160
AT1G27730 AT2G04410
AT1G27730 AT2G04700
AT1G27730 AT2G05070
AT1G27730 AT2G05220
AT1G27730 AT2G06520
AT1G27730 AT2G14750
AT1G27730 AT2G14910
AT1G27730 AT2G21170
AT1G27730 AT2G21660
AT1G27730 AT2G21870
AT1G27730 AT2G21970
AT1G27730 AT2G22122
AT1G27730 AT2G22670
AT1G27730 AT2G23320
AT1G27730 AT2G24090
AT1G27730 AT2G24200
AT1G27730 AT2G24270
AT1G27730 AT2G24762
AT1G27730 AT2G27720
AT1G27730 AT2G27830
AT1G27730 AT2G27960
AT1G27730 AT2G28840
AT1G27730 AT2G28900
AT1G27730 AT2G30520
AT1G27730 AT2G30570
AT1G27730 AT2G30860
AT1G27730 AT2G30870
AT1G27730 AT2G31110
AT1G27730 AT2G33040
AT1G27730 AT2G33370
AT1G27730 AT2G33530
AT1G27730 AT2G33770
AT1G27730 AT2G34420
AT1G27730 AT2G34430
AT1G27730 AT2G34860
AT1G27730 AT2G35370
AT1G27730 AT2G36120
AT1G27730 AT2G36320
AT1G27730 AT2G36530
AT1G27730 AT2G36830
AT1G27730 AT2G37110
AT1G27730 AT2G37170
AT1G27730 AT2G37220
AT1G27730 AT2G38120
AT1G27730 AT2G38140
AT1G27730 AT2G38800
AT1G27730 AT2G39730
AT1G27730 AT2G40060
AT1G27730 AT2G40140
AT1G27730 AT2G40510
AT1G27730 AT2G41250
AT1G27730 AT2G41410
AT1G27730 AT2G41420
AT1G27730 AT2G41430
AT1G27730 AT2G41840
AT1G27730 AT2G42310
AT1G27730 AT2G42590
AT1G27730 AT2G42600
AT1G27730 AT2G43100
AT1G27730 AT2G43970
AT1G27730 AT2G44670
AT1G27730 AT2G45820
AT1G27730 AT2G46330
AT1G27730 AT2G46820
AT1G27730 AT2G47380
AT1G27730 AT3G01390
AT1G27730 AT3G01500
AT1G27730 AT3G01520
AT1G27730 AT3G01540
AT1G27730 AT3G02080
AT1G27730 AT3G03100
AT1G27730 AT3G03190
AT1G27730 AT3G04120
AT1G27730 AT3G04400
AT1G27730 AT3G04840
AT1G27730 AT3G05220
AT1G27730 AT3G05560
AT1G27730 AT3G05590
AT1G27730 AT3G08580
AT1G27730 AT3G08610
AT1G27730 AT3G08940
AT1G27730 AT3G09200
AT1G27730 AT3G09840
AT1G27730 AT3G10860
AT1G27730 AT3G10985
AT1G27730 AT3G11410
AT1G27730 AT3G11510
AT1G27730 AT3G11630
AT1G27730 AT3G11940
AT1G27730 AT3G12120
AT1G27730 AT3G12490
AT1G27730 AT3G13120
AT1G27730 AT3G13460
AT1G27730 AT3G13750
AT1G27730 AT3G14310
AT1G27730 AT3G14415
AT1G27730 AT3G14420
AT1G27730 AT3G14990
AT1G27730 AT3G15730
AT1G27730 AT3G15840
AT1G27730 AT3G16530
AT1G27730 AT3G17020
AT1G27730 AT3G17210
AT1G27730 AT3G17390
AT1G27730 AT3G18280
AT1G27730 AT3G20390
AT1G27730 AT3G22440
AT1G27730 AT3G23390
AT1G27730 AT3G23490
AT1G27730 AT3G23820
AT1G27730 AT3G23920
AT1G27730 AT3G25520
AT1G27730 AT3G26070
AT1G27730 AT3G26520
AT1G27730 AT3G26570
AT1G27730 AT3G26740
AT1G27730 AT3G27690
AT1G27730 AT3G28940
AT1G27730 AT3G29240
AT1G27730 AT3G30390
AT1G27730 AT3G44110
AT1G27730 AT3G44260
AT1G27730 AT3G45030
AT1G27730 AT3G46040
AT1G27730 AT3G47070
AT1G27730 AT3G48140
AT1G27730 AT3G48930
AT1G27730 AT3G49680
AT1G27730 AT3G49780
AT1G27730 AT3G51600
AT1G27730 AT3G51730
AT1G27730 AT3G51880
AT1G27730 AT3G52880
AT1G27730 AT3G52960
AT1G27730 AT3G53460
AT1G27730 AT3G53870
AT1G27730 AT3G54050
AT1G27730 AT3G55770
AT1G27730 AT3G55980
AT1G27730 AT3G56020
AT1G27730 AT3G56240
AT1G27730 AT3G56490
AT1G27730 AT3G56880
AT1G27730 AT3G56910
AT1G27730 AT3G57050
AT1G27730 AT3G57450
AT1G27730 AT3G57870
AT1G27730 AT3G58610
AT1G27730 AT3G58680
AT1G27730 AT3G59940
AT1G27730 AT3G59970
AT1G27730 AT3G60300
AT1G27730 AT3G60750
AT1G27730 AT3G60770
AT1G27730 AT3G61110
AT1G27730 AT3G61260
AT1G27730 AT3G61430
AT1G27730 AT3G61440
AT1G27730 AT3G61470
AT1G27730 AT3G61640
AT1G27730 AT3G62250
AT1G27730 AT3G63490
AT1G27730 AT4G00100
AT1G27730 AT4G00430
AT1G27730 AT4G02380
AT1G27730 AT4G02450
AT1G27730 AT4G02520
AT1G27730 AT4G02620
AT1G27730 AT4G04610
AT1G27730 AT4G04640
AT1G27730 AT4G09320
AT1G27730 AT4G10340
AT1G27730 AT4G11150
AT1G27730 AT4G13395
AT1G27730 AT4G13430
AT1G27730 AT4G13520
AT1G27730 AT4G13615
AT1G27730 AT4G13940
AT1G27730 AT4G14040
AT1G27730 AT4G14880
AT1G27730 AT4G15000
AT1G27730 AT4G15780
AT1G27730 AT4G16190
AT1G27730 AT4G16410
AT1G27730 AT4G16520
AT1G27730 AT4G16980
AT1G27730 AT4G17030
AT1G27730 AT4G17390
AT1G27730 AT4G18730
AT1G27730 AT4G19170
AT1G27730 AT4G20360
AT1G27730 AT4G21860
AT1G27730 AT4G21960
AT1G27730 AT4G22690
AT1G27730 AT4G24060
AT1G27730 AT4G24690
AT1G27730 AT4G24770
