"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT1G69935",-3,0,3,-3,0,0,0,0,0
"AT1G71170",3,0,-3,0,0,0,0,0,0
"AT2G02360",-3,3,0,0,0,0,0,0,0
"AT2G20760",-3,0,0,-3,0,0,0,0,0
"AT2G39770",-3,0,0,0,0,0,0,0,0
"AT2G41475",-3,0,3,0,0,0,0,0,0
"AT2G44200",-3,0,0,0,0,0,0,0,0
"AT3G07190",3,0,-3,-3,0,0,0,0,0
"AT3G15260",-3,0,0,0,0,0,0,0,0
"AT3G19770",-3,0,-3,0,0,0,0,0,0
"AT3G46510",-3,3,0,0,0,0,0,0,0
"AT4G18060",-3,0,0,0,0,0,0,0,0
"AT4G29810",3,-3,0,0,0,0,0,0,0
"AT4G38260",-3,3,0,0,0,0,0,0,0
"AT5G11960",-3,-3,0,0,0,0,0,0,0
"AT5G20190",-3,0,0,0,0,0,0,0,0
"AT5G25270",3,-3,3,0,-3,0,0,0,0
"AT5G39510",-3,0,0,0,-3,0,0,0,0
"AT5G42300",-3,0,0,0,0,0,3,0,0
"AT5G47810",-3,0,0,0,0,0,0,0,0
"AT1G02410",0,-3,0,0,0,0,0,0,0
"AT1G03400",0,-3,0,0,0,0,0,0,0
"AT1G03950",0,3,0,0,-3,0,0,0,0
"AT1G04440",0,-3,-3,0,0,0,0,0,0
"AT1G04960",0,3,0,0,-3,0,0,0,0
"AT1G07310",0,-3,-3,0,0,0,0,0,0
"AT1G07670",0,3,0,0,0,0,0,0,0
"AT1G08510",0,3,-3,0,0,0,0,0,0
"AT1G49300",0,3,0,0,0,0,-3,0,0
"AT1G50290",0,-3,0,0,0,0,0,0,0
"AT1G52870",0,-3,0,0,0,0,0,0,0
"AT1G55730",0,3,0,0,-3,0,0,0,0
"AT1G58030",0,-3,0,0,0,0,0,0,0
"AT1G63800",0,-3,3,0,0,0,0,0,0
"AT1G64230",0,-3,-3,0,0,0,0,0,0
"AT1G65720",0,3,0,0,-3,0,0,0,0
"AT1G68910",0,3,0,0,-3,0,0,0,0
"AT1G69450",0,3,0,0,-3,0,0,0,0
"AT1G73660",0,-3,0,0,3,0,0,0,0
"AT1G73680",0,-3,0,0,0,0,0,0,0
"AT2G02180",0,-3,0,0,0,0,0,0,0
"AT2G02390",0,3,0,0,-3,0,0,0,0
"AT2G14910",0,3,-3,0,-3,0,0,0,0
"AT2G15570",0,-3,0,0,0,0,0,0,0
"AT2G16740",0,3,0,0,0,0,3,0,0
"AT2G17570",0,3,-3,0,0,0,0,0,0
"AT2G20725",0,3,0,-3,0,0,0,0,0
"AT2G23430",0,-3,0,0,0,0,0,0,0
"AT2G26800",0,3,0,0,0,0,0,0,0
"AT2G27450",0,3,0,0,0,0,-3,0,0
"AT2G28910",0,-3,3,0,0,0,0,0,0
"AT2G29990",0,-3,0,0,0,0,0,0,0
"AT2G30960",0,-3,0,0,0,0,0,0,0
"AT2G31350",0,-3,0,0,0,0,0,0,0
"AT2G34070",0,-3,0,0,0,0,0,0,0
"AT2G35050",0,3,0,0,-3,0,0,0,0
"AT2G36895",0,-3,0,0,0,0,0,0,0
"AT2G38740",0,-3,0,0,0,0,0,0,0
"AT2G39550",0,-3,0,0,0,0,0,0,0
"AT2G40810",0,-3,0,0,0,0,0,0,0
"AT2G44490",0,-3,0,0,0,0,0,0,0
"AT2G45980",0,3,-3,0,0,0,0,0,0
"AT3G01050",0,3,-3,0,0,0,-3,0,0
"AT3G02050",0,3,0,3,-3,0,0,0,0
"AT3G04090",0,-3,0,0,0,0,0,0,0
"AT3G07560",0,-3,-3,0,0,0,0,0,0
"AT3G08690",0,3,0,0,0,0,0,0,0
"AT3G11030",0,-3,0,0,0,0,0,0,0
"AT3G11780",0,-3,-3,0,0,0,0,0,0
"AT3G12570",0,-3,0,0,0,0,0,0,0
"AT3G14205",0,-3,0,0,0,0,0,0,0
"AT3G15290",0,3,-3,0,0,0,0,0,0
"AT3G16785",0,3,3,0,-3,0,0,0,0
"AT3G16800",0,-3,0,0,0,0,0,0,0
"AT3G17020",0,-3,0,0,0,0,0,0,0
"AT3G17410",0,-3,0,0,0,0,0,0,0
"AT3G17650",0,3,0,0,-3,0,0,0,0
"AT3G17800",0,3,0,0,-3,0,0,0,0
"AT3G17850",0,-3,-3,0,0,0,0,0,0
"AT3G20770",0,-3,-3,0,0,0,0,0,0
"AT3G26020",0,3,0,0,3,0,0,0,0
"AT3G27460",0,-3,0,0,0,0,0,0,0
"AT3G47000",0,-3,-3,0,0,0,0,0,0
"AT3G47640",0,-3,0,0,0,0,0,0,0
"AT3G48780",0,3,-3,0,0,0,0,0,0
"AT3G48860",0,3,-3,0,0,0,0,0,0
"AT3G50000",0,-3,-3,0,-3,0,0,0,0
"AT3G51660",0,3,0,0,-3,0,0,0,0
"AT3G53610",0,3,0,0,0,0,0,0,0
"AT3G55830",0,3,-3,0,-3,0,0,0,0
"AT3G56050",0,-3,0,0,0,0,0,0,0
"AT3G56190",0,3,3,0,-3,0,0,0,0
"AT3G61070",0,-3,-3,0,0,0,0,0,0
"AT3G61160",0,-3,0,0,0,0,0,0,0
"AT3G63080",0,-3,-3,0,0,0,0,0,0
"AT4G02020",0,-3,0,0,0,0,0,0,0
"AT4G11330",0,-3,0,0,0,0,0,0,0
"AT4G12120",0,3,0,0,0,0,0,0,0
"AT4G13010",0,3,0,0,0,0,0,0,0
"AT4G14716",0,-3,0,0,0,0,-3,0,0
"AT4G17170",0,3,-3,0,0,0,0,0,0
"AT4G17486",0,3,-3,0,0,0,0,0,0
"AT4G18930",0,3,0,0,-3,0,0,0,0
"AT4G20880",0,-3,0,0,0,0,0,0,0
"AT4G24450",0,3,0,0,0,0,-3,0,0
"AT4G25680",0,-3,0,0,-3,0,0,0,0
"AT4G25970",0,3,-3,0,-3,0,0,0,0
"AT4G27020",0,-3,3,0,0,0,0,0,0
"AT4G27320",0,3,3,0,-3,0,0,0,0
"AT4G28390",0,-3,0,0,0,0,0,0,0
"AT4G31170",0,-3,0,0,0,0,0,0,0
"AT4G34040",0,3,0,0,0,0,0,0,0
"AT4G36760",0,3,-3,0,-3,0,0,0,0
"AT4G36800",0,3,0,0,0,0,0,0,0
"AT4G37560",0,3,0,0,-3,0,0,0,0
"AT4G39140",0,3,-3,0,3,0,0,0,0
"AT5G01030",0,-3,0,0,0,0,0,0,0
"AT5G04750",0,3,-3,0,0,0,3,0,0
"AT5G05110",0,3,-3,0,0,0,0,0,0
"AT5G05480",0,-3,3,0,0,0,0,0,0
"AT5G07470",0,3,0,0,0,0,0,0,0
"AT5G13720",0,-3,0,0,0,0,0,0,0
"AT5G13810",0,3,-3,0,0,0,0,0,0
"AT5G19010",0,-3,-3,0,0,0,0,0,0
"AT5G19140",0,-3,0,0,0,0,0,0,0
"AT5G20910",0,-3,3,0,0,0,0,0,0
"AT5G21020",0,-3,0,0,0,0,0,0,0
"AT5G22000",0,-3,0,0,0,0,0,0,0
"AT5G25265",0,-3,3,0,0,0,0,0,0
"AT5G27380",0,3,0,0,0,0,0,0,0
