"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT1G02060",-3,0,0,-3,0,0,0,0,0
"AT1G03687",-3,0,0,3,0,0,0,0,0
"AT1G04360",-3,0,0,0,0,0,0,0,0
"AT1G04510",-3,0,0,3,0,0,0,0,0
"AT1G04820",3,0,0,0,0,0,0,-3,0
"AT1G04940",3,0,0,3,0,0,0,0,0
"AT1G05190",3,0,3,3,0,0,0,-3,0
"AT1G05470",3,0,0,-3,0,0,0,0,0
"AT1G07820",3,0,0,-3,0,0,0,0,0
"AT1G08520",-3,0,3,3,0,0,0,0,0
"AT1G08810",3,0,0,3,0,0,0,0,0
"AT1G09200",-3,0,0,3,0,0,0,3,0
"AT1G09600",-3,0,0,3,0,0,0,0,0
"AT1G09750",3,0,0,0,0,0,0,0,0
"AT1G09760",-3,0,0,3,0,0,0,0,0
"AT1G47530",3,0,0,-3,0,0,0,0,0
"AT1G47640",3,0,-3,0,0,0,0,0,0
"AT1G47900",3,0,-3,-3,0,0,0,0,0
"AT1G48830",3,0,0,-3,0,0,0,0,0
"AT1G49430",3,0,0,-3,0,0,0,0,0
"AT1G49975",3,0,0,-3,0,0,0,0,0
"AT1G50010",3,0,0,0,0,0,0,0,0
"AT1G50900",-3,0,0,3,0,0,0,0,0
"AT1G51130",3,0,0,-3,0,0,0,0,0
"AT1G51370",3,0,0,0,0,0,0,0,0
"AT1G51430",3,0,0,0,0,0,0,0,0
"AT1G54770",3,0,0,-3,0,0,0,0,0
"AT1G54820",3,0,0,-3,0,0,0,0,0
"AT1G55140",3,0,0,-3,0,0,0,0,0
"AT1G59720",3,0,0,-3,0,0,0,0,0
"AT1G60990",-3,0,0,3,0,0,0,0,0
"AT1G61970",3,0,0,-3,0,0,0,0,0
"AT1G62670",3,0,0,-3,0,0,0,0,0
"AT1G62950",3,0,0,3,0,0,0,0,0
"AT1G63470",3,0,3,3,0,0,0,0,0
"AT1G67040",3,0,0,-3,0,0,0,0,0
"AT1G67340",-3,0,0,0,0,0,0,0,0
"AT1G67400",3,0,0,3,0,0,0,0,0
"AT1G67730",-3,0,0,3,0,0,0,0,0
"AT1G67830",3,0,0,-3,0,0,0,0,0
"AT1G68080",3,0,0,3,0,0,0,0,0
"AT1G68710",3,0,0,-3,0,0,0,0,0
"AT1G68780",3,0,0,-3,0,0,0,0,0
"AT1G69040",3,0,0,0,0,0,0,0,0
"AT1G69526",3,0,0,-3,0,0,0,0,0
"AT1G70070",3,0,0,3,0,0,0,0,0
"AT1G70210",3,0,0,-3,0,0,0,0,0
"AT1G70280",3,0,0,-3,0,0,0,0,0
"AT1G70430",3,0,3,-3,0,0,0,0,0
"AT1G70560",3,0,0,3,0,0,0,0,0
"AT1G71020",3,0,0,0,0,0,0,0,0
"AT1G71050",3,0,0,-3,0,0,0,0,0
"AT1G73875",3,0,0,-3,0,0,0,0,0
"AT1G74070",3,0,0,-3,0,0,0,0,0
"AT1G74170",3,0,-3,0,0,0,0,0,0
"AT1G74850",-3,0,0,3,0,0,0,0,0
"AT1G75120",3,0,0,-3,0,0,0,0,0
"AT1G75180",3,0,0,-3,0,0,0,0,0
"AT1G75190",3,0,0,0,0,0,0,0,0
"AT1G75210",3,3,0,-3,0,0,0,0,0
"AT1G76120",3,0,0,3,0,0,0,0,0
"AT1G76280",-3,0,0,3,0,0,0,0,0
"AT1G77720",3,0,0,3,0,0,0,0,0
"AT1G79540",3,0,0,3,0,0,0,0,0
"AT1G80650",3,0,0,0,0,0,0,0,0
"AT1G80870",3,0,0,-3,0,0,0,0,0
"AT2G01120",3,0,0,3,0,0,0,0,0
"AT2G02590",3,0,-3,-3,0,0,0,0,0
"AT2G02980",3,0,0,-3,0,0,0,0,0
"AT2G04235",3,0,0,0,0,0,0,0,0
"AT2G16800",-3,0,0,3,0,0,0,0,0
"AT2G18245",-3,3,0,3,0,0,0,0,0
